Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/Bgstory284.jpg'}
2	2		401							{1: '1', 2: '209'}
3	3		301			DialogEnable				{3: '摸到数据库终端前，莫瑞马上将准备好的数据武器接入数据库。'}
4	4		301							{3: '[正在访问格式塔核心数据库：3-3-2-2-S-Luden ]'}
5	5		301							{3: '[需要权限：（&*T*&Ytby等级 ]'}
6	6		201							{1: '1', 2: '500146'}
7	7		301							{1: '1', 2: '莫瑞', 3: '程序错误已经到这个地步了吗……', 4: '1'}
8	8		301							{3: '莫瑞从自己的随身终端，也就是法奥斯之矛系统的临时程序集中调出了一个程序。'}
9	9		301							{3: '他操作系统让程序进入激活状态，然后注入了代表档案库的程序门中。'}
10	10		301							{3: '[接收到未知信号]'}
11	11		301							{2: '莫瑞', 3: '要是你知道这是什么的话，我就该害怕了。', 4: '1'}
12	12		301							{2: '莫瑞', 3: '劫持程序启动，参数A-E-V-C-Ω。', 4: '1'}
13	13		301							{3: '*参数已接收*'}
14	14		301							{2: '莫瑞', 3: '哈桑议长说……这东西是阿西莫夫喝咖啡的时候想到的？', 4: '1'}
15	15		301				AniZhuanchangBegin			{2: '莫瑞', 3: '可别给我出岔子啊……', 4: '1'}
16	16		202							{1: '1', 6: '1'}
17	17		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory16.jpg'}
18	18		201							{1: '1', 2: '500004'}
19	19		301			AniZhuanchangEnd				{1: '1', 2: '阿西莫夫', 3: '要不是尼科拉司令再三要求，我实在不想跟你们合作。', 4: '1'}
20	20		301							{2: '瓦莱莉亚', 3: '这是，尼科拉司令的，直接命令。'}
21	21		301							{2: '阿西莫夫', 3: '就算我拒绝，他也不敢为此杀了我。我虽然不干涉他们的事情，但是他们离开我，也绝对无法达成他们的目的。', 4: '1'}
22	22		301							{2: '阿西莫夫', 3: '跟你们不一样，我可不是一个他简单就能舍弃的人。', 4: '1'}
23	23		301							{2: '瓦莱莉亚', 3: '…………'}
24	24		301							{2: '阿西莫夫', 3: '但是我既然接下了这趟脏活，我就会做到底。', 4: '1'}
25	25		301							{2: '阿西莫夫', 3: '为此，我已经从司令那里得到了所有我需要知道的东西。', 4: '1'}
26	26		301							{2: '八咫', 3: '既然如此，为什么还要嘴硬？'}
27	27		301							{2: '阿西莫夫', 3: '因为我实在是不太看得起你们这群狗。', 4: '1'}
28	28		301							{2: '阿西莫夫', 3: '灰鸦那样的指挥官会成为收复地球的支点，而你们……只能成为沾血的刀刃。', 4: '1'}
29	29		301							{2: '八咫', 3: '嘿，V，你听到了吗？又有人说你是狗了哎？'}
30	30		301							{2: '瓦莱莉亚', 3: '那又怎么样？'}
31	31		301							{2: '阿西莫夫', 3: '？', 4: '1'}
32	32		301							{2: '瓦莱莉亚', 3: '有人当狗，才能让某些人当人。'}
33	33		301							{2: '瓦莱莉亚', 3: '不管是为了正义的目的还是邪恶的目的，都需要不问问题的‘狗’。'}
34	34		301							{2: '阿西莫夫', 3: '所以我不喜欢你这样的家伙。', 4: '1'}
35	35		301							{2: '八咫', 3: '我们能回到任务上来吗？我已经在这件事情上失去耐心了。'}
36	36		301							{2: '八咫', 3: '帮我们还是不帮我们，技官你迟早得拿个主意，我的建议是现在。'}
37	37		301							{2: '阿西莫夫', 3: '……我会给你们你们要的入侵者坐标，只要你们告诉我要做什么。', 4: '1'}
38	38		301							{2: '八咫', 3: '监视，并且不让他阻挠我们要做的事.'}
39	39		301							{2: '八咫', 3: '在纪念公园我已经给过他一个警告，希望他知道其中的重量。'}
40	40		301							{2: '阿西莫夫', 3: '……监视谁？', 4: '1'}
41	41		301							{2: '瓦莱莉亚', 3: '这你就没必要知道了。'}
42	42		301		1		AniZhuanchangBegin			{2: '阿西莫夫', 3: '……', 4: '1'}
