Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory16.jpg'}
2	2		401							{1: '1', 2: '102'}
3	3		201							{1: '1', 2: '500004'}
4	4		301			DialogEnable				{1: '1', 2: '阿西莫夫', 3: '信号似乎准备离开资料库。', 4: '1'}
5	5		202							{1: '1', 6: '1'}
6	6		301							{2: '八咫', 3: 'V，怎么办？'}
7	7		301							{2: '瓦莱莉亚', 3: '我去试着直接拦截他，而八咫，等他离开之后，去调取记录，取得我们需要的东西。'}
8	8		301							{2: '八咫', 3: '你知道自己很不像个指挥官对吧？明明是人类，却总是把自己放在尖兵跟杀手的位置上。'}
9	9		301							{2: '瓦莱莉亚', 3: '那又怎么样？'}
10	10		301							{2: '八咫', 3: '我们已经这样共事多久了？'}
11	11		301							{2: '瓦莱莉亚', 3: '3年8个月12天，从你换上这个机体开始是……'}
12	12		301							{2: '八咫', 3: '你想过自己死的那一天吗？'}
13	13		301							{2: '瓦莱莉亚', 3: '为什么我要想那种东西。'}
14	14		301							{3: '瓦莱莉亚的话比起反问更像是斩钉截铁的回答，于是八咫很知趣地自己收住了嘴。'}
15	15		301							{2: '瓦莱莉亚', 3: '阿西莫夫，八咫会为你桥接，你应该知道要做什么。'}
16	16		201							{1: '1', 2: '500004'}
17	17		301							{1: '1', 2: '阿西莫夫', 3: '桥接信号已收到……这是？！', 4: '1'}
18	18		301							{2: '瓦莱莉亚', 3: '怎么了吗？'}
19	20		301							{2: '阿西莫夫', 3: '不……没事。', 4: '1'}
20	21		301							{2: '阿西莫夫', 3: '（为什么那个几年前写着好玩的数据库劫持程序的特征信号会出现在这里？）'}
21	22		301							{2: '阿西莫夫', 3: '（圣甲虫小队监视的‘入侵者’……就是空中花园，甚至是科学理事会的成员之一？）'}
22	23		301							{2: '瓦莱莉亚', 3: '发生了什么？首席技官。'}
23	24		301							{2: '阿西莫夫', 3: '……你们继续你们的任务。', 4: '1'}
24	25		301							{2: '瓦莱莉亚', 3: '……'}
25	26		301							{2: '八咫', 3: '你该不会……有什么东西瞒着我们吧？'}
26	28		301				AniZhuanchangBegin			{2: '阿西莫夫', 3: '跟你们没关系。', 4: '1'}
27	29		202							{1: '1', 6: '1'}
28	30		101							{1: 'Assets/Product/Texture/Image/BgStory/Bgstory284.jpg'}
29	31		201							{1: '1', 2: '500146'}
30	32		301			AniZhuanchangEnd				{1: '1', 3: '莫瑞成功地骇入了数据库，情报从数据体流入莫瑞的终端之中。'}
31	33		301							{2: '莫瑞', 3: '辨识ID核对……无误，这看来就是两位长官都想要的东西了。', 4: '1'}
32	34		301							{2: '莫瑞', 3: '然后，难得暂时解开了格式塔资料库的最高权限……那我肯定不能就这么回去。', 4: '1'}
33	35		301							{3: '莫瑞挥动双手，将资料库内的文件列表在自己的面前展开。'}
34	36		301							{2: '莫瑞', 3: '那么，关键词是……‘黑野（Kurono）’。', 4: '1'}
35	37		301							{3: '五分之三的文件消失了，剩下的五分之二在莫瑞的眼前变成了一个依然很庞大的矩形阵列。'}
36	38		301							{2: '莫瑞', 3: '第二个关键词……‘构造体技术（Reconstructed Tech）’。', 4: '1'}
37	39		301							{3: '剩下的文件里，三分之二的文件消失了，剩下三分之一重新组成一个看似花一天时间可以阅读完毕的阵列。'}
38	40		301							{2: '莫瑞', 3: '……要都拿回去吗，但是感觉光是传输文件，就需要相当的时间。', 4: '1'}
39	41		301							{2: '莫瑞', 3: '那，就增加第三个关键词吧。', 4: '1'}
40	42		301							{2: '莫瑞', 3: '‘哈桑’和‘尼科拉’的数字签名。', 4: '1'}
41	43		301							{3: '大部分文件在这个关键词输入之后消失了，只剩下十来封被注明‘最高密级’的文件。'}
42	44		301							{2: '莫瑞', 3: '找到了。', 4: '1'}
43	45		301							{3: '莫瑞一挥手，将它们全部收进终端。'}
44	46		301							{3: '——与此同时，他发现自己的身后出现了一个正在向他冲来的黑影。'}
45	47		301							{2: '莫瑞', 3: '……啧，果然不会那么顺利吗！', 4: '1'}
46	48		301							{3: '莫瑞从终端里掏出一个数据体，向来者的方向掷去。'}
47	49		301							{3: '——吱吱吱吱！'}
48	50		301							{3: '数据体爆开变成一张敞开的带电大网，横在了来者前方。'}
49	51		301							{2: '莫瑞', 3: '谢谢你们来接！但我要先走了！', 4: '1'}
50	52		202							{1: '1', 6: '1'}
51	53		301							{3: '向着来者的反方向，莫瑞转头就跑。'}
52	54		301							{3: '在虚拟空间中，病症并不会体现在浸入状态的意识体上，所以莫瑞很少见地——跑出了全速。'}
53	55		301							{3: '这让他把被电网（遮断程序）挡住的来袭者远远甩在身后——至少他是这么预期的。'}
54	56		301		1		AniZhuanchangBegin			{3: '他忘了有没有来得及清除访问记录——他也没空去确认了。'}
