Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory77.jpg'}
2	2		401							{1: '1', 2: '201'}
3	3		301			DialogEnable				{3: '浓厚的夜幕悬挂于天空，体表传感将夜风吹过的寒冷触感传递至身体的每一个角落。'}
4	4		301							{3: '像是想要握住零碎的月光一般对着天空伸手，但最终能做到的也不过是用手遮住了自己的双眼而已。'}
5	5		201							{1: '1', 2: '500165', 3: '9'}
6	6		301							{1: '1', 2: '拉弥亚', 3: '嗯，果然没有胜算呢。', 4: '1'}
7	7		301							{3: '感受到自身动作的徒劳后拉弥亚放下双手，让身体仰天瘫在天台边缘。'}
8	8		301							{2: '拉弥亚', 3: '好绝望，好绝望，好绝望好绝望好绝望……', 4: '1'}
9	9		202							{1: '1', 6: '1'}
10	10		301							{2: '？？？', 3: '你可以稍微安静会吗？'}
11	11		201							{1: '1', 2: '500165'}
12	12		301							{1: '1', 2: '拉弥亚', 3: '我不，快要死的又不是你。', 4: '1'}
13	13		202							{1: '1', 6: '1'}
14	14		301							{2: '？？？', 3: '如果我说你可以不死呢。'}
15	15		401							{1: '2', 2: '1509'}
16	16		301							{3: '机械运转声响起，隐藏在废墟阴影中的说话者来到天台边，坐到拉弥亚的身旁。'}
17	17		201							{1: '1', 2: '500165'}
18	18		301							{1: '1', 2: '拉弥亚', 3: '不可能的吧，以我的能力不论是正面作战还是逃跑，都躲不过被加百列和聚噬体追上并吞噬的结局。', 4: '1'}
19	19		203							{1: '1', 2: '0.25', 3: '-400'}
20	20		201							{1: '2', 2: '500162', 4: '400'}
21	21		301							{1: '1', 2: '“421”', 3: '作为一个升格者……你真的害怕死亡吗？', 4: '2'}
22	22		301							{2: '拉弥亚', 3: '实话说……一般般吧……虽然升格者一般都被超越了自身生命的强烈情感所驱使，但也有不活着就无法完成的夙愿。', 4: '1'}
23	23		301							{2: '“421”', 3: '所以你也有那样的东西吧？即使是死亡也无法阻挡的情感……', 4: '2'}
24	24		301							{2: '拉弥亚', 3: '或许吧，但是我不会告诉你的，总觉得告诉你之后就会被当成情报卖掉。', 4: '1'}
25	25		301							{2: '拉弥亚', 3: '总之我讨厌毫无意义地死去，现在还是再稍微努力点活着吧，起码在找到……', 4: '2'}
26	26		301							{2: '拉弥亚', 3: '喂！你又在套拉弥亚的话吗……你这人真是讨厌！', 4: '1'}
27	27		301							{2: '“421”', 3: '我可没有，是你自己在滔滔不绝而已。', 4: '2'}
28	28		301							{2: '“421”', 3: '说回正题吧，达成我的条件，这样不论哪方势力获胜，我都可以让你活着离开加百列挑起的纷争。', 4: '2'}
29	29		301							{2: '拉弥亚', 3: '唔……你怎么保证会帮我呢，毕竟从立场来说我们属于不同阵营。', 4: '1'}
30	30		301							{2: '“421”', 3: '我是个交易者，交易最重要的就是信誉。', 4: '2'}
31	31		301							{2: '“421”', 3: '况且你没得选，不然也不会跑到这种地方主动联系我，不是吗？', 4: '2'}
32	32		301							{2: '拉弥亚', 3: '真是绝望，这种只能靠他人庇护的感觉。', 4: '1'}
33	33		301							{2: '“421”', 3: '无非是和你刚加入露娜麾下时类似的处境而已。', 4: '2'}
34	34		301							{2: '拉弥亚', 3: '咦咦？那么久远的事你都知道吗？', 4: '1'}
35	35		301							{2: '“421”', 3: '在我这里没有秘密。', 4: '2'}
36	36		301							{2: '拉弥亚', 3: '……', 4: '1'}
37	37		301							{3: '小机器人调转镜头，不再看向沉默的拉弥亚，而是注视着远处地平线上翻涌的红潮。'}
38	38		301							{2: '“421”', 3: '放心，对你来说不是很难的条件。', 4: '2'}
39	39		301							{2: '“421”', 3: '而且也不用担心因此被露娜怀疑，当然，如果你还在意自身是否会被怀疑的话。', 4: '2'}
40	40		301							{2: '拉弥亚', 3: '……你对待其他女士也这么咄咄逼人吗？', 4: '1'}
41	41		301							{2: '“421”', 3: '因人而异。', 4: '2'}
42	42		301							{2: '拉弥亚', 3: '好吧……那么你想要什么？', 4: '1'}
43	43		301		1		AniZhuanchangBegin			{2: '“421”', 3: '让沉寂的湖水开始转动的‘钥匙’。', 4: '2'}
