Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/Bgstory7.jpg'}
2	2		401							{1: '1', 2: '202'}
3	3		301							{3: '过了良久，他们才找到了一栋不易坍塌的遮风避雨之处。'}
4	4		301							{3: '就在他们互相依偎着准备过夜时，众人面前出现了几个拿着武器的青年拾荒者。'}
5	5		201							{1: '1', 2: '500136'}
6	6		301							{1: '1', 2: '武装拾荒者', 3: '谁让你们住这里的？', 4: '1'}
7	7		201							{1: '1', 2: '500140'}
8	8		301							{1: '1', 2: '拾荒者C', 3: '住在这里还要经过你们同意？', 4: '1'}
9	9		201							{1: '1', 2: '500136'}
10	10		301							{1: '1', 2: '武装拾荒者', 3: '哼，就凭你们这群人还敢跟我叫嚣。', 4: '1'}
11	11		201							{1: '2', 2: '500136', 4: '-500'}
12	12		201							{1: '3', 2: '500136', 4: '500'}
13	13		301							{1: '1', 3: '他挥了挥手，从身后出现了四五个和他一样的武装拾荒者。'}
14	14		301				AniZhuanchangBegin			{2: '武装拾荒者', 3: '那就先来一套见面礼吧。', 4: '1'}
15	15		202							{1: '1', 2: '2', 3: '3', 6: '1'}
16	16		101							{1: 'Assets/Product/Texture/Image/BgStory/Bgstory6.jpg'}
17	17		301			AniZhuanchangEnd				{3: '当破晓晨光从破碎的玻璃窗中照进废弃大楼，加害者才在脏兮兮的被褥中伸了个懒腰站起身来。'}
18	18		301							{3: '而一旁伤痕累累的受害者却只能蜷缩在角落中，诅咒着眼前的一切。'}
19	19		201							{1: '1', 2: '500136'}
20	20		301							{1: '1', 2: '武装拾荒者', 3: '今天就去商业区找找能用的东西吧……', 4: '1'}
21	21		301							{3: '他有些迷糊地揉着眼睛，向一旁的同伴发号指令。'}
22	22		202							{1: '1', 6: '1'}
23	23		301							{2: '武装拾荒者小弟', 3: '喂，站起来！'}
24	24		301							{3: '他挥动手里的铁管，恐吓着墙角的人群。'}
25	25		201							{1: '1', 2: '500260'}
26	26		301							{1: '1', 2: '拾荒者E', 3: '神一定会惩罚你们的！', 4: '1'}
27	27		301							{3: '少女坚定的神情却只引起加害者的哄笑。'}
28	28		201							{1: '1', 2: '500136'}
29	29		301							{1: '1', 2: '武装拾荒者', 3: '那你就好好祈祷这种玩意会来救你好了。', 4: '1'}
30	30		201							{1: '1', 2: '500260'}
31	31		301							{1: '1', 2: '拾荒者E', 3: '一定有的！爸爸妈妈从小就告诉我！神是存在的！', 4: '1'}
32	32		301							{2: '拾荒者E', 3: '我见过！就是神派来的天使把这里有物资的消息告诉我的！', 4: '1'}
33	33		301							{2: '拾荒者E', 3: '啊！', 4: '1'}
34	34		301							{3: '似乎注意到自己说了不该说的话，少女连忙捂住了嘴巴，但周围的人都只当是她的幻想，没将其放在心上。'}
35	35		201							{1: '1', 2: '500136'}
36	36		301							{1: '1', 2: '武装拾荒者', 3: '哦？那这位神有没有来救你的父母啊？', 4: '1'}
37	37		301							{3: '少女难过地向后退了一步，加害者们再度发出了哄笑。'}
38	38		301							{2: '武装拾荒者', 3: '好了，让他们去找，敢偷吃就——', 4: '1'}
39	39		301				AniZhuanchangBegin			{3: '武装拾荒者在脖子上比划了一下，他的同伴笑着点了点头，挥动铁管，如同放牧人一般，将贫弱的拾荒者们赶出了大楼。'}
40	40		101							{1: 'Assets/Product/Texture/Image/BgStory/Bgstory7.jpg'}
41	41		301			AniZhuanchangEnd				{3: '直到夜幕降临，拾荒者们才步履蹒跚地回到酒店。'}
42	42		201							{1: '1', 2: '500136'}
43	43		301							{1: '1', 2: '武装拾荒者', 3: '结果如何？', 4: '1'}
44	44		301							{3: '他巡视着拾荒者们带来的东西，但大多都是没什么用途的垃圾。'}
45	45		202							{1: '1', 6: '1'}
46	46		301							{3: '只有一个崭新的物资包突兀地堆在垃圾中，如同捕鼠夹上的奶酪一般显眼。'}
47	47		301							{3: '但加害者毫不在意地捡起了那个崭新的物资包，从中拆出一个罐头和几包压缩饼干分给了同伴。'}
48	48		201							{1: '1', 2: '500136'}
49	49		301							{1: '1', 2: '武装拾荒者', 3: '把剩下的存起来。', 4: '1'}
50	50		203							{1: '1', 2: '0.25', 3: '-400'}
51	51		201							{1: '2', 2: '500140', 4: '400'}
52	52		301							{1: '1', 2: '拾荒者C', 3: '我们的份呢？？', 4: '2'}
53	53		301							{2: '武装拾荒者', 3: '哈？你们这么一大群人，就捡来这么一点东西，还想分？', 4: '1'}
54	54		301							{2: '武装拾荒者', 3: '吃的没有，想挨揍倒是还有，要尝尝吗？', 4: '1'}
55	55		201							{1: '2', 2: '500270', 4: '400'}
56	56		301							{1: '1', 2: '拾荒者B', 3: '快了，快了。', 4: '2'}
57	57		301							{2: '武装拾荒者', 3: '啊？', 4: '1'}
58	58		201							{1: '2', 2: '500226', 4: '400'}
59	59		301							{1: '1', 2: '拾荒者D', 3: '这个人脑子不太好，你别和他计较……', 4: '2'}
60	60		301							{2: '武装拾荒者', 3: '脑子不太好是吧，老三，你帮他治治，反正留着也没用。', 4: '1'}
61	61		202							{1: '1', 2: '2', 6: '1'}
62	62		201							{1: '1', 2: '500260'}
63	63		301							{1: '1', 2: '拾荒者E', 3: '你们要干什么？！', 4: '1'}
64	64		301							{3: '少女刚要冲出去拦住他们，就被一双虚弱的手揽入怀中。'}
65	65		203							{1: '1', 2: '0.25', 3: '-400'}
66	66		201							{1: '2', 2: '500226', 4: '400'}
67	67		301							{1: '1', 2: '拾荒者D', 3: '悠乐……不要再说了……', 4: '2'}
68	68		301							{2: '悠乐', 3: '可是……可是……', 4: '1'}
69	69		301							{2: '拾荒者D', 3: '现在还是先顾全自己吧。', 4: '2'}
70	70		301				AniZhuanchangBegin			{2: '悠乐', 3: '……', 4: '1'}
71	71		202							{1: '1', 2: '2', 6: '1'}
72	72		101							{1: 'Assets/Product/Texture/Image/BgStory/Bgstory6.jpg'}
73	73		401							{1: '1', 2: '33'}
74	74		301			AniZhuanchangEnd				{3: '就这样，受害者们在饥饿和疲惫中再次迎来了朝阳。'}
75	75		201							{1: '1', 2: '500268', 4: '-400'}
76	76		201							{1: '2', 2: '500140', 4: '400'}
77	77		301							{1: '1', 2: '拾荒者A', 3: '我昨晚一直没睡好，好像听到屋子后面有海浪的声音。', 4: '1'}
78	78		301							{2: '拾荒者C', 3: '我好像也听到了。', 4: '2'}
79	79		301							{3: '就在众人思考着昨夜来路不明的海浪声时，一个武装拾荒者走了进来。'}
80	80		202							{1: '1', 2: '2', 6: '1'}
81	81		301							{2: '武装拾荒者小弟', 3: '那个脑子不正常的蠢货呢？'}
82	82		201							{1: '1', 2: '500260'}
83	83		301							{1: '1', 2: '悠乐', 3: '他不是被你们……被你们……', 4: '1'}
84	84		202							{1: '1', 6: '1'}
85	85		301							{2: '武装拾荒者小弟', 3: '被我们修理了，怎么了？'}
86	86		301							{3: '他理直气壮地看着众人，仿佛自己除了‘修理’以外并没有再做什么。'}
87	87		301							{3: '众人环顾四周，原本蹲着同伴的墙角如今已空空如也。'}
88	88		201							{1: '1', 2: '500260'}
89	89		301							{1: '1', 2: '悠乐', 3: '他没有回来。', 4: '1'}
90	90		202							{1: '1', 6: '1'}
91	91		301							{2: '武装拾荒者小弟', 3: '啧，那一会去找物资的时候顺便找找吧，虽然找不到我也无所谓就是了。'}
92	92		301							{3: '他挠了挠自己脏兮兮的头发，举起铁管，指挥众人离开房间。'}
93	93		301				AniZhuanchangBegin			{2: '武装拾荒者小弟', 3: '走！干活了！'}
94	94		101							{1: 'Assets/Product/Texture/Image/BgStory/Bgstory7.jpg'}
95	95		301			AniZhuanchangEnd				{3: '但是，直到日落西山，谁都没有找到他的身影。'}
96	96		301							{3: '众人找回的物资，又是只有那一只显眼的物资包。'}
97	97		301							{3: '什么都没能拿到，大家再次回到墙角，一边低声交谈，一边互相依偎着取暖。'}
98	98		201							{1: '1', 2: '500268'}
99	99		301							{1: '1', 2: '拾荒者A', 3: '咳咳咳……我的感染症状越来越重了。', 4: '1'}
100	100		201							{1: '1', 2: '500140', 4: '-400'}
101	101		201							{1: '2', 2: '500226', 4: '400'}
102	102		301							{1: '1', 2: '拾荒者D', 3: '他到底去哪了呢？', 4: '2'}
103	103		301							{2: '拾荒者C', 3: '也不知道今晚还会不会听到海浪声？我想去看看……', 4: '1'}
104	104		301							{3: '虽说是在交谈，但大家自顾不及，只能讲述自己的痛苦，丝毫没有顾及他人的闲暇。'}
105	105		301							{2: '拾荒者D', 3: '我们要不要离开这里呢？', 4: '2'}
106	106		301							{3: '他发出疑问的那一刻，目光扫过人群，以现在大家的状态，肯定无法撑过返回的长途跋涉。'}
107	107		301							{3: '甚至连明天的搜索物资都无法保障。'}
108	108		202							{1: '1', 2: '2', 6: '1'}
109	109		201							{1: '1', 2: '500260'}
110	110		301							{1: '1', 2: '悠乐', 3: '明天一定能找到更多物资，这样大家就能吃上饭了。', 4: '1'}
111	111		301							{3: '少女虽然和众人一样虚弱，但语气依然非常坚定，仿佛早已预知了明天的结局。'}
112	112		301							{2: '悠乐', 3: '神一定会给我们幸福的。', 4: '1'}
