Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory00.png'}
2	2		401							{1: '1', 2: '204'}
3	3		301			DialogEnable				{3: '‘——让自己虚空，好能像芦笛一样吹奏出妙韵；让自己虚空，好能像芦笔一样书写出奇迹。’'}
4	4		301							{3: '……【kuroname】……'}
5	5		301							{3: '……我……在……'}
6	6		301							{3: '……我现在，就想见到你。'}
7	7		301				AniZhuanchangBegin			{3: '……'}
8	8		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory0.png'}
9	9		401							{1: '1', 2: '36'}
10	10		301			AniZhuanchangEnd				{3: '一开始是如同落入海底一般，巨大而模糊不清的声响。'}
11	11		301							{3: '从黑暗中伸出的金色手指指向远方，于是顺着那个方向看了过去。'}
12	12		301							{3: '不远处的幢幢光影变换着形态，逐渐化作熟知的模样，那是穹顶下方的数十座舞台灯，随着演出的落幕缓缓熄灭。'}
13	13		301							{3: '周围的一切也随之铺陈开来，恢弘的穹顶下，深红色丝绒布的座椅无一空席，自己也是端坐于此的诸多观众中的一员。'}
14	14		301							{3: '视线落回前方，舞台上仅剩的一道光路中，站立着一个熟悉又陌生的身影。'}
15	15		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryWhiteNew.prefab', 2: '2'}
16	16		201						500.0	{1: '1', 2: '500430'}
17	17		401							{1: '2', 2: '613'}
18	18		501						500.0	{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiNoiseNew.prefab', 2: '3'}
19	19		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiNoiseNew.prefab'}
20	20		402				AniZhuanchangBegin			{1: '613'}
21	27		101							{1: 'Assets/Product/Texture/Image/BgStory/Bgstory528.jpg'}
22	23		201							{1: '1', 2: '500108'}
23	28		301			AniZhuanchangEnd				{3: '帷幕落下，掌声如雷鸣般清晰响起。'}
24	29		301				AniZhuanchangBegin			{3: '年轻的歌剧家缓步走上舞台，她的双眼在观众席上飞速掠过，然后停在了前排的一角，演出中她总是告诫自己不能过于注意那里。'}
25	30		301			AniZhuanchangEnd				{3: '在衣冠楚楚的观众之中，有一个人穿着笔挺的军服，起身望向舞台中央。'}
26	31		301							{3: '那个人的视线带着温和的善意，越过纷纷扬扬的金色亮片与过于炫目的舞台灯光，与她相汇。'}
27	32		301							{3: '仅仅是片刻无言的凝视，安抚般的目光，便令她从歌剧甫一开场便一直盘踞在内心深处的恐惧与迷惘逐渐褪去。'}
28	33		301							{3: '暂时敛起内心的不安与赧意，赛琳娜轻轻吸气，垂目行礼。'}
29	34		301				AniZhuanchangBegin			{3: '直至灯光暗下，观众席上空无一人。'}
30	35		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory15.jpg'}
31	36		202							{1: '1', 6: '1'}
32	37		301			AniZhuanchangEnd				{3: '她揪紧裙摆，匆匆跑向剧院的后台。'}
33	38		301							{3: '艺术协会的成员与到访的记者捧着各式仿生花束簇拥上来，掌声从观众席蔓延至后台，充斥在耳边的尽是对演出圆满成功的赞誉与祝贺。'}
34	39		301							{3: '她带着得体的微笑一一颔首致谢，鸢尾紫的双眼却不时透过花叶与人群的缝隙看向后台虚掩着的门，仿佛门后有她一直在等待的人。'}
35	40		301							{3: '直到前来祝贺的人群终于散去，她疾步走出门外。'}
36	41		301							{3: '可空荡的大厅寂静无声，没有任何人在此停留。'}
37	42		301							{3: '浅涩的失落与惴然如同夜雾缭绕心头，她顾不得礼仪，有些唐突地叫住了正在整理道具的工作人员。'}
38	43		401							{1: '1', 2: '208'}
39	44		301							{2: '赛琳娜', 3: '请问……有没有……'}
40	45		201							{1: '1', 2: '500108', 3: '4'}
41	46		301							{1: '1', 2: '赛琳娜', 3: '……有没有人，刚才在这里等我？', 4: '1'}
42	47		203							{1: '1', 2: '0.25', 3: '400'}
43	48		201							{1: '2', 2: '500163', 4: '-400'}
44	49		301							{1: '1', 2: '工作人员', 3: '嗯……？预约采访的记者应该都已经回去了……啊！', 4: '2'}
45	50		301							{3: '负责后勤的工作人员先是疑惑地歪了歪头，然后恍然大悟般啪地合掌。'}
46	51		301							{2: '工作人员', 3: '请稍等一下。', 4: '2'}
47	52		203							{1: '2', 2: '0.25', 3: '-600'}
48	53		202							{1: '2', 6: '1'}
49	54		203							{1: '1', 2: '0.25'}
50	55		301							{3: '她走向化妆间内侧的一个小房间，从里面拿出一个花盒。'}
51	56		201							{1: '2', 2: '500163', 4: '-600'}
52	57		203							{1: '2', 2: '0.25', 3: '-400'}
53	58		201							{1: '1', 2: '500108', 3: '4', 4: '400'}
54	59		301							{1: '1', 2: '工作人员', 3: '因为是比较特别的东西，所以没有和送来的其他贺礼放在一起……', 4: '2'}
55	60		301							{3: '没错，与堆放在后台的任何花束与礼物都不同。'}
56	61		301							{2: '赛琳娜', 3: '这是……', 4: '1'}
57	62		301							{3: '赛琳娜的双眼中映出的是一捧独一无二的鸢尾。'}
58	63		301							{3: '她知道空中花园鲜少将珍贵的资源浪费在培育观赏用的花卉上，用于装饰的‘鲜花’实际大多是容易保存的仿生花束。'}
59	64		301							{3: '但面前的这捧葱翠中点缀着行将盛放的紫色花蕾，柔软的花瓣上甚至还留有晶莹的水珠。'}
60	65		301							{3: '那样蓬勃的生机，令她产生一瞬的恍惚，仿佛这种自然之美本该只存在于那颗对于此时的她来说，过于遥远的蓝星上。'}
61	66		301							{3: '是那样如梦似幻的，不应实际存在于此的东西。'}
62	67		301							{2: '赛琳娜', 3: '……', 4: '1'}
63	68		301							{2: '工作人员', 3: '是赛琳娜小姐在舞台上致谢的时候被送来的，没想到军部的指挥官里都有您的粉丝。', 4: '2'}
64	69		301							{3: '工作人员有些俏皮地眨了眨眼。'}
65	70		301							{2: '工作人员', 3: '那位指挥官托我向您致歉，因为接下来有紧急任务无法久留，所以让我帮忙转交这个礼物。', 4: '2'}
66	71		301							{3: '工作人员将花束递了过来，赛琳娜小心翼翼地接过，令它安然躺在自己的臂弯中。'}
67	72		301							{3: '花束没有被剪去根茎，底部甚至连接着简易的营养供给装置，只要赛琳娜将它重新栽种，它便可以继续盛放在任何地方。'}
68	73		301							{3: '不必因为一时的庆贺而将花枝剪下，而是一同注视着她历经轮转的时光。'}
69	74		301							{3: '若是这样的花能够铺满诗歌中所描绘的草甸与山坡，那又会是多么美丽的景象？'}
70	75		301							{2: '工作人员', 3: '真是漂亮的花，看着就会令人心情愉悦，虽然仿生花同样美丽，但是鲜花带给人的印象完全不同。', 4: '2'}
71	76		301							{2: '工作人员', 3: '真的是非常珍贵的礼物。', 4: '2'}
72	77		204							{1: '1'}
73	78		301							{3: '赛琳娜将怀中的花束拢得稍紧了一些。'}
74	79		301							{3: '淡雅的馨香与花叶的气息在寂静中温柔环绕，恰似一种无声的鼓励。'}
75	80		301							{2: '工作人员', 3: '难道那位指挥官，是您的……', 4: '2'}
76	81		301							{2: '工作人员', 3: '……啊，抱歉，是我冒犯了。', 4: '2'}
77	82		301							{3: '出于好奇的询问被适时中止，被向着并不熟识的淑女提出这样的问题，确实是十分失礼的行为。'}
78	83		301							{2: '赛琳娜', 3: '没有关系。', 4: '1'}
79	84		301							{3: '少女轻轻摇头，双眼弯起温柔的弧度。'}
80	85		301				AniZhuanchangBegin			{3: '就连她自己也没有意识到，那是她自歌剧开始排演后便鲜少见到的，无比放松的笑容。'}
81	86		202							{1: '1', 2: '2', 6: '1'}
82	87		201							{1: '1', 2: '500108'}
83	88		301			AniZhuanchangEnd				{1: '1', 3: '花叶中隐藏着一张卡片，上面是她无比熟悉的字迹。'}
84	89		301							{3: '‘致伊利斯。’'}
85	90		301							{3: '接下来的笔迹与之前相比略显仓促，像是匆忙之间写下的另一段留言。'}
86	91		301							{3: '‘我已经看到了熠熠生辉的你。’'}
87	92		301							{3: '‘在创造中找寻自我，即使有迷茫和恐惧随行，但相信你一定能找到属于自己的解答。’'}
88	93		301							{3: '‘你或许听过那句话，越是向往高处的光，它的根便要伸向黑暗的地底。’'}
89	94		301							{3: '‘请不要焦急，一点一点前行吧。’'}
90	95		301							{3: '即使是在仓促中书写，字迹依旧凌冽而充满力量。'}
91	96		301							{3: '身后传来规律而坚实的脚步声，像是军人的步伐。'}
92	97		401							{1: '1', 2: '201'}
93	98		204							{1: '1', 2: '4'}
94	99		301							{3: '赛琳娜心头一颤，缓缓回头。'}
95	100		203							{1: '1', 2: '0.25', 3: '450'}
96	101		201							{1: '2', 2: '500019', 4: '-450'}
97	102		301							{1: '1', 2: '？？？', 3: '……', 4: '2'}
98	103		301							{3: '身后走来的是一名普通的构造体，他穿着制式的构造体服装，眉眼间有着尚未掩饰干净的愤懑与阴霾。'}
99	104		301							{3: '赛琳娜一眼便认出了那是收到她赠票的构造体士兵，但她从未在观赏完歌剧的观众脸上看到这样的情绪。'}
100	105		301							{3: '在这样的情绪中，她窥见了自己一直以来的心悸源自何处。'}
101	106		301							{3: '年轻的歌剧家下意识地后退了一步，却又立刻抬步上前。'}
102	107		301							{2: '赛琳娜', 3: '请问……有什么能帮到您的？', 4: '1'}
103	108		301							{2: '构造体', 3: '哈，有一个人说，你会愿意听听我们这些构造体的看法。', 4: '2'}
104	109		301							{3: '构造体士兵的胸膛肉眼可见地剧烈起伏了一下，像是在勉力阻止某种情绪的发作。'}
105	110		204							{1: '1', 2: '7'}
106	111		301							{2: '构造体', 3: '关于刚才那场歌剧。', 4: '2'}
107	112		301							{2: '构造体', 3: '单刀直入地说，那是我迄今为止见到过的最可笑的东西。', 4: '2'}
108	113		301							{2: '构造体', 3: '既然你在歌剧里‘表达了你的想法’，那么我也有一些东西不吐不快。', 4: '2'}
109	114		301							{2: '构造体', 3: '因为我无法再忍受，在我们拼上性命战斗的时候，上面的人是在用这样苍白而可笑的想象描绘我逝去的同胞，甚至大张旗鼓地炫耀他们的无知！', 4: '2'}
110	115		301							{2: '构造体', 3: '原来在空中花园的高高在上的居民看来，我们的牺牲就是这样儿戏的东西。', 4: '2'}
111	116		301							{2: '构造体', 3: '哈……如果我的粗鲁令你无法忍受，你可以就此离开。', 4: '2'}
112	117		301							{3: '尖锐的指责，近乎挑衅的语气，然而赛琳娜却在构造体语气中感受到了如血的沉痛与失望。'}
113	118		301							{3: '他本可以在歌剧结束后转头离去，却还是找到了这里，向她直白地说出了自己的愤怒。'}
114	119		301							{3: '‘越是向往高处的光，它的根便要伸向黑暗的地底。’'}
115	120		301							{3: '她知道那个人是想以更加温和的方式指出她的错误，但她心知自己不能避开应当接受的批评与斥责。'}
116	121		301							{3: '这是她必须面对的审判。'}
117	122		301							{3: '赛琳娜点头，认真的迎上对方的目光，双手在身前交叠紧握，扼制住胆怯所带来的颤抖。'}
118	123		204							{1: '1', 2: '4'}
119	124		301							{2: '赛琳娜', 3: '不……请您接着说下去。', 4: '1'}
120	125		301		1		AniZhuanchangBegin			{2: '赛琳娜', 3: '请您告诉我。', 4: '1'}
