Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory16.jpg'}
2	2		401							{1: '1', 2: '208'}
3	3		301			DialogEnable				{1: '1', 3: '空中花园，阿西莫夫的实验室内。'}
4	4		201							{1: '1', 2: '500004'}
5	5		301							{1: '1', 2: '阿西莫夫', 3: '通知下放过去那么长时间了，到现在才来，让人不禁怀疑你小队的风气是不是都和你一样怠惰。', 4: '1'}
6	6		302							{2: '所以是什么事？', 3: '7', 4: '我并没有失约。', 5: '8'}
7	7	9	301							{2: '阿西莫夫', 3: '巧妙地回避我提出的问题吗？', 4: '1'}
8	8		301							{2: '阿西莫夫', 3: '这不是失约与否的问题，而是整个队伍积极性的问题。', 4: '1'}
9	9		301							{2: '阿西莫夫', 3: '算了，正事要紧。', 4: '1'}
10	10		301							{2: '阿西莫夫', 3: '你也带领你的小队亲自参与了之前空间站的行动。', 4: '1'}
11	11		301							{2: '阿西莫夫', 3: '鉴于那次事件的威胁程度，为了避免今后再出现类似的突发情况，理事会决定推行一项新的措施。', 4: '1'}
12	12		301							{2: '阿西莫夫', 3: '——由我的科研小队研发一类模拟作战训练的装置，通过调用数据库中各个地区的环境情报和迄今为止每个小队的作战数据报告，来创造出理想的模拟作战环境。', 4: '1'}
13	13		301							{2: '阿西莫夫', 3: '我把这项决策命名为‘巴别塔计划’。', 4: '1'}
14	14		301							{2: '阿西莫夫', 3: '你应该也已经参与过第一期的实验行动了。', 4: '1'}
15	15		301							{2: '阿西莫夫', 3: '就提供的战斗数据报告而言，我十分感谢参与其中的每支队伍做出的贡献。', 4: '1'}
16	16		301							{2: '阿西莫夫', 3: '但也正如已经说明白的那样，这项计划会是一个长期推行下去的措施。', 4: '1'}
17	17		301							{2: '阿西莫夫', 3: '根据上一期的作战数据报告，我对装置进行了一定的强化和调整。', 4: '1'}
18	18		301							{2: '阿西莫夫', 3: '顺便也融合了一些这次沙漠地域的环境要素。', 4: '1'}
19	19		301							{2: '阿西莫夫', 3: '一如既往的，去尽力发挥你的作用，提供更多有用的作战情报给指挥中心进行分析参考吧。', 4: '1'}
20	20		302							{2: '明白。', 3: '21', 4: '有薪水吗？', 5: '22'}
21	21	23	301							{2: '阿西莫夫', 3: '提供越多高难度的作战指挥报告，对以后每个部队的行动展开也会更有利。', 4: '1'}
22	22		301							{2: '阿西莫夫', 3: '真是庸俗。不过，资源补给方面的东西，指挥中心仍然会提供给你们。', 4: '1'}
23	23		301							{2: '阿西莫夫', 3: '事情也已经交代得差不多了，那就不要再浪费时间，赶紧去发挥你的作用吧。', 4: '1'}
24	24		301		1		AniZhuanchangBegin			{2: '阿西莫夫', 3: '记得，越多有效、高层次的作战报告，具备的效用便越高。', 4: '1'}
