Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/Bgstory306.png'}
2	2		401							{1: '1', 2: '201'}
3	3		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiSHanshuoNew.prefab', 2: '2'}
4	4		401							{1: '2', 2: '1501'}
5	5		301			DialogEnable				{2: '警报', 3: '双方领袖个体的存续信号先后消失。'}
6	6		301							{2: '警报', 3: '第*（）——+&次战争轮回的结果为：无。'}
7	7		301							{2: '警报', 3: '按照萨费恩学派制定的规则之二：Naraka-Bastille协议，开始执行清除程序。'}
8	8		301							{2: '警报', 3: '如设施内存在非清除范围的人类和机械个体，请在清除程序执行到你的所在区域之前撤离设施。'}
9	9		301							{2: '警报', 3: '——愿智人荣光永在（All glory to homo sapiens），愿下一次‘战争’决出结果。'}
10	10		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiSHanshuoNew.prefab'}
11	11		301							{3: '在露西亚击败这边的‘领袖’机械体不久后，警报声开始自都市的各处传出。'}
12	101		401							{1: '2', 2: '1503'}
13	12		301			RImgBg1Shake				{3: '从外向内，隆隆的声音不断从各处传来。'}
14	13		201							{1: '1', 2: '500029'}
15	14		301							{1: '1', 2: '露西亚', 3: '怎么回事！', 4: '1'}
16	15		201							{1: '1', 2: '1031001'}
17	16		301							{1: '1', 2: '丽芙', 3: '我们尽快跟指挥官他们会合吧。', 4: '1'}
18	17		201							{1: '1', 2: '500029'}
19	18		301		1		AniZhuanchangBegin			{1: '1', 2: '露西亚', 3: '嗯，丽芙你跟紧我。', 4: '1'}
