Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory1007.jpg'}
2	2		401							{1: '1', 2: '37'}
3	3		301			DialogEnable				{3: '跟随着阿尔法来到了一处偏僻的僧房，这里面收拾得整洁干净，只是有些落灰，看来确实很久没有人居住了。'}
4	4		301							{3: '只要隔绝了风雪，身体似乎就变得暖和不少，大脑也能正常运转了。'}
5	5		301							{3: '作为合作的开端，向阿尔法模糊地说明了此行是为僧院而来。想来升格者应该对把这种条件恶劣的地方占为地盘没什么兴趣。'}
6	6		302							{2: '你为什么在这里？', 3: '7'}
7	7		301							{3: '阿尔法吹了吹灰尘，十分随意地靠在一边，看上去还算满意自己的新形象。'}
8	8		211							{1: '1', 2: '1021028', 3: '1', 7: '1'}
9	9		301							{1: '1', 2: '阿尔法', 3: '僧院与我有些渊源，大殿里面现在有个麻烦的感染体，似乎能对意识海做些手脚。', 4: '101', 18: '100005182', 19: '1', 21: 'v215alpha'}
10	10		301							{2: '阿尔法', 3: '这里的人在离开前，把几条大路都堵死了。', 4: '101', 18: '100005183', 19: '1', 21: 'v215alpha'}
11	11		212							{1: '1', 6: '1'}
12	12		301							{3: '殿门紧闭，碎石瓦砾散落一地， 四处不见人影，原来这就是原因。'}
13	13		301							{3: '僧院如此开阔，为了找到能通往大殿的路，或许要多费一番功夫了。'}
14	14		211							{1: '1', 2: '1021028', 3: '2', 7: '1'}
15	15		301							{1: '1', 2: '阿尔法', 3: '啧，之前的衣服都被弄坏了。', 4: '101', 18: '100005184', 19: '1', 21: 'v215alpha'}
16	16		301							{3: '阿尔法面露不爽，轻轻按着眉间。'}
17	17		302							{2: '难怪你这么熟悉这里。', 3: '18', 4: '难怪你这身打扮。', 5: '18'}
18	18		301							{2: '阿尔法', 3: '……', 4: '101'}
19	19		301							{3: '没有否定，她口吻轻松，像在谈论天气。'}
20	20		214							{1: '1', 2: '1'}
21	21		301				DialogDisable			{2: '阿尔法', 3: '如果没遇上你，我打算就这么强行进去，带个东西走。', 4: '101', 18: '100005185', 19: '1', 21: 'v215alpha'}
22	22		302							{2: '听起来在除掉那个感染体之前，我们的目的都没法实现。', 3: '23'}
23	23		302							{2: '我和你一起探索，效率更高。', 3: '24'}
24	24		214							{1: '1', 2: '3'}
25	25		213						1000.0	{1: '1', 2: '0.4', 4: '-25', 5: '-50'}
26	26		213							{1: '1', 2: '0.4', 4: '-50', 5: '-100'}
27	27		301			DialogEnable				{2: '阿尔法', 3: '我并不怀疑你……有这个能力。', 4: '101', 18: '100005186', 19: '1', 21: 'v215alpha'}
28	28		301							{3: '阿尔法故意走到很近的距离，更像是一种威慑手段，她盯着自己看了好一会，时间长到被盯得有些不自在了。'}
29	29		302							{2: '……合作愉快。', 3: '30'}
30	30		212							{1: '1', 6: '1'}
31	31		301							{3: '她左手的手指绕过右边的鬓发，又搭回到刀上。没有反对，应该就是答应了吧？和现在的阿尔法一点一滴建立的信任，自己都很珍惜。'}
32	32		302							{2: '那些流民……好像叫你老大？', 3: '33'}
33	33		211							{1: '1', 2: '1021028', 3: '2', 7: '1'}
34	34		301							{1: '1', 2: '阿尔法', 3: '只是来的路上顺手砍了点碍事的铁块，他们的自发行为与我无关。', 4: '101', 18: '100005187', 19: '1', 21: 'v215alpha'}
35	35		301							{3: '阿尔法冷淡地否决，听上去不想多提。大概能从她惜字如金的话语里推测出事情原委了。'}
36	36		302							{2: '那些身着僧袍，里面又是黑衣打扮的人是……？', 3: '37'}
37	37		301							{2: '阿尔法', 3: '你说另一波人，或许跟这里曾经的那位僧院住持有关吧。我不清楚，但他们也想得到那把刀。', 4: '101', 18: '100005188', 19: '1', 21: 'v215alpha'}
38	38		301							{2: '阿尔法', 3: '呵，不自量力。', 4: '101', 18: '100005189', 19: '1', 21: 'v215alpha'}
39	39		302							{2: '住持？', 3: '40', 4: '也想？', 5: '41'}
40	40	42	301							{2: '阿尔法', 3: '是个年迈古怪的老头子，不必在意。', 4: '101', 18: '100005190', 19: '1', 21: 'v215alpha'}
41	41		301							{2: '阿尔法', 3: '那些人可不像什么善茬，你最好明白。', 4: '101', 18: '100005191', 19: '1', 21: 'v215alpha'}
42	42		212							{1: '1', 6: '1'}
43	43		301							{3: '那么她来这里的目的，就是带走那把刀？'}
44	44		401						500.0	{1: '2', 2: '10042608'}
45	45		402							{1: '10042608'}
46	46		301							{3: '虽然还想问得更清楚点，但阿尔法突然用刀柄将自己往外推了推。'}
47	47		211							{1: '1', 2: '1021028', 3: '1', 7: '1'}
48	48		301				AniZhuanchangBegin			{1: '1', 2: '阿尔法', 3: '那么，你去解决人类的事情。而我，解决一下非人类的客人。', 4: '101', 18: '100005192', 19: '1', 21: 'v215alpha'}
49	49		212							{1: '1', 6: '1'}
50	50		401							{1: '1', 2: '36'}
51	51		101						2000.0	{1: 'Assets/Product/Texture/Image/BgStory/Bgstory55.jpg'}
52	52		401							{1: '1', 2: '210'}
53	53		211							{1: '1', 2: '1021026', 3: '1', 4: '-400', 7: '1'}
54	54		211							{1: '2', 2: '1021027', 3: '1', 4: '400', 7: '1'}
55	55		301			AniZhuanchangEnd				{1: '1', 3: '眨眼间，阿尔法已经消失不见，只剩自己孤零零地站在僧房门口，与几个流民面面相觑。'}
56	56		301							{2: '流民A', 3: '欸，老大呢？我刚还看见老大进了这里……', 4: '101', 18: '100005193', 19: '1', 21: 'v215alpha'}
57	57		301							{2: '流民B', 3: '你是……老大的人？！', 4: '102', 18: '100005194', 19: '2', 21: 'v215alpha'}
58	58		301							{2: '流民A', 3: '哇，你是老大带上摩托的那个人！', 4: '101', 18: '100005195', 19: '1', 21: 'v215alpha'}
59	59		301							{2: '流民A', 3: '真好啊，真羡慕，那摩托也太帅了，我们光是想靠近点看就被老大用眼神差点杀了，你居然能坐上去！', 4: '101', 18: '100005196', 19: '1', 21: 'v215alpha'}
60	60		301							{2: '流民B', 3: '哇，不愧是老大的人！', 4: '102', 18: '100005197', 19: '2', 21: 'v215alpha'}
61	61		302							{2: '等……', 3: '62'}
62	62		301							{3: '两个流民或许很久没见到不带敌意的活人了，一刻不停兴高采烈地自我介绍。'}
63	63		301							{2: '图雷', 3: '我叫图雷！他是“破铁头”。既然你是老大的人，那就和我们也是好兄弟了！', 4: '101', 18: '100005198', 19: '1', 21: 'v215alpha'}
64	64		301							{2: '“破铁头”', 3: '我们想谢谢老大！', 4: '102', 18: '100005199', 19: '2', 21: 'v215alpha'}
65	65		301							{3: '差点脱口而出“我不是我没有”，仔细想想，这种时候还是先应下来打听情报好了。'}
66	66		302							{2: '你们是僧院的人吗？', 3: '67'}
67	67		301							{2: '图雷', 3: '当然不是啦，你说的僧院在过去遭遇感染体的袭击后就遣散了僧人，这里早就人去院空啦。', 4: '101', 18: '100005200', 19: '1', 21: 'v215alpha'}
68	68		302							{2: '可那些穿着僧袍的人……？', 3: '69'}
69	69		301							{2: '图雷', 3: '哦，你是说山组的人吧？', 4: '101', 18: '100005201', 19: '1', 21: 'v215alpha'}
70	70		301							{2: '图雷', 3: '从舞明来的，他们可不是什么好鸟，肯定是在舞明呆不下去了，要不来这鬼地方干嘛。', 4: '101', 18: '100005202', 19: '1', 21: 'v215alpha'}
71	71		301							{2: '“破铁头”', 3: '他们简直欠揍，口口声声说着宝刀是他们大哥的，就应该是他们的，穿了僧袍装斯文，千万别被骗了！', 4: '102', 18: '100005203', 19: '2', 21: 'v215alpha'}
72	72		301							{2: '图雷', 3: '你没看见吗？一个个舞刀弄枪的，占了偏殿就要打我们！要不是“破铁头”机灵……！', 4: '101', 18: '100005204', 19: '1', 21: 'v215alpha'}
73	73		302							{2: '等等，你们说的宝刀，又是怎么回事？', 3: '74'}
74	74		301							{2: '图雷', 3: '那就孩子没娘，说来话长了！', 4: '101', 18: '100005205', 19: '1', 21: 'v215alpha'}
75	75		301							{2: '图雷', 3: '据说这里的僧院住持武功绝世高强，他离开前在大殿大佛像后留下一柄锋利无比的宝刀，那厉害的，切个感染体犹如砍瓜切菜。', 4: '101', 18: '100005206', 19: '1', 21: 'v215alpha'}
76	76		301							{2: '图雷', 3: '不信你去看看，后山全是感染体的残骸！', 4: '101', 18: '100005207', 19: '1', 21: 'v215alpha'}
77	77		301							{2: '“破铁头”', 3: '可那宝刀要是真的那么犀利，老爷子怎么自己不对付大殿里的怪物呢？', 4: '102', 18: '100005208', 19: '2', 21: 'v215alpha'}
78	78		301							{2: '图雷', 3: '唉，要我说，大概是老了吧。', 4: '101', 18: '100005209', 19: '1', 21: 'v215alpha'}
79	79		301							{2: '图雷', 3: '我们本来也想看看有没有机会拿了这种稀世珍宝去换点值钱的东西……', 4: '101', 18: '100005210', 19: '1', 21: 'v215alpha'}
80	80		301							{2: '图雷', 3: '嚯，可算了吧，还是小命要紧。', 4: '101', 18: '100005211', 19: '1', 21: 'v215alpha'}
81	81		301							{2: '“破铁头”', 3: '就是嘛，我们这血肉一身怎么搞得过不怕痛不怕死的机械呢。', 4: '102', 18: '100005212', 19: '2', 21: 'v215alpha'}
82	82		302							{2: '既然大家目的相同，就应该坐下来谈谈。', 3: '83', 4: '感染体总归要处理。', 5: '83'}
83	83		301							{2: '图雷', 3: '说得对，和那些人打来打去也不是办法，我们也打不过。', 4: '101', 18: '100005213', 19: '1', 21: 'v215alpha'}
84	84		301							{2: '“破铁头”', 3: '你一定是老大派来帮我们的吧！老大对我们真好！交给你了，我们相信老大的人！', 4: '102', 18: '100005214', 19: '2', 21: 'v215alpha'}
85	85		301							{3: '唉……'}
86	86		301		1		AniZhuanchangBegin			{3: '虽说是顺水推舟，但好像成了个麻烦的差事……'}
