Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory14.png'}
2	2		401							{1: '1', 2: '201'}
3	3		301			DialogEnable				{2: '系统', 3: '全身扫描完毕，结果正常。'}
4	4		301							{2: '系统', 3: '思维信标稳定性扫描完毕，结果正常。'}
5	5		302							{2: '果然是我想太多了。', 3: '6', 4: '机器是不是坏掉了。', 5: '6'}
6	6		201							{1: '1', 2: '1031001', 3: '14'}
7	7		301							{1: '1', 2: '丽芙', 3: '指挥官，你还好吗？', 4: '1'}
8	8		301							{2: '丽芙', 3: '我有点担心您的身体状况……因为您在上次任务中出现过三次精神恍惚状态。', 4: '1'}
9	9		301							{2: '丽芙', 3: '这种状况发生得越来越频繁了，我很担心，所以让丽芙为您做一次全面检查吧。', 4: '1'}
10	10		302							{2: '被发现了。', 3: '11', 4: '我没事的，不用担心。', 5: '11'}
11	11		301							{2: '丽芙', 3: '指挥官总是这样……好吧。', 4: '1'}
12	12		301							{2: '丽芙', 3: '那我就不打扰您休息了，如果明天不舒服的话，要及时说哦，我们会申请暂缓下次任务的。', 4: '1'}
13	13		302							{2: '嗯，多谢关心。', 3: '14'}
14	14		202							{1: '1', 6: '1'}
15	15		301							{3: '丽芙轻轻地带上了指挥官的房门，房门上方的电子钟显示着现在的时间——凌晨2:32。'}
16	16		302							{2: '那么接下来。', 3: '17'}
17	17		302							{2: '呃……', 3: '18'}
18	18		302							{2: '思维信标又异常过载了吗……', 3: '19'}
19	19		301							{2: '？？？', 3: '确认连接状况，1——'}
20	20		301							"{2: '？？？', 3: '""1,2,3，确认连接状况。""'}"
21	21		302							{2: '你是谁？为什么能够强行连接我的思维信标？', 3: '22'}
22	22		301							{2: '？？？', 3: '看来这次没问题了。'}
23	23		301							{2: '？？？', 3: '好久不见，人类。'}
24	24		302							{2: '是你。', 3: '25'}
25	25		201							{1: '1', 2: '500100', 3: '13'}
26	26		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryTongxunHalfNew.prefab', 3: '1'}
27	27		301							{1: '1', 2: '阿尔法', 3: '嗯，看来声音在通讯中也没有失真。', 4: '1'}
28	28		302							{2: '你想要做什么！', 3: '29'}
29	29		301							{2: '阿尔法', 3: '我没有回答你的义务，测试目的达到了，我们下次再见。', 4: '1'}
30	30		302							{2: '喂！', 3: '31'}
31	31		202							{1: '1', 6: '1'}
32	32		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryTongxunHalfNew.prefab', 4: '1'}
33	33		301		1		AniZhuanchangBegin			{2: '系统', 3: '连接信号已中断……'}
