Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory46.jpg'}
2	2		401							{1: '1', 2: '5'}
3	3		201							{1: '1', 2: '500091'}
4	4		301			DialogEnable				{1: '1', 2: '七实', 3: '指挥官早上好~指挥官下回再见！', 4: '1'}
5	5		201							{1: '1', 2: '1011001'}
6	6		301							{1: '1', 2: '里', 3: '你给我站住！', 4: '1'}
7	7		302							{2: '发生什么事了？', 3: '8', 4: '七实是不是从你这里要走了什么？', 5: '8'}
8	8		301							{2: '里', 3: '我在整理仓库的时候七实突然就冲了进来，然后趁我没反应过来的时候把控制器拿走了。', 4: '1'}
9	9		301							{2: '里', 3: '那套新机体……根本不可能追得上。', 4: '1'}
10	10		302							{2: '看起来很头疼的样子啊，里。', 3: '11', 4: '这么说来她拿走的控制器是？', 5: '14'}
11	11		204							{1: '1', 2: '10'}
12	12		301							{2: '里', 3: '这样麻烦的家伙，不是头疼可以一言蔽之的。', 4: '1'}
13	13		204							{1: '1'}
14	14		301							{2: '里', 3: '被她拿走的控制器是远程遥控类型的T1系列。', 4: '1'}
15	15		204							{1: '1', 2: '10'}
16	16		301							{2: '里', 3: '那个要说能用来做什么的话……能想到的范围还是挺大的。', 4: '1'}
17	17		204							{1: '1'}
18	18		301							{2: '里', 3: '指挥官，我听说她最近都在搜集些什么东西吧，你知道是什么吗？', 4: '1'}
19	19		302							{2: '反应堆跟金属。', 3: '20', 4: '不……不知道呢……', 5: '23'}
20	20		204							{1: '1', 2: '10'}
21	21		301							{2: '里', 3: '那家伙该不会在造炸弹吧……', 4: '1'}
22	22	24	204							{1: '1'}
23	23		301							{2: '里', 3: '好可疑，你在隐瞒什么吗？', 4: '1'}
24	24		301							{2: '里', 3: '不过她应该不会对我们做出什么不利的事情才对。', 4: '1'}
25	25		302							{2: '我还以为你在怀疑她……', 3: '26', 4: '嗯，七实是个好孩子。', 5: '27'}
26	26	30	301							{2: '里', 3: '只是让你多注意她而已，那种家伙不一直看着是不行的吧。', 4: '1'}
27	27		204							{1: '1', 2: '10'}
28	28		301							{2: '里', 3: '好孩子……得到指挥官这样的评价，她恐怕不会高兴的吧。', 4: '1'}
29	29		204							{1: '1'}
30	30		301							{2: '里', 3: '总之七实虽然可能没有恶意，但考虑到她之前的各种动作，我就怕她这次会因为好玩而搞出什么大事件来。', 4: '1'}
31	31		301							{2: '里', 3: '比如用收集回来的东西凑合着做个炸弹之类的。', 4: '1'}
32	32		204							{1: '1', 2: '10'}
33	33		301		1		AniZhuanchangBegin			{2: '里', 3: '嗯……应该是我多心了吧。', 4: '1'}
