Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory14.png'}
2	2		401							{1: '1', 2: '208'}
3	3		201							{1: '1', 2: '1011001'}
4	4		301			DialogEnable				{1: '1', 2: '里', 3: '指挥官，多亏赛利卡的帮忙我已经找到合适的学校了，近期就送七实过去如何？', 4: '1'}
5	101		302							{2: '你效率好高。', 3: '5', 4: '哦……恩。', 5: '6'}
6	5	7	301							{2: '里', 3: '毕竟现在也没什么要事。', 4: '1'}
7	6	7	301							{2: '里', 3: '不过是去学校而已，不会出什么问题的。', 4: '1'}
8	7		203							{1: '1', 2: '0.25', 3: '-400'}
9	8		201							{1: '2', 2: '1041001', 4: '400'}
10	9		301							{1: '1', 2: '七实', 3: '唔……七实不想离开指挥官。', 4: '2'}
11	10		301							{2: '里', 3: '啊？', 4: '1'}
12	11		301							{2: '七实', 3: '你看，真正收复地球的时候大家就会闲下来了吧，那到时候再研究也不迟呀！', 4: '2'}
13	12		301							{2: '里', 3: '战况并不乐观，更何况你能确保在那之前不会因为任性而又搞出什么吗？', 4: '1'}
14	13		301							{2: '七实', 3: '这才不是任性……只是任务有时限…', 4: '2'}
15	14		301							{2: '里', 3: '时限？', 4: '1'}
16	15		301							{2: '里', 3: '我是不知道你那个时限是什么时候，但这样不就更应该提前处理要事吗？', 4: '1'}
17	16		301							{2: '七实', 3: '但是，但是七实不想离开指挥官！', 4: '2'}
18	102		302							{2: '我也想要七实待在这里！', 3: '17', 4: '里！不要让七实离开！', 5: '17'}
19	17		301							{2: '里', 3: '……你们两，怎么感觉我成了坏人一样……', 4: '1'}
20	1000		204							{1: '1', 2: '10'}
21	18		301							{2: '里', 3: '说实话，我对七实的任务毫无兴趣，但是每次修理被胡搞的基地也很麻烦。', 4: '1'}
22	1001		204							{1: '1'}
23	19		301							{2: '里', 3: '你能确保今后别一无聊就找东西来破坏吗？', 4: '1'}
24	20		202							{1: '1', 6: '1'}
25	21		203							{1: '2', 2: '0.25', 3: '0'}
26	22		301							{2: '七实', 3: '不能！', 4: '2'}
27	103		302							{2: '诶？', 3: '23', 4: '这里还是回答可以比较好吧！？', 5: '23'}
28	23		301							{2: '七实', 3: '但是七实会从今天开始努力的。', 4: '2'}
29	24		301							{2: '七实', 3: '战斗也好，日常也好，抑或是其他任务，七实都会争取在时限之前把一切都解决好的！', 4: '2'}
30	25		301							{2: '七实', 3: '然后，七实也希望指挥官能努力成为最优秀的研究对象。', 4: '2'}
31	26		301							{2: '七实', 3: '人类是群体，但在族群群体之中，一定会出现优秀的个体。', 4: '2'}
32	27		301							{2: '七实', 3: '这样的个体才是重要的研究对象，七实是这么想的！', 4: '2'}
33	104		302							{2: '你在说什么？', 3: '28', 4: '所以我要当那个优秀的个体吗？', 5: '29'}
34	28	30	301							{2: '七实', 3: '所以七实的意思就是……请指挥官成为最优秀的人类！', 4: '2'}
35	29	30	301							{2: '七实', 3: '嘿嘿！没错！', 4: '2'}
36	30		301							{2: '七实', 3: '因为会被我叫指挥官的人，作为我研究对象的人，有一个就够了！', 4: '2'}
37	31		204							{1: '2', 2: '1'}
38	32		301		1		AniZhuanchangBegin			{2: '七实', 3: '而且……书上面也写了，只有互相喜欢的两个个体之间的相处……才能叫做约会，别的研究对象什么的，可~不~行~', 4: '2'}
