Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory17.jpg'}
2	2		401							{1: '1', 2: '210'}
3	3		201							{1: '1', 2: '1031001', 3: '7'}
4	4		301			DialogEnable				{1: '1', 2: '丽芙', 3: '唔，指挥官，下午好。有什么事吗？', 4: '1'}
5	5		302							{2: '你要去军需处？', 3: '6', 4: '有什么我能帮忙的吗', 5: '7'}
6	6	8	301							{2: '丽芙', 3: '诶？是这样没错，今天是星期四……', 4: '1'}
7	7		301							{2: '丽芙', 3: '没有哦，指挥官好好去休息就好，我接下来只用去军需处领东西就好。', 4: '1'}
8	8		302							{2: '让我来吧', 3: '9'}
9	9		204							{1: '1', 2: '14'}
10	10		301							{2: '丽芙', 3: '欸…？可是，这是我的工作……', 4: '1'}
11	11		302							{2: '你去休息就好', 3: '12'}
12	12		301							{2: '丽芙', 3: '难、难道是因为我做得不够好吗…？', 4: '1'}
13	13		302							{2: '当然不是！', 3: '14'}
14	14		301							{3: '花了半天功夫才让丽芙相信，单纯只是自己想去，而不是她的工作有什么问题。'}
15	15		301							{2: '丽芙', 3: '……那，这次也交给指挥官了。', 4: '1'}
16	16		302							{2: '放心吧', 3: '17'}
17	17		301				AniZhuanchangBegin			{2: '丽芙', 3: '虽然不知道是为了什么……总之，指挥官，麻烦你了！', 4: '1'}
18	18		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory84.jpg'}
19	19		202							{1: '1', 6: '1'}
20	20		301			AniZhuanchangEnd				{3: '这次很顺利地领到需要的东西后立刻在大厅里东张西望起来。'}
21	21		301							{3: '……果不其然，再次在那个角落的房间内看见了薇拉，这次却是另一个不同的人与之对峙着。'}
22	22		301							{3: '薇拉薄薄的嘴唇张合着，对面那名男人便如同妥协般，拿出了……装药剂用的试管？'}
23	23		302							{2: '等等！', 3: '24', 4: '（静待不动）', 5: '27'}
24	24		201							{1: '1', 2: '500168'}
25	25		301							{1: '1', 2: '薇拉', 3: '……', 4: '1'}
26	26	33	301							{2: '薇拉', 3: '……就不能让我假装没看见你吗？', 4: '1'}
27	27		301							{3: '男人突然停止了动作，对薇拉说了几句话。薇拉叹了口气。'}
28	28		201							{1: '1', 2: '500168'}
29	29		301							{1: '1', 2: '薇拉', 3: '过来。', 4: '1'}
30	30		302							{2: '……', 3: '31'}
31	31		301							{2: '薇拉', 3: '我在叫你，听不见吗？', 4: '1'}
32	32		302							{2: '我？', 3: '33'}
33	33		301							{3: '薇拉仿佛呼唤小动物那样朝这边伸出了手，并不能确定是不是在叫自己，但还是走了过去。'}
34	34		301							{3: '接着看到薇拉向男人指了指这边，不知道说着什么，男人点着头，将黑色箱子递给了薇拉。'}
35	35		301							{2: '薇拉', 3: '……没错，【kuroname】。', 4: '1'}
