Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/Bgstory279.png'}
2	2		401							{1: '1', 2: '102'}
3	3		201							{1: '1', 2: '1031001', 3: '7', 4: '400'}
4	4		201							{1: '2', 2: '500026', 4: '-400'}
5	5		301			DialogEnable				{1: '1', 2: '丽芙', 3: '敌人从后方包围过来了……我们已经没有退路了！', 4: '1'}
6	6		301							{2: '里', 3: '没关系，反正我们也不打算回头。', 4: '2'}
7	7		202							{1: '1', 2: '2', 6: '1'}
8	8		201							{1: '1', 2: '500166'}
9	9		301							{1: '1', 2: '露西亚', 3: '必须要在被完全包围之前突破过去！', 4: '1'}
10	10		202							{1: '1', 6: '1'}
11	11		301				DialogDisable			{3: '敌人越来越多，现在需要的不是考虑打倒所有的敌人，而是找到突破重围的路线。'}
12	12		305							{1: '13', 2: '13'}
13	13		502		1					{1: 'AniZhuanchangBegin'}
