Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory41.jpg'}
2	2		401							{1: '1', 2: '201'}
3	3		201							{1: '1', 2: '500238'}
4	4		301			DialogEnable				{1: '1', 3: '目送着露西亚离开的背影，露娜压抑住了想要叫住对方的冲动。'}
5	5		301							{2: '露娜', 3: '（姐姐……她只是还需要一些时间。）', 4: '1'}
6	6		301							{3: '和自己有同样被背叛经历的露西亚，对人类应该抱持着同样的厌恶，不然也不可能通过升格网络的筛选。'}
7	7		301							{2: '露娜', 3: '（或许是对那些同样被背叛的构造体抱有同情吧？）', 4: '1'}
8	8		301							{3: '以往的露娜能有自信从姐姐的每个表情中窥探出她的想法，但是在那个雨夜的恸哭之后，露西亚仿佛将所有的情绪都宣泄了出来。'}
9	9		301							{3: '决堤的情感之后是无尽的漠然，露娜已经很久没有看到露西亚有什么表情了。'}
10	10		301							{2: '？？？', 3: '需要我们跟上去吗，露娜小姐？'}
11	11		202							{1: '1', 6: '1'}
12	12		201							{1: '1', 2: '500101', 4: '400'}
13	13		201							{1: '2', 2: '500008', 4: '-400'}
14	14		301							{1: '1', 3: '熟悉的声音将露娜从思考中唤醒，只见罗兰和加百列从一旁的阴影中走出。'}
15	15		202							{1: '2', 6: '1'}
16	16		201							{1: '1', 2: '500238'}
17	17		301							{1: '1', 2: '露娜', 3: '不用，就算是在留情的基础上，姐姐的实力也足以对付那些空中花园的构造体。', 4: '1'}
18	18		301							{2: '露娜', 3: '更何况，通过升格网络建立起的联系，也能让我一直知道她的情况。', 4: '1'}
19	19		301							{2: '露娜', 3: '既然她说想要一个人走走，那么就由她去吧。', 4: '1'}
20	20		301							{2: '露娜', 3: '你们有什么要报告的吗？', 4: '1'}
21	21		201							{1: '1', 2: '500101'}
22	22		301							{1: '1', 2: '加百列', 3: '目前还没有找到那名升格者的踪迹，尽管已经扩大了搜索范围，但是仍然没有任何线索指向他的去处。', 4: '1'}
23	23		201							{1: '1', 2: '500238'}
24	24		301							{1: '1', 2: '露娜', 3: '是吗……', 4: '1'}
25	25		301							{3: '对于这个结果露娜没有太多的意外，如果对方那么容易就被捉住，也不会被冠以‘欺诈师’的名头了。'}
26	26		201							{1: '1', 2: '500008', 3: '4'}
27	27		301							{1: '1', 2: '罗兰', 3: '另外，就是一点关于露西亚小姐的消息。', 4: '1'}
28	28		201							{1: '1', 2: '500238'}
29	29		301							{1: '1', 2: '露娜', 3: '……？', 4: '1'}
30	30		301							{3: '这句话明显出乎了露娜的预料，她转过头来看向罗兰，眼神中第一次出现了些微的波动。'}
31	31		301							{2: '露娜', 3: '什么消息？', 4: '1'}
32	32		201							{1: '1', 2: '500008', 3: '4'}
33	33		301							{1: '1', 2: '罗兰', 3: '从几个想要弃暗投明的家伙嘴里得知的——‘灰鸦在上一次任务中近乎覆灭，唯一的幸存者露西亚，已经返回了空中花园，正在接受治疗。’', 4: '1'}
34	34		301							{3: '惊讶，了然，愤怒……复数的感情从露娜淡金色的眸子中快速闪过，最后又重归于寂静。'}
35	35		201							{1: '1', 2: '500238'}
36	36		301							{1: '1', 2: '露娜', 3: '是吗，他们果然还是不愿意放过姐姐，即便不是原本的她。', 4: '1'}
37	37		201							{1: '1', 2: '500008', 3: '4'}
38	38		301							{2: '罗兰', 3: '要告诉她这件事吗？', 4: '1'}
39	39		201							{1: '1', 2: '500238'}
