Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory41.jpg'}
2	2		401							{1: '1', 2: '201'}
3	3		201							{1: '1', 2: '500005'}
4	4		301			DialogEnable				{1: '1', 2: '人类士兵', 3: '要不是我们在半路上发现你，你现在已经死了。', 4: '1'}
5	5		201							{1: '1', 2: '500057'}
6	6		301							{1: '1', 2: '露西亚', 3: '露娜她……露娜她在哪里？', 4: '1'}
7	7		201							{1: '1', 2: '500005'}
8	8		301							{1: '1', 2: '人类士兵', 3: '……', 4: '1'}
9	9		201							{1: '1', 2: '500012'}
10	10		301							{1: '1', 2: '尼科拉', 3: '你的妹妹她，改造失败了。', 4: '1'}
11	11		203							{1: '1', 2: '0.25', 3: '400'}
12	12		201							{1: '2', 2: '500032', 4: '-400'}
13	13		301							{1: '1', 2: '露西亚', 3: '失败……', 4: '2'}
14	14		301							{2: '露西亚', 3: '那她还活着对吧？我还可以见露娜……对吧？', 4: '2'}
15	15		301							{2: '尼科拉', 3: '她已经被废弃处理了……', 4: '1'}
16	16		301							{2: '露西亚', 3: '废弃……什么意思……？', 4: '2'}
17	17		301							{2: '尼科拉', 3: '在改造的最后一步测试中，她的身体出现了从未见过的强烈的帕弥什病毒反应——被感染的速度非常迅速，几乎在一瞬间就侵占了她的全身。', 4: '1'}
18	18		301							{2: '尼科拉', 3: '也就是说，露娜成为了感染体，我们不得不把她给废弃。', 4: '1'}
19	21		301							{2: '尼科拉', 3: '很遗憾，你再也见不到她了。', 4: '1'}
20	19		202							{1: '1', 6: '1'}
21	20		203							{1: '2', 2: '0.25'}
22	22		204							{1: '2', 2: '14'}
23	23		301							{2: '露西亚', 3: '你们！', 4: '2'}
24	24		301							{2: '露西亚', 3: '你们……', 4: '2'}
25	25		301							{2: '露西亚', 3: '……', 4: '2'}
26	26		301							{2: '露西亚', 3: '……', 4: '2'}
27	27		301							{2: '露西亚', 3: '…………', 4: '2'}
28	28		301							{2: '露西亚', 3: '露……', 4: '2'}
29	29		301							{2: '露西亚', 3: '露娜……', 4: '2'}
30	30		301							{2: '露西亚', 3: '露娜………………', 4: '2'}
31	31		301				AniZhuanchangBegin			{2: '露西亚', 3: '露……娜……', 4: '2'}
32	32		202							{1: '2', 6: '1'}
33	33		101							{1: 'Assets/Product/Texture/Image/BgCg/Cg612_1.jpg'}
34	34		401							{1: '1', 2: '207'}
35	35		301			AniZhuanchangEnd				{3: '几个小时前——'}
36	36		301							{2: '黑衣人', 3: '那么这几个孩子，就交给我们了。'}
37	37		301							{2: '黑衣人', 3: '如果成功的话，他们今后也可以承担这片区域的防御任务，保障大家的安全。'}
38	38		301							{2: '修女', 3: '哼，道貌岸然的家伙……'}
39	39		301							{2: '露娜', 3: '姐姐……'}
40	40		301							{2: '露娜', 3: '我把玩偶留给你了。'}
41	41		301							{2: '露娜', 3: '在我成为构造体之后，不在的这段时间，你就把它当成是我抱着睡觉吧。'}
42	42		301							{2: '露娜', 3: '就像我之前那样……'}
43	43		301							{2: '黑衣人', 3: '时间差不多了，孩子们，该出发了。'}
44	44		301							{2: '露娜', 3: '……'}
45	45		101							{1: 'Assets/Product/Texture/Image/BgCg/Cg612_2.jpg'}
46	46		301							{2: '露娜', 3: '姐姐……我还是舍不得和你分开……'}
47	47		301							{2: '露娜', 3: '但一直以来都是我受到姐姐的保护……让姐姐承受了那么多……'}
48	48		301							{2: '露娜', 3: '这次，轮到我来保护姐姐了。'}
49	49		301							{2: '露娜', 3: '那么……'}
50	50		301		1		AniZhuanchangBegin			{2: '露娜', 3: '再见了……露西亚姐姐……'}
