Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/Bgstory55.jpg'}
2	2		401							{1: '1', 2: '203'}
3	3		201							{1: '1', 2: '500032', 3: '14'}
4	4		301			DialogEnable				{1: '1', 3: '露西亚冲出营帐，来到茫茫雪地上……'}
5	5		301							{2: '露西亚', 3: '露娜……', 4: '1'}
6	6		301							{2: '露西亚', 3: '没有了露娜，一切都……', 4: '1'}
7	7		301							{2: '露西亚', 3: '没有了意义……', 4: '1'}
8	8		301							{2: '露西亚', 3: '空中花园……未来……食物……活着……一切都……没有了意义……', 4: '1'}
9	9		201							{1: '1', 2: '500013'}
10	10		401							{1: '2', 2: '1508'}
11	11		301							{1: '1', 2: '感染体', 3: '叽——', 4: '1'}
12	12		301							{3: '露西亚的前方，有一个感染体，正在向露西亚缓慢移动。'}
13	13		201							{1: '1', 2: '500032'}
14	14		301							{1: '1', 2: '露西亚', 3: '……', 4: '1'}
15	15		301							{3: '但这次，露西亚并没有举起自己的小刀。'}
16	16		201							{1: '1', 2: '500013'}
17	17		401							{1: '2', 2: '1508'}
18	18		301							{1: '1', 2: '感染体', 3: '叽——', 4: '1'}
19	19		201							{1: '1', 2: '500032'}
20	20		301							{1: '1', 2: '露西亚', 3: '……', 4: '1'}
21	21		301							{2: '露西亚', 3: '就这样……结束吧……', 4: '1'}
22	22		201							{1: '1', 2: '500013'}
23	23		401							{1: '2', 2: '1508'}
24	24		301							{1: '1', 2: '感染体', 3: '叽——', 4: '1'}
25	25		201							{1: '1', 2: '500012'}
26	26		301							{1: '1', 2: '尼科拉', 3: '露西亚！', 4: '1'}
27	27		201							{1: '1', 2: '500032'}
28	28		301							{1: '1', 2: '露西亚', 3: '……', 4: '1'}
29	29		301							{3: '露西亚没有再理会这个男人，或者说她的眼中已经没有了任何人。'}
30	30		201							{1: '1', 2: '500012'}
31	31		301							{1: '1', 2: '尼科拉', 3: '露西亚，你必须活下去。', 4: '1'}
32	32		201							{1: '1', 2: '500032', 3: '14'}
33	33		301							{1: '1', 2: '露西亚', 3: '我恨你……我恨……这个世界……', 4: '1'}
34	34		201							{1: '1', 2: '500013'}
35	35		401							{1: '2', 2: '1508'}
36	36		301							{1: '1', 2: '感染体', 3: '叽——', 4: '1'}
37	37		301							{3: '尼科拉将一柄制式太刀扔在了露西亚的面前。'}
38	38		201							{1: '1', 2: '500012'}
39	39		301							{1: '1', 2: '尼科拉', 3: '战斗，露西亚。', 4: '1'}
40	40		301							{2: '尼科拉', 3: '这一切痛苦的源头，都是帕弥什病毒。', 4: '1'}
41	41		201							{1: '1', 2: '500032', 3: '14'}
42	42		301							{1: '1', 2: '露西亚', 3: '我已经没有战斗的理由了……', 4: '1'}
43	43		301							{2: '露西亚', 3: '让我就这样……', 4: '1'}
44	44		201							{1: '1', 2: '500012'}
45	45		301							{1: '1', 2: '尼科拉', 3: '你必须活下去，因为这是露娜的期待。', 4: '1'}
46	46		201							{1: '1', 2: '500032', 3: '14'}
47	47		301							{1: '1', 2: '露西亚', 3: '……', 4: '1'}
48	48		201							{1: '1', 2: '500012'}
49	49		301							{1: '1', 2: '尼科拉', 3: '无论你要用这把刀对准谁，都可以。', 4: '1'}
50	50		301							{2: '尼科拉', 3: '但，不要辜负露娜的牺牲。', 4: '1'}
51	51		201							{1: '1', 2: '500032', 3: '14'}
52	52		301							{1: '1', 2: '露西亚', 3: '露娜……', 4: '1'}
53	53		201							{1: '1', 2: '500013'}
54	54		401							{1: '2', 2: '1508'}
