Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory49.jpg'}
2	2		401							{1: '1', 2: '211'}
3	3		301			DialogEnable				{3: '短暂的战斗结束了，教堂又恢复了宁静。'}
4	4		301							{3: '托比吃力地站立着，虽然‘鲜血’不断从‘伤口’涌出，但托比的脸上仍挂着微笑。'}
5	5		201							{1: '1', 2: '500024', 3: '17'}
6	6		301							{1: '1', 2: '比安卡', 3: '你的身体……', 4: '1'}
7	7		201							{1: '1', 2: '500141'}
8	8		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryGanRanNew.prefab', 3: '1'}
9	9		301							{1: '1', 2: '托比', 3: '我发生了变化，如果可以像所有普通的人一样，简单死掉的话……', 4: '1'}
10	10		301							{2: '托比', 3: '趁我还有意识的时候……趁我……还是我的时候……', 4: '1'}
11	11		301							{2: '托比', 3: '抱歉……比安卡小姐，给……你添麻烦了啊……', 4: '1'}
12	12		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryGanRanNew.prefab', 4: '1'}
13	13		201							{1: '1', 2: '500024', 3: '17'}
14	14		301							{1: '1', 2: '比安卡', 3: '不要道歉，是我不好，没办法拯救你……', 4: '1'}
15	15		201							{1: '1', 2: '500141'}
16	16		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryGanRanNew.prefab', 3: '1'}
17	17		301							{1: '1', 2: '托比', 3: '不……你不光拯救了我，说不定……还拯救了……大家。', 4: '1'}
18	18		301							{2: '托比', 3: '说不定在这段时间……我已经……伤害了……别人……', 4: '1'}
19	19		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryGanRanNew.prefab', 4: '1'}
20	20		201							{1: '1', 2: '500024', 3: '17'}
21	21		301							{1: '1', 2: '比安卡', 3: '对不起……', 4: '1'}
22	22		201							{1: '1', 2: '500141'}
23	23		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryGanRanNew.prefab', 3: '1'}
24	24		301							{1: '1', 2: '托比', 3: '在最后……遇到的是你……真是太好了……', 4: '1'}
25	25		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryGanRanNew.prefab', 4: '1'}
26	26		301							{2: '托比', 3: '……得救了呢。', 4: '1'}
27	27		202							{1: '1', 6: '1'}
28	28		301							{3: '说完了最后一句话后，托比再也无法支撑自己保持站立的姿势，无力地摔在地上。'}
29	29		301							{3: '月光下，托比倒在血色之中，安详地闭上了双眼。'}
30	30		301							{3: '一朵百合花从托比的怀中滑出，散落在地上，沾染了红色的液体。'}
31	31		201							{1: '1', 2: '500024', 3: '17'}
32	32		301							{1: '1', 2: '比安卡', 3: '……唔。', 4: '1'}
33	33		202							{1: '1', 6: '1'}
34	34		301							{3: '托比临终前的话萦绕耳畔，是在自己眼前的，是已经丧失所有反应的，托比的躯体。'}
35	35		201							{1: '1', 2: '500024', 3: '17'}
36	36		301							{1: '1', 2: '比安卡', 3: '为什么……为什么要这么相信我，不论是你，还是神父……', 4: '1'}
37	37		301							{2: '比安卡', 3: '自顾自地说着拯救和解脱，但是你们全都死掉了啊！', 4: '1'}
38	38		301							{2: '比安卡', 3: '这究竟……算什么拯救……', 4: '1'}
39	39		202							{1: '1', 6: '1'}
40	40		301							{2: '？？？', 3: '啊！'}
41	41		301							{3: '突如其来的尖叫声打断了比安卡的思考，顺着声源望去，比安卡看到大厅正门处不知何时站了一位意想不到之人。'}
42	42		201							{1: '1', 2: '500133'}
43	43		301				AniZhuanchangBegin			{1: '1', 2: '修女A', 3: '别…，别过来！', 4: '1'}
44	44		202							{1: '1', 6: '1'}
45	45		101							{1: 'Assets/Product/Texture/Image/BgCg/Cgqz1301.jpg'}
46	46		301		1	AniZhuanchangEnd	AniZhuanchangBegin			{3: '修女满脸惊恐，尖叫着夺门而出，丝毫不给比安卡靠近的机会，紧接着嘈杂的人声从四面八方传来……'}
