Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/Bgstory8.jpg'}
2	2		401							{1: '1', 2: '216'}
3	3		301			DialogEnable				{3: '171号城市，布拉格庄园，PM11:50'}
4	4		301							{3: '衣着华贵的男女们聚集在庄园大厅，沉醉在美酒与悠扬的音乐中。'}
5	5		301							{3: '比安卡举着酒杯独自站在落地窗前，看着远处的景色。'}
6	6		201							{1: '1', 2: '500137'}
7	7		301							{1: '1', 2: '？？？', 3: '这位小姐为什么不过去和大家一起喝酒聊天，而在这里独饮呢？', 4: '1'}
8	8		201							{1: '1', 2: '500128', 3: '1'}
9	9		401							{1: '4', 2: '104004'}
10	10		301							{1: '1', 2: '比安卡', 3: '是贝尔先生啊，您好。', 4: '1'}
11	11		202							{1: '1', 6: '1'}
12	12		301							{3: '比安卡说着用手轻提裙角，身体半蹲，对着突然走来找自己攀谈的男士行礼。'}
13	13		201							{1: '1', 2: '500137'}
14	14		301							{1: '1', 2: '贝尔', 3: '不用这么客气，是我突然打扰你了。不过没想到你居然知道我的名字。', 4: '1'}
15	15		201							{1: '1', 2: '500128', 3: '1'}
16	16		301							{1: '1', 2: '比安卡', 3: '在这座城市应该没人会不认识电力局的贝尔先生，能和您聊天是比安卡的荣幸。', 4: '1'}
17	17		201							{1: '1', 2: '500137'}
18	18		301							{1: '1', 2: '贝尔', 3: '比安卡吗……真是个与你相配的美丽名字。', 4: '1'}
19	19		201							{1: '1', 2: '500128', 3: '1'}
20	20		301							{1: '1', 2: '比安卡', 3: '多谢您的夸奖。', 4: '1'}
21	21		201							{1: '1', 2: '500137'}
22	22		301							{1: '1', 2: '贝尔', 3: '呵呵，夜晚还长，你的酒杯却要见底了，来人。', 4: '1'}
23	23		202							{1: '1', 6: '1'}
24	24		301							{3: '贝尔说着打了个响指，一位机械管家端着两个装着澄金色酒液的高脚杯朝这边走来。'}
25	25		201							{1: '1', 2: '500097'}
26	26		301							{1: '1', 2: '管家', 3: '老爷，您要的朱尔斯1790。', 4: '1'}
27	27		202							{1: '1', 6: '1'}
28	28		301							{3: '贝尔满意地点点头，转身从管家的手中接过酒杯，在转身的瞬间用眼角的余光瞥了一眼比安卡，但是并没有看到期望中比安卡那崇拜的目光。'}
29	29		201							{1: '1', 2: '500137'}
30	30		301							{1: '1', 2: '贝尔', 3: '啧。（小声）', 4: '1'}
31	31		301							{2: '贝尔', 3: '比安卡小姐，赏个光？', 4: '1'}
32	32		202							{1: '1', 6: '1'}
33	33		301							{3: '虽然内心略有不满，但贝尔表面上还是继续微笑着将一杯酒递到比安卡的面前。'}
34	34		301							{3: '‘嗡——’'}
35	35		301							{3: '但是递酒的动作却被突然传来的通讯接入声打断，这让贝尔一时有些尴尬。'}
36	36		201							{1: '1', 2: '500137'}
37	37		301							{1: '1', 2: '贝尔', 3: '不好意思，失礼了。', 4: '1'}
38	38		201							{1: '1', 2: '500128', 3: '1'}
39	39		301							{1: '1', 2: '比安卡', 3: '没事。', 4: '1'}
40	40		201							{1: '1', 2: '500137'}
41	41		301							{1: '1', 2: '贝尔', 3: '未知联系人？', 4: '1'}
42	42		202							{1: '1', 6: '1'}
43	43		301				AniZhuanchangBegin			{3: '贝尔不耐烦地接通了通讯，比安卡微笑着再次对贝尔行礼，随后转身离开，留下贝尔一人在原地对着通讯怒吼。'}
44	44		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory39.jpg'}
45	45		401							{1: '1', 2: '202'}
46	46		301			AniZhuanchangEnd				{3: '171号城市，布拉格庄园天台，PM11:57'}
47	47		301							{3: '比安卡离开大厅，来到屋顶的天台上，一边走一边从耳后摘下一个小型通讯机，通讯机的屏幕上显示着五个字——‘未知联系人’。'}
48	48		201							{1: '1', 2: '500128'}
49	49		301							{1: '1', 2: '比安卡', 3: '已经复制到贝尔的身份数据，正在骇入171号城市电力网。', 4: '1'}
50	50		202							{1: '1', 6: '1'}
51	51		401							{1: '2', 2: '1515'}
52	52		301							{3: '比安卡掏出一个小型机械设备，在屏幕上快速点击着。'}
53	53		201							{1: '1', 2: '500128'}
54	54		301							{1: '1', 2: '比安卡', 3: '完成。', 4: '1'}
55	55		202							{1: '1', 6: '1'}
56	56		301							{3: '比安卡话音刚落，就看到远处灯火通明的布拉格钟楼区域，突然陷入了黑暗。'}
57	57		301							{3: '比安卡走到天台边缘，从阴影处拖出一个武器箱，输入密码后取出放置在箱子中的弓箭，随后朝漆黑的布拉格钟楼区域望去。'}
58	58		301							{3: '在她的视野之中，一位构造体士兵正在钟楼下的广场游荡。'}
59	59		301							{3: '广场中的其他人还惊讶于突然的停电，没有人注意到那位构造体士兵略显扭曲的神情以及他身上泛着的淡淡猩红色电流。'}
60	60		301							{3: '士兵慢慢掏出腰间的制式武器，将本该用来守护城市的枪口，指向了无辜的群众。'}
61	61		301							{3: '就在士兵扣下扳机的一瞬间，一支弓箭从远处射来。'}
62	62		301							{3: '弓箭从士兵背部的脊椎位置贯穿而过，沉重的机械身躯被弓箭的冲击力击飞出去。'}
63	63		301							{3: '‘噔——噔——噔——噔——噔——噔——噔——噔——噔——噔——噔——噔——’'}
64	64		301							{3: '钟声响起，十二神徒的雕像依次在巨钟旁现身，死神雕像缓缓拉动钟楼的铃铛。'}
65	65		301							{3: '比安卡收起长弓，在她的视野之中，那位突然发狂的构造体士兵，已经再也无法暴起伤人。'}
66	66		301							{2: '系统', 3: '通讯接入中——'}
67	67		201							{1: '1', 2: '500130'}
68	68		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryTongxunHalfNew.prefab', 3: '1'}
69	69		301							{1: '1', 2: '文', 3: '几次任务下来，能看出你更加坚定了。', 4: '1'}
70	70		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryTongxunHalfNew.prefab', 4: '1'}
71	71		201							{1: '1', 2: '500128'}
72	72		301							{1: '1', 2: '比安卡', 3: '多亏了文先生指导有方。', 4: '1'}
73	73		201							{1: '1', 2: '500130'}
74	74		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryTongxunHalfNew.prefab', 3: '1'}
75	75		301							{1: '1', 2: '文', 3: '嗯，继续保持。', 4: '1'}
76	76		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryTongxunHalfNew.prefab', 4: '1'}
77	77		201							{1: '1', 2: '500128'}
78	78		301							{1: '1', 2: '比安卡', 3: '遵命，文先生。', 4: '1'}
79	79		202							{1: '1', 6: '1'}
80	80		301							{3: '二人就这样交谈着，没过多久，代达罗斯公司的运输机来到庄园天台，舱门慢慢抬起，等待着比安卡。'}
81	81		201							{1: '1', 2: '500130'}
82	82		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryTongxunHalfNew.prefab', 3: '1'}
83	83		301							{1: '1', 2: '文', 3: '去吧，好好干。', 4: '1'}
84	84		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryTongxunHalfNew.prefab', 4: '1'}
85	85		201							{1: '1', 2: '500128'}
