Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/Bgstory57.jpg'}
2	2		401							{1: '1', 2: '45'}
3	3		201							{1: '1', 2: '500155', 4: '-400'}
4	4		201							{1: '2', 2: '500149', 4: '400'}
5	5		301			DialogEnable				{1: '1', 2: '约翰', 3: '……你确实有所改变。', 4: '2'}
6	6		301							{2: '约翰', 3: '但此时，我的子力依旧胜于你。', 4: '2'}
7	7		301							{2: '约翰', 3: '难道你与我对弈，只是为了获得毫无意义的和棋吗？', 4: '2'}
8	8		301							{2: '库洛姆', 3: '不。', 4: '1'}
9	9		301							{3: '库洛姆凝视着棋盘，垂目沉思，随后抬头迎上约翰的目光。'}
10	10		301		1		AniZhuanchangBegin			{2: '库洛姆', 3: '我会获得胜利。', 4: '1'}
