Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory39.jpg'}
2	3		401							{1: '1', 2: '102'}
3	4		201							{1: '1', 2: '500189'}
4	5		301			DialogEnable				{1: '1', 2: '卡穆', 3: '其他人呢，你们都在哪里，听见就回一句话！', 4: '1'}
5	6		401							{1: '2', 2: '10007502'}
6	7		301			RImgBg1Shake				{3: '——'}
7	8		301							{3: '战场上的轰炸还在继续，需要焚毁的对象仍然存活。'}
8	9		301							{2: '卡穆', 3: '喂，天上的家伙你们都有听见吧，你们到底在干什么！', 4: '1'}
9	10		301							{2: '卡穆', 3: '我们的人还没有撤出去啊！', 4: '1'}
10	11		203							{1: '1', 2: '0.25', 3: '-400'}
11	12		201							{1: '2', 2: '500005', 4: '400'}
12	13		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryTongxunHalfNew.prefab', 2: '2', 3: '2'}
13	14		301							{1: '1', 2: '飞行员', 3: '还有活着的家伙吗，立刻锁定位置。', 4: '2'}
14	15		301							{2: '卡穆', 3: '这……你们是打算把我们干掉吗！', 4: '1'}
15	16		301							{2: '飞行员', 3: '总部一开始发来的命令就是销毁你们这些失败品部队，所以给我束手就擒吧，感染体！', 4: '2'}
16	17		202							{1: '1', 2: '2'}
17	100		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryTongxunHalfNew.prefab', 4: '2'}
18	19		401			RImgBg1Shake				{1: '2', 2: '10007502'}
19	20		301							{3: '在得到回复的同时卡穆听见城外响起了更大的爆炸声，虽然没有亲眼看见，但他明白这是移动基地被炸毁的声音。'}
20	21		301							{3: '让卡穆等人进入城中，开始轰炸，甚至还摧毁了逃跑的道具。'}
21	22		301							{3: '‘彻底摧毁那个地方的一切，不要留下一点灰尘，这就是总部的命令。’'}
22	23		201							{1: '1', 2: '500189'}
23	24		301							{1: '1', 2: '卡穆', 3: '师傅……那句话原来是这个意思吗！', 4: '1'}
24	25		301							{3: '卡穆在一瞬间意识到很多事情，虽然黑野的名声一直都不太好，但卡穆没有想到事情竟然会演变到这个状况。'}
25	26		301							{3: '自己到底做错了什么，大家到底做错了什么，为什么事情会发展到这一步。'}
26	27		301							{3: '是任务的完成情况问题吗，还是之前自己在关口那里做了不妥当的行动。'}
27	28		301							{3: '不，这些都不是最主要的原因。'}
28	29		301							{2: '卡穆', 3: '那个人……', 4: '1'}
29	30		301							{3: '卡穆想起了部队中第一个出现‘意外’的队员，明明没有受到任何外伤，却在战斗之后突然死去。'}
30	31		301							{3: '在那之后还有其余几人出现了相同的症状，纵然卡穆每次都有向上面追问这件事的缘由。'}
31	32		301							{3: '但最终得到的答案只有拒绝。'}
32	33		301							{2: '卡穆', 3: '可恶，我才不会死在这里！', 4: '1'}
33	34		301							{3: '所以卡穆再次紧握大剑，然后冲到其他不知所措的队员身边，斩开障碍，然后拉起他们的手。'}
34	35		202							{1: '1'}
35	36		201							{1: '1', 2: '500197'}
36	37		301							{1: '1', 2: '士兵', 3: '哎，你这是……', 4: '1'}
37	38		202							{1: '1'}
38	39		201							{1: '1', 2: '500189', 3: '5'}
39	40		301							{1: '1', 2: '卡穆', 3: '快跟过来，你是打算就这样被炸死吗！', 4: '1'}
40	41		301		1		AniZhuanchangBegin			{1: '1', 2: '卡穆', 3: '还有力气的都跟过来，跑进地铁站然后沿着铁路离开，给我动起来！', 4: '1'}
