Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory672.jpg'}
2	2		401							{1: '1', 2: '208'}
3	3		301			DialogEnable				{3: '顺着商业街的道路来到一片僻静的区域，在一个几乎无人光顾的小店前驻足。'}
4	4		502							{1: 'RImgBg1DisableSlow'}
5	5		101			RImgBg2Enable				{1: 'Assets/Product/Texture/Image/BgStory/Bgstory386.png'}
6	6		301							{3: '这是一个被布置成废弃医院的鬼屋，荧光绿和暗红色的油漆肆意泼洒在房间内部，似乎是在竭力营造一种与节日格格不入的诡异氛围。'}
7	7		205							{1: '999', 2: 'Assets/Product/Texture/Image/BgStory/Bgstory351.jpg', 3: '0', 4: '1', 5: '1.5'}
8	8		401							{1: '2', 2: '754'}
9	9		301							{3: '绕过不时跳出来吓人的道具机关，推开最内侧亮着“手术中”牌子的房门，看到房屋正中间的手术台上躺着一个白色的人影。'}
10	10		401							{1: '2', 2: '2936'}
11	11		301							{3: '注意到有人接近，那个蜷缩着的身影迅速坐了起来，白色碎发下的眸光像是夜色中的鹰，瞬间锐利的神色在看到来人后变回了平日慵懒的样子。'}
12	12		401							{1: '1', 2: '208'}
13	13		201							{1: '1', 2: '500273'}
14	14		301							{1: '1', 2: '万事', 3: '啊，你来了……', 4: '1'}
15	15		302							{2: '怎么会有人在鬼屋里睡觉啊？', 3: '16', 4: '居然在这里睡着了……', 5: '16'}
16	16		301							{2: '万事', 3: '这里没什么人打扰，是个好地方。', 4: '1'}
17	17		301							{2: '万事', 3: '尤其是没有事情可做的时候……放松下来很容易就会犯困。', 4: '1'}
18	18		302							{2: '在这种地方……放松吗？', 3: '19'}
19	19		204							{1: '1', 2: '8'}
20	20		301							{2: '万事', 3: '以前进修的时候很忙，经常会在科室睡着，后来就更……呼啊……习惯了。', 4: '1'}
21	21		301							{3: '环顾四周，昏暗的房间里摆放着落灰的医疗器械模型，除去那些刻意的做旧和破损，这里怎么看都只是一个普通的手术室。'}
22	22		301							{3: '回想起刚才那个蜷缩着浅眠的身影，对于万事来说，这样的地方……或许承载着截然不同的意义。'}
23	23		204							{1: '1'}
24	24		301							{2: '万事', 3: '…没事的。', 4: '1'}
25	25		302							{2: '……？', 3: '26', 4: '真的吗？', 5: '26'}
26	26		301							{2: '万事', 3: '毕竟这个……一点也不吓人。', 4: '1'}
27	27		301							{3: '话题被不着痕迹的转移，顺着他的目光看去，那个原本用来增加恐怖气氛的道具……正放在手术台上变成了万事的临时枕头。'}
28	28		301							{3: '……是一个做工粗糙到显得有些滑稽的怪物，看着万事一如既往沉静的目光，有些紧绷的心情也变得轻快起来。'}
29	29		302							{2: '……毕竟再扭曲的东西都见过了。', 3: '30', 4: ' 毕竟外面写着这是全年龄向的鬼屋。', 5: '30'}
30	30		301							{2: '万事', 3: '唔，是。', 4: '1'}
31	31		204							{1: '1', 2: '8'}
32	32		301							{3: '万事轻轻打了个哈欠，从解剖台上跳下来，一边将手覆在脖颈间歪了歪脑袋。'}
33	33		301							{3: '似乎听到了类似骨骼轻响的声音。'}
34	34		302							{2: '睡姿不佳会落枕的，万事医生。', 3: '35', 4: '需要我帮你按摩一下吗？', 5: '37'}
35	35		204							{1: '1'}
36	36	39	301							{2: '万事', 3: '构造体不会落枕的，小朋友。 ', 4: '1'}
37	37		204							{1: '1'}
38	38		301							{2: '万事', 3: '想要帮构造体按摩，可能需要你换一双手哦。', 4: '1'}
39	39		301							{3: '像是还没有从朦胧的困倦中脱离，他眯着眼睛看了过来。'}
40	40		301							{2: '万事', 3: '不过确实应该把那个枕头带过来的。', 4: '1'}
41	41		302							{2: '随身携带枕头是不是有点夸张了……', 3: '42', 4: '不会是我送的那个吧……', 5: '43'}
42	42	44	301							{2: '万事', 3: '毕竟假期对我来说只是换个地方休眠而已……', 4: '1'}
43	43		301							{2: '万事', 3: '啊哈……毕竟还是那个抱起来最舒服，已经习惯了。', 4: '1'}
44	44		301							{2: '万事', 3: '不过，灰鸦的指挥官为什么会来这里？', 4: '1'}
45	45		302							{2: '我来捡一个落单的突击鹰。', 3: '46', 4: '偶然路过。', 5: '49'}
46	46		301							{2: '万事', 3: '嗯，捡到了，然后呢？', 4: '1'}
47	47		302							{2: '今天是七夕。', 3: '48'}
