Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/Bgstory90.png'}
2	2		401							{1: '1', 2: '210'}
3	3		201							{1: '1', 2: '500199'}
4	4		301							{1: '1', 2: '施特森', 3: '你们来啦。', 4: '1'}
5	5		302							{2: '打扰了。', 3: '6'}
6	6		301							{1: '1', 2: '施特森', 3: '镇压安博莉亚辛苦了，姑且算是帮上了航线联合吧。', 4: '1'}
7	7		301							{2: '施特森', 3: '今天宴席鹿肉跟沙丁鱼可以随便吃。', 4: '1'}
8	8		202							{1: '1'}
9	9		201							{1: '1', 2: '500088'}
10	10		301							{1: '1', 2: '狄安娜', 3: '那，我们就先走了，按照惯例守林人不该在这种场合逗留。。', 4: '1'}
11	11		202							{1: '1'}
12	12		201							{1: '1', 2: '500199'}
13	13		301							{1: '1', 2: '施特森', 3: '以诸位为航线联合的贡献，那个惯例难道就不能由它去吗？', 4: '1'}
14	14		202							{1: '1'}
15	15		201							{1: '1', 2: '500088'}
16	16		301							{1: '1', 2: '狄安娜', 3: '……还是不了，今天早上起了暴雪，守林人的帐篷吹垮了三分之一。', 4: '1'}
17	17		301							{2: '狄安娜', 3: '我们得回去修补帐篷。', 4: '1'}
18	18		301							{3: '说完，狄安娜便头也不回地离开了，留下你们和小伊凡。'}
19	19		202							{1: '1'}
20	20		201							{1: '1', 2: '500199'}
21	21		301							{1: '1', 2: '施特森', 3: '这下麻烦了，到底要怎么告诉她们呢…', 4: '1'}
22	22		302							{2: '怎么了？', 3: '23'}
23	23		301							{1: '1', 2: '施特森', 3: '实际上，今天我本来打算在聚会上公布一个决定。', 4: '1'}
24	24		301							{2: '施特森', 3: '但是，如果决定的最大收益方不在场，那这个决定就算说出来也会被轻易推翻。', 4: '1'}
25	25		301							{2: '施特森', 3: '不仅我想为她们争取权利的想法会被否定，连我本人也会名声扫地。', 4: '1'}
26	26		202							{1: '1'}
27	27		201							{1: '1', 2: '500026'}
28	28		301							{1: '1', 2: '里', 3: '最大的受益方是守林人？那是怎么样的决定？', 4: '1'}
29	29		202							{1: '1'}
30	30		201							{1: '1', 2: '500199'}
31	31		301							{1: '1', 2: '施特森', 3: '是这样的…', 4: '1'}
32	32		301							{2: '施特森', 3: '我准备用总船长的名义……撤销守林人的‘罪人’身份。', 4: '1'}
33	33		301							{2: '众人', 3: '！'}
34	34		301							{1: '1', 2: '施特森', 3: '嘘，你们也应该知道，不少人会公开反对我的提议，就算守林人已经做了那么多的事情。', 4: '1'}
35	35		301							{2: '施特森', 3: '……想反对的人总会有各种各样的原因，所以至少希望当我说出提案的时候，不会下不来台。', 4: '1'}
36	36		301							{2: '施特森', 3: '姑且不管之前发生的事情；但是这一次…需要她们为她们自己说话。', 4: '1'}
37	37		202							{1: '1'}
38	38		201							{1: '1', 2: '500198'}
39	39		301							{1: '1', 2: '伊凡', 3: '我、我去叫她们过来！', 4: '1'}
40	40		202							{1: '1'}
41	41		201							{1: '1', 2: '1031001'}
42	42		301							{1: '1', 2: '丽芙', 3: '等……！', 4: '1'}
43	43		202							{1: '1'}
44	44		201							{1: '1', 2: '500026'}
45	45		301		1		AniZhuanchangBegin			{1: '1', 2: '里', 3: '没办法了，我们也跟过去吧。', 4: '1'}
