Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory50.jpg'}
2	2		401							{1: '1', 2: '209'}
3	3		301							{2: '死亡之书', 3: 'AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA'}
4	4		301							{2: '旁白', 3: '无法接受自己的失败，死亡之书发出凄厉的咆哮——'}
5	5		301							{2: '旁白', 3: '但仅凭咆哮，是无法阻止失败的必然现实的，随着战斗的平息，它开始不可阻止地——从内部开始解体。'}
6	6		301							{2: '死亡之书', 3: 'AAAAAAAAAAAAAAAAAAAA——AAAAAAAAAAAAAAAAA——AAAAAAAAAA——'}
7	7		301							{2: '旁白', 3: '它的咆哮声从连续逐渐转为断续，声音也从凄厉变得嘶哑。'}
8	8		301							{2: '旁白', 3: '它无法接受自己生命的终结距离自己如此之近，曾经的它可以无比酣畅地以人类的痛苦作为供应它扭曲灵魂的食粮，但它现在再也无法做到了——'}
9	9		301							{2: '旁白', 3: '逐渐地，它的外壳开始出现斑点状的尘灰。'}
10	10		301							{2: '旁白', 3: '在灰斑占据它表面三分之一的时候，几乎是瞬间，它在你们的面前停止了咆哮，然后解体了。'}
11	11		301							{2: '电子提示音', 3: '确认到有学员【未授权】复数，通过最终考验。是否给予隐藏资料区域授权？'}
12	12		301							{2: '旁白', 3: '确定授权。'}
13	13		301							{2: '电子提示音', 3: '明白，恭喜各位学员通过炼狱营最终考验。'}
14	14		301							{2: '电子提示音', 3: '在隐藏资料区域内，存储着乔治·D·托罗导演留下的导演笔记，原始剧本，影片原始素材，人脉通讯录和乔治·D·托罗导演为各位【未授权】学员出具的担保书。'}
15	15		301							{2: '电子提示音', 3: '借助这些资料，各位已经具备接替乔治·D·托罗导演业界位置的一切准备，而托罗基金会也会为各位年轻导演无条件出资筹拍各位希望拍摄的出道作品。'}
16	16		301							{2: '电子提示音', 3: '而这，正是炼狱营设计的根本目的。再次恭喜各位，各位现在可以登出虚拟空间了。'}
17	17		201							{1: '1', 2: '1081001', 3: '2', 4: '-400'}
18	18		201							{1: '2', 2: '500110', 4: '400'}
19	19		301							{1: '1', 2: '神威', 3: '这样我们就算……通关了？', 4: '1'}
20	20		301							{2: '卡列尼娜', 3: '喂！你们在里面搞什么，怎么这么久？！'}
21	21		301							{2: '卡列尼娜', 3: '空中花园的恒温系统已经恢复了，你们再不出来的话，我可没办法继续帮你们维持系统稳定，车间那边在催我回去了！'}
22	22		301							{2: '卡列尼娜', 3: '不管你们在干什么，赶紧给我结束然后登出！'}
23	23		301							{2: '艾拉', 3: '……看来该走了呢。', 4: '2'}
24	24		301							{2: '艾拉', 3: '今天真是感谢各位了！', 4: '2'}
25	25		302							{2: '帮上忙就好。', 3: '26'}
26	26		201							{1: '2', 2: '500166', 3: '1', 4: '400'}
27	27		301							{1: '1', 2: '露西亚', 3: '是的，能帮上你的忙就好了。', 4: '2'}
28	28		301							{2: '神威', 3: '答应的密钥可别忘了！', 4: '1'}
29	29		202							{1: '2', 6: '1'}
30	30		201							{1: '1', 2: '500110', 3: '1'}
31	31		301							{1: '1', 2: '艾拉', 3: '这种本来就可以给一般人下载的东西我不会藏起来的啦。', 4: '1'}
32	32		204							{1: '1'}
33	33		301							{3: '于是，一个接一个的，大家带着‘做成了什么事情’的感觉登出了虚拟空间。'}
34	34		301							{3: '仅剩艾拉依然留在虚拟空间里，看着头顶空白的天空。'}
35	35		301		1		AniZhuanchangBegin			{2: '艾拉', 3: '……', 4: '1'}
