Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory0.png'}
2	2		401							{1: '1', 2: '10'}
3	3		301							{2: '？？？', 3: '‘而沉睡中的公主有时候也会做梦。’'}
4	4		301							{2: '？？？', 3: '‘她会梦到充满阳光的庭院，百灵鸟婉转的啁啾，芳香四溢的玫瑰花丛，以及温柔地对她微笑的父亲和母亲。’'}
5	5		301				AniZhuanchangBegin			{2: '？？？', 3: '‘她在梦中遇到了心爱的王子，他们组成了新的家庭，幸福地生活在了一起。’'}
6	6		101							{1: 'Assets/Product/Texture/Image/BgStory/Bgstory56.jpg'}
7	7		301			AniZhuanchangEnd				{2: '安博莉亚', 3: '然后呢？然后呢？王子斩开了荆棘，登上了塔顶，是不是就可以去拯救公主了？'}
8	8		301							{2: '母亲', 3: '对呀……‘王子终于爬上了长长的阶梯，来到了顶楼的房间前……’'}
9	9		301							{2: '安博莉亚', 3: '耶——！'}
10	10		301							{3: '妈妈笑了起来，将书翻了一页，然后继续用我无比怀念的温柔声音讲述着。'}
11	11		301							{3: '爸爸端着装满酒的杯子坐在沙发上，一起听妈妈给我讲故事。'}
12	12		301							{3: '虽然我不像其他孩子那样有能够自由奔跑的健康的身体，但是只要听妈妈讲述的那些冒险故事和童话，就好像自己也经历了一次精彩的冒险一样。'}
13	13		301							{3: '这是我最怀念的，最宝贵的日常——'}
14	14		301							{3: '……可是我为什么会‘怀念’呢？就好像爸爸妈妈已经离开我了那样。'}
15	15		301							{3: '但是你看，他们明明就在我的身边，我正坐在妈妈的怀抱里，她在讲我最喜欢的童话。'}
16	16		301							{3: '滴答。'}
17	17		301							{3: '书页上突然出现了一片玫瑰花瓣。'}
18	18		301							{3: '滴答。'}
19	19		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiSHanshuoNew.prefab', 2: '1'}
20	20		301							{3: '又一片，玫瑰花瓣越来越多，几乎要将整页书染红，我感觉到了额头濡湿的凉意。'}
21	21		301							{2: '安博莉亚', 3: '不……这是……'}
22	22		301							{2: '安博莉亚', 3: '妈妈……？'}
23	23		301							{3: '我扭头看向妈妈，她一言不发地垂着头。'}
24	24		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStory/FxUiStoryJianXue.prefab', 2: '1'}
25	25		401							{1: '2', 2: '1505'}
26	26		301							{2: '安博莉亚', 3: '？！！！'}
27	27		301							{2: '安博莉亚', 3: '爸爸！！爸爸！！妈妈她！！'}
28	28		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStory/FxUiStoryJianXue.prefab'}
29	29		301							{3: '我惊慌地尖叫起来，在沙发上寻找爸爸的身影。'}
30	30		301							{3: '但没有人回应我，爸爸不知何时已经离开了。'}
31	31		301							{3: '沙发上只剩下一个奇怪的‘物体’，黑色的，红色的，就好像烧焦的——'}
32	32		502							{1: 'RImgBg1Shake'}
