Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/Bgstory154.png'}
2	2		401							{1: '1', 2: '18'}
3	3		201							{1: '1', 2: '1081001', 3: '1', 4: '-400'}
4	4		201							{1: '2', 2: '500155', 4: '400'}
5	5		301			DialogEnable				{1: '1', 2: '神威', 3: '唔——哎——好大的船！', 4: '1'}
6	6		301							{2: '库洛姆', 3: '压低声音，神威。要是被隐藏的警卫发现的话…', 4: '2'}
7	7		301							{2: '神威', 3: '我倒是完全看不出有什么保持安静的必要~', 4: '1'}
8	8		301							{2: '神威', 3: '因为，这里不是已经十分吵闹了吗？', 4: '1'}
9	9		202							{1: '1', 2: '2', 6: '1'}
10	10		301							{3: '神威轻轻抬起手，指向眼前的喧嚣。'}
11	11		301							{3: '——巨轮的甲板之上摩肩接踵，阡陌纵横，吆喝和叫骂齐飞。'}
12	12		301							{3: '船上到处都是吵闹的叫卖声，相貌古怪的商贩们就如蝼蚁一样堆满了整个空间。'}
13	13		301							{2: '叫卖声', 3: '干地龙！干地龙！压舱泥里掘出的干地龙，青蚨三个一头！若是您拿得现里程出，一里程就得一头！'}
14	14		301							{2: '叫骂声', 3: '嗨嗨嗨！干啥呢干啥呢！眼看手勿动！少一个角要赔两百里程！'}
15	15		201							{1: '1', 2: '500144'}
16	16		301							{1: '1', 2: '？？？', 3: '商品……商品……', 4: '1'}
17	17		301							{2: '商贩B', 3: '有没有更换机械臂的，这些都是黄金时代的医用品，质量绝对有保证！'}
18	18		301							{3: '……'}
19	19		202							{1: '1'}
20	20		201							{1: '1', 2: '1081001', 3: '2', 4: '-400'}
21	21		201							{1: '2', 2: '500155', 4: '400'}
22	22		301							{1: '1', 2: '库洛姆', 3: '…算了，你说的也对。', 4: '2'}
23	23		301							{2: '神威', 3: '亏你还在想要怎么混到船上呢！现在看来，大摇大摆的走过去也没有什么问题吧！', 4: '1'}
24	24		301							{2: '库洛姆', 3: '神威你给我等………!', 4: '2'}
25	25		301							{3: '神威正打算冲出去，被库洛姆一把按住，并同时用空下的手改变了逆元装置的频率以接收突然接入的通讯。'}
26	26		202							{1: '1', 6: '1'}
27	27		201							{1: '3', 2: '500146', 3: '1', 4: '-400'}
28	600		401							{1: '1', 2: '202'}
29	28		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryTongxunHalfNew.prefab', 3: '3'}
30	29		301							{1: '1', 2: '？？？', 3: '太好了，太好了……终于能连上了。', 4: '3'}
31	30		301							{3: '随着有些冒失的声音一位金发的青年进入了突击鹰两人眼中，他带着温和的笑容，看起来精致而无害。'}
32	31		301							{2: '库洛姆', 3: '这个应该是尼科拉长官的专用频道才是，你是谁？', 4: '2'}
33	32		301							{2: '？？？', 3: '不用紧张，我是尼科拉长官的代理人，因为他现在需要处理其他任务所以联络就交由我来做了。', 4: '3'}
34	33		301							{2: '？？？', 3: '你看，这里是我的证件。', 4: '3'}
