Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/Bgstory367.png'}
2	2		401							{1: '1', 2: '202'}
3	3		301			DialogEnable				{3: '宅子外已经隐约传来了踏在硬质地面上的清脆脚步声，似乎是还不知道罗兰等人的存在，脚步声中并未有太多戒备。'}
4	4		301							{3: '但这是一个毫无悬念的信号——不管他还要做什么，都得快点。'}
5	5		201							{1: '1', 2: '500334'}
6	6		301							{1: '1', 2: '罗兰', 3: '啧……！既然如此，适当的仓促也只能理解了呢。', 4: '1'}
7	7		401							{1: '2', 2: '1503'}
8	8		301							{3: '罗兰稍显暴力地锁死了院门，至于围墙上为了进入院子而打开的缺口因为没有东西可以堵住，只能作罢。'}
9	9		301							{3: '这样的行为发出的响动毫无疑问会吸引‘客人’的注意力，但罗兰不在乎。'}
10	10		301							{3: '可疑的迹象会让人多想，它们会延缓三头犬的脚步，让他们的思维聚焦到无谓的细节上来。'}
11	11		301							{3: '——然后，罗兰才能找到趁虚而入的空隙。'}
12	12		301							{3: '似乎是听到了巨大的响声，一个影子从房子的另一边游了过来。'}
13	13		201							{1: '1', 2: '500165'}
14	14		301							{1: '1', 2: '拉弥亚', 3: '咿！你在干什……', 4: '1'}
15	15		203							{1: '1', 2: '0.25', 3: '-400'}
16	16		201							{1: '2', 2: '500334', 3: '2', 4: '400'}
17	17		301							{1: '1', 2: '罗兰', 3: '嘘，我们的客人到了。', 4: '2'}
18	18		301							{2: '罗兰', 3: '该进入下一个阶段了。', 4: '2'}
19	19		301							{2: '拉弥亚', 3: '唔……那我该做什么呢？', 4: '1'}
20	20		301							{2: '罗兰', 3: '你要在房子外面看着，确保他们如果离开这里，我会第一时间知道。', 4: '2'}
21	21		301							{2: '罗兰', 3: '至于我……我要去看看我们的这些‘客人’到底是为了什么来的。', 4: '2'}
22	22		301							{2: '拉弥亚', 3: '……', 4: '1'}
23	23		301							{2: '罗兰', 3: '怎么了？我知道了什么也会让你知道的。', 4: '2'}
24	24		301							{2: '罗兰', 3: '但我需要有人帮我看着房子，确保没有人在我的视线之外又做了什么。', 4: '2'}
25	25		204							{1: '1', 2: '8'}
26	26		301							{2: '拉弥亚', 3: '唔……我明白了。', 4: '1'}
27	27		202							{1: '1', 6: '1'}
28	28		203							{1: '2', 2: '0.25'}
29	29		301							{3: '拉弥亚随之跃上房子的高处，然后消失无踪。'}
30	30		301							{2: '罗兰', 3: '那么，我也找个地方，先藏一阵子吧。', 4: '2'}
31	31		202							{1: '1', 6: '1'}
32	32		301							{3: '罗兰转身走入储藏室背后的黑暗里。'}
33	33		202							{1: '2', 6: '1'}
34	34		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory0.png'}
35	35		201							{1: '1', 2: '500308'}
36	36		301							{1: '1', 2: '灰唁', 3: '还有很多工作没有完成，巫毒小姐。', 4: '1'}
37	37		204							{1: '1', 2: '8'}
38	38		301							{2: '灰唁', 3: '…………', 4: '1'}
39	39		204							{1: '1'}
40	40		301		1		AniZhuanchangBegin			{2: '灰唁', 3: '把客人和目标赶到一起……你到底想如何收场呢……', 4: '1'}
