Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory14.png'}
2	2		401							{1: '1', 2: '204'}
3	3		301			DialogEnable				{3: '空中花园 灰鸦休息室'}
4	4		201							{1: '1', 2: '1081001', 3: '2'}
5	5		301							{1: '1', 2: '神威', 3: '指挥官——啊，丽芙和里也在，正好正好，大家一起来玩游戏！', 4: '1'}
6	6		301							{3: '同往常一样，神威带着爽朗的笑容走进灰鸦的休息室，向着房间内的人打招呼。'}
7	7		203							{1: '1', 2: '0.25', 3: '-400'}
8	8		201							{1: '2', 2: '1031001', 3: '7', 4: '400'}
9	9		301							{1: '1', 2: '丽芙', 3: '游戏？', 4: '2'}
10	10		301							{2: '神威', 3: '对对！我找到了这个！', 4: '1'}
11	11		301							{3: '说着，神威亮了亮手中的东西，那是一个看起来有些褪色的盒子，封面是晴空下的度假海滩，标题写着《Memories O‘n~Venus Beach》'}
12	12		302							{2: '这难道是……', 3: '13', 4: '这看起来有点像那种……', 5: '13'}
13	13		204							{1: '1', 2: '1'}
14	14		301							{2: '神威', 3: '没错！就是黄金时代的‘游戏卡带’！现在真的很少见了哦！', 4: '1'}
15	15		301							{2: '神威', 3: '看起来就很有趣对吧！', 4: '1'}
16	16		201							{1: '2', 2: '500026', 4: '400'}
17	17		301							{1: '1', 2: '里', 3: '完全不觉得。你平时偷偷打电子游戏也就算了，不要把我们拉下水，我不想我加入空中花园后得到的第一个处分是因为陪你玩游戏。', 4: '2'}
18	18		301							{2: '里', 3: '你也知道，我们构造体不存在、也不需要任何娱乐行为。', 4: '2'}
19	19		301							{2: '神威', 3: '可指挥官说你还和卡列他们打牌来着，那个不是娱乐行为吗！', 4: '1'}
20	20		301							{2: '里', 3: '那只是机械的数值计算运动罢了，没有什么不妥吧。', 4: '2'}
21	21		301							{2: '神威', 3: '那电子游戏也只是可交互的虚拟场景，而且电子游戏的设计涉及到黄金时代流行的数值计算和程序开发，你不是很喜欢这些吗？', 4: '1'}
22	22		301							{2: '里', 3: '……', 4: '2'}
23	23		301							{2: '神威', 3: '而且这个游戏真的很有意思哦！连露西亚都这么说！', 4: '1'}
24	24		302							{2: '露西亚居然会玩游戏？', 3: '25'}
25	25		301							{2: '神威', 3: '我看到她一个人就试着问了一下，结果她很爽快地就答应了！好意外，现在的露西亚真的很好说话！', 4: '1'}
