Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory61.jpg'}
2	2		401							{1: '1', 2: '203'}
3	3		201							{1: '1', 2: '1031001', 3: '6'}
4	4		301			DialogEnable				{1: '1', 2: '丽芙', 3: '………………', 4: '1'}
5	5		302							{2: '怎么了？', 3: '6', 4: '丽芙？', 5: '6'}
6	6		201							{1: '1', 2: '1021001'}
7	7		301							{1: '1', 2: '露西亚', 3: '是侦查到新的敌袭信息了吗？', 4: '1'}
8	8		201							{1: '1', 2: '1031001'}
9	9		301							{1: '1', 2: '丽芙', 3: '不，不是的……并没有侦查到新的感染体活动反应。', 4: '1'}
10	10		201							{1: '1', 2: '1031001'}
11	11		301							{1: '1', 2: '丽芙', 3: '指挥官，你有没有听到……歌声……？', 4: '1'}
12	12		204							{1: '1', 2: '6'}
13	13		301							{2: '丽芙', 3: '是非常美妙的歌声……我、我完全被吸引住了，所以忍不住放慢了脚步……', 4: '1'}
14	14		302							{2: '没有听到呢……', 3: '15', 4: '没有注意……', 5: '15'}
15	15		204							{1: '1', 2: '14'}
16	16		301							{2: '丽芙', 3: '这样吗……', 4: '1'}
17	17		201							{1: '1', 2: '1011001', 4: '400'}
18	18		201							{1: '2', 2: '1021001', 4: '-400'}
19	19		301							{1: '1', 2: '露西亚', 3: '我也没有接收到类似歌声的固定频率声波。', 4: '2'}
20	20		301							{2: '里', 3: '……确定是歌声？在这种地方吗？', 4: '1'}
21	21		202							{1: '2', 6: '1'}
22	22		203							{1: '1', 2: '0.25'}
23	23		301							{2: '里', 3: '暂且不论丽芙听到的到底是不是歌声，总之是侦查到了异常声音波动，还是需要注意一下的。', 4: '1'}
24	24		301							{2: '里', 3: '先把附近的感染体清理一下吧，逐步排查异常原因。', 4: '1'}
25	25		201							{1: '1', 2: '1021001'}
26	26		301							{1: '1', 2: '露西亚', 3: '请求作战许可，指挥官。', 4: '1'}
27	27		302							{2: '一起上吧。', 3: '28', 4: '开始吧。', 5: '28'}
28	28		201							{1: '2', 2: '1011001', 4: '-400'}
29	29		201							{1: '3', 2: '1031001', 4: '400'}
30	30		301		1		AniZhuanchangBegin			{1: '1', 2: '露西亚&里&丽芙', 3: '……是！', 4: '1', 5: '2', 6: '3'}
