Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/Bgstory532.jpg'}
2	2		401							{1: '1', 2: '81'}
3	3		301			DialogEnable				{3: '——吹笛人操纵着恶龙，向大地播撒死亡与绝望。'}
4	4		301							{3: '——勇者必将克服艰难险阻，前往大地的彼方讨伐恶龙。'}
5	5		301							{3: '——在众望之下，勇者打败了邪恶的吹笛人，故事迎来幸福的终局。'}
6	6		301							{3: '会是这样的故事吗？'}
7	7		301							{3: '那灾厄之声却如此温柔。'}
8	8		301							{3: '充满了魔力的笛声悠远而绵长，仿佛独自走遍荒地，前往世界尽头的吟游诗人在路途中会奏响的乐章。'}
9	9		301							{3: '为何笛声伴随灾厄，为何吹笛人不愿停下吹奏？那是预警，亦或是求救？'}
10	10		301							{3: '真实与虚假在此刻重合。'}
11	11		301							{3: '那现实的鲸歌与这虚幻的笛声……是否也一样苦苦等待着回应？'}
12	12		301		1		AniZhuanchangBegin			{3: '这些疑问并没有答案，但你清楚地认知到，与龙同行的吹笛人是解开一切谜团的关键。'}
