Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	2		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory548.jpg'}
2	3		401							{1: '1', 2: '81'}
3	4		201							{1: '1', 2: '500139'}
4	6		301			DialogEnable				{1: '1', 2: '水手', 3: '都睡了吗？', 4: '1'}
5	7		302							{2: '点头', 3: '8'}
6	8		301							{3: '他似乎放下心来，将目光调转。'}
7	9		202							{1: '1', 6: '1'}
8	10		301							{3: '思乡的曲调唱到了尾声，像是压低了声音的号角，提起守夜人们心绪和精神。'}
9	11		301				AniZhuanchangBegin			{3: '如此的平静似乎并非常态，望向死寂的海面，旧时的记忆翻了上来，水手打开了话匣。'}
10	12		401							{1: '1', 2: '12'}
11	13		101							{1: 'Assets/Product/Texture/Image/BgStory/Bgstory531.jpg'}
12	14		504							{1: '0.7'}
13	15		301			AniZhuanchangEnd				{3: '恶龙也许并不是灾厄本身，但它却是灾厄的代表物。'}
14	16		301							{3: '不仅仅是恶龙……魔物，战争，疾病，饥饿……混着一起发酵出苦难的味道。世界勒紧所有人的脖子，要让人生生咽下去。'}
15	17		301				AniZhuanchangBegin			{3: '这全无道理可言。'}
16	18		101							{1: 'Assets/Product/Texture/Image/BgStory/Bgstory530.jpg'}
17	19		301			AniZhuanchangEnd				{2: '水手', 3: '人们想要活下来。'}
18	20		301							{3: '很多人抛却家园，远离故土，将自己与人群拆散，一路孑孑直到生命的尽头。'}
19	21		301							{2: '水手', 3: '后来，大家又找到了第二条关于恶龙的规律。海路被恶龙袭击的几率比陆地上低得多，魔物也比陆上少得多。'}
20	22		301							{2: '水手', 3: '很多人建造，甚至开始抢夺船只。'}
21	23		301							{2: '水手', 3: '船一艘一艘开往未知的海域，人们争先恐后，紧紧握着逃生的船票，相互推攘着，相互踩着彼此的脚掌，手指死死扒住能扒住的任何一样东西。'}
22	24		301							{2: '水手', 3: '当时的我还年轻，还算有点力气，但人太多了，实在太多了，所有人挨在一起，已经不知道是要挤上去，还是为了把已经上来了的人推下去。'}
23	25		301							{3: '人们互相倾轧着，收紧腹部，用力吸气，像是要抢在别人之前把肺部从身体里挤出去，用以节省船上空间。'}
24	26		301							{2: '水手', 3: '登船口的木板早就被踩烂了，我的力气也逐渐从身体里消失，最后我用了一个笨办法。'}
25	27		301							{3: '水手敲了敲自己有点跛的那条腿，低下了眼睛，像是想起什么足以发笑的事情一样，露出了一个弧度很小的笑容。'}
26	28		301							{2: '水手', 3: '虽然是个笨办法，但它很有效——我偷偷把脚卡在被踩烂的木板里。'}
27	29		301							{2: '水手', 3: '一开始很疼，我能感觉到木刺嵌进皮肉，慢慢地推进骨缝，推到——我的脚腕牢牢地钉在船洞里。'}
28	30		301							{2: '水手', 3: '太痛了，脚很痛，肚子很痛，连呼吸都很痛，我模模糊糊地想要转移注意力，我想了一下，只能把注意力集中在耳朵上。'}
29	31		301							{2: '水手', 3: '很奇怪，我却什么都听不到，似乎所有人都在愤怒着，大叫着，哭泣着，我却什么都听不到，我张着嘴，但我也不知道自己说了什么，或许什么也没说，我什么都听不到。'}
30	32		301							{3: '——但没什么所谓，毕竟当时所有人都只有一个想法。'}
31	33		301		1		AniZhuanchangBegin			{3: '——一定要，一定要留在船上。'}
