Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/Bgstory531.jpg'}
2	2		401							{1: '1', 2: '81'}
3	3		301			DialogEnable				{3: '‘勇者面向恶龙，守卫着背后的家园，高举起象征着正义和勇气的勇者之剑。’'}
4	4		301							{3: '她在梦着吗？她醒着吗？'}
5	5		301							{3: '她究竟是谁？'}
6	6		301				AniZhuanchangBegin			{3: '是公主，是旅行者，是吹笛人。是久远的灰烬。'}
7	7		101			AniZhuanchangEnd	AniZhuanchangBegin			{1: 'Assets/Product/Texture/Image/BgStory/Bgstory533.jpg'}
8	8		301							{3: '是海边的遗骸，是拂面的清风。'}
9	9		101			AniZhuanchangEnd	AniZhuanchangBegin			{1: 'Assets/Product/Texture/Image/BgStory/BgStory539.jpg'}
10	10		301							{3: '是引路的花，是勇者之剑，是魔力之笛。'}
11	11		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/Bgstory536.jpg'}
12	12		301							{3: '她是剧中人……吗？'}
13	13		301							{3: '她目睹了无数次自己被杀死的场景。'}
14	14		301				AniZhuanchangBegin			{3: '她凝视着自己，自己亦回以凝视。'}
15	15		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory550.jpg'}
16	16		301			AniZhuanchangEnd				{3: '那是一双在漫长轮回中始终如一的紫色眼睛。'}
17	17		301							{3: '眼睛里盛满了天光，不带一丝悔意。'}
18	18		301							{3: '那是一双知晓一切的眼睛。'}
19	19		301							{3: '故事因勇者的行动和选择发生了变化。'}
20	20		301							{2: '？？？', 3: '……勇者面向恶龙，守卫着背后的家园，高举起象征着正义和勇气的勇者之剑。'}
21	21		301							{2: '？？？', 3: '大陆的花朵将重新绽放，公主将回归王国，而邪恶的巨龙，将死在勇者的剑下。'}
22	22		301							{2: '？？？', 3: '世界是一个舞台。'}
23	23		301							{2: '？？？', 3: '剧中人物的品质是由他们的性格决定的，而他们的幸福与不幸，则取决于他们的行动。'}
24	24		301							{2: '？？？', 3: '并不取决于……'}
25	25		301							{3: '她是剧外人……吗？'}
26	26		301							{3: '一切陌生却又熟悉。'}
27	27		301							{3: '——▆▂——▄█▆——！！'}
28	28		301		1		AniZhuanchangBegin			{3: '是谁一直在……呼唤她吗？'}
