Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101							{1: 'Assets/Product/Texture/Image/BgStory/Bgstory211.png'}
2	2		401							{1: '1', 2: '172'}
3	3		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryFireLiziNew.prefab', 2: '2'}
4	4		201							{1: '1', 2: '500568', 3: '5', 7: '1'}
5	5		301			AniZhuanchangEnd				{1: '1', 3: '——异聚塔的红光已近在眼前的那一刻，已经几乎变为火球的运输机，也在混乱之中走到了极限。'}
6	6		401							{1: '2', 2: '2511'}
7	7		203							{1: '1', 2: '0.25', 5: '-100'}
8	8		202							{1: '1'}
9	9		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryLineFocusNew.prefab', 2: '2'}
10	10		104							{1: '0|0|-100', 2: '0.8'}
11	11		205						800.0	{1: '999', 2: 'Assets/Product/Texture/Image/BgStory/BgStory663.jpg', 3: '0', 4: '1', 5: '1'}
12	12		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryFireLiziNew.prefab'}
13	13		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryWhiteNew.prefab', 2: '3'}
14	14		401							{1: '2', 2: '884'}
15	15		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryLineFocusNew.prefab'}
16	16		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryFallNew.prefab', 2: '2'}
17	17		205							{1: '999', 3: '0', 4: '0', 5: '0'}
18	18		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory663.jpg'}
19	19		301							{3: '他抓起早已根据‘提示’而准备好的降落伞，踢开舱门，纵身一跃——下个瞬间，火光在身后骤然绽放。'}
20	20		401							{1: '2', 2: '10021506'}
21	21		301							{3: '强压下还残留在躯体上燃烧的幻痛，里拉开降落伞包，拿出武器，接连不断地击落着追逐而下的异合生物。'}
22	22		301							{3: '但那些赤色的怪物就像发现美食一般蜂拥而至，单独的武器也无法击溃所有，即使是特制的降落伞也难以承受。'}
23	23		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryFallNew.prefab'}
24	24		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryLineSpreadNew.prefab', 2: '1'}
25	25		502							{1: 'RImgBg1BlowUp'}
26	26		401							{1: '2', 2: '2704'}
27	27		301							{3: '距离地面还有一百米左右的时候，降落伞彻底被撕裂，里迅速坠入地面。'}
28	28		201							{1: '1', 2: '500568', 3: '5', 7: '1'}
29	29		301							{1: '1', 2: '里', 3: '……就差一步！', 4: '1'}
30	30		401						4300.0	{1: '2', 2: '10021401'}
31	31		202							{1: '1', 6: '1'}
32	32		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryWhiteNew.prefab', 2: '3'}
33	33		505							{1: 'RImgBg1BlowUp'}
34	34		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryLineSpreadNew.prefab'}
35	35		301			RImgBg1Shake				{3: '他拉开武器匣，向地面全力开炮，借着那一瞬的反冲力，落在地面。'}
36	36		301				AniZhuanchangBegin			{3: '散发红光的螺旋之塔入口，就在眼前。'}
37	37		401							{1: '1', 2: '36'}
38	38		101						2000.0	{1: 'Assets/Product/Texture/Image/BgStory/BgStory655.jpg'}
39	39		401							{1: '1', 2: '175'}
40	40		301			AniZhuanchangEnd				{3: '刚一踏入这座奇怪的塔中，里便感到了某种难以言说的熟悉感。'}
41	41		201							{1: '1', 2: '500568'}
42	42		301							{1: '1', 2: '里', 3: '我不是第一次来这里了吗？', 4: '1'}
43	43		301							{3: '就连说出口的话语都带着无法忽视的既视感，这让里感到有些不适，但面前便是迫近的未知危险，只能暂时先把这种异样感强行压下去。'}
44	44		301							{3: '谨慎起见，里还是决定和之前一样先使用观测设备进行检测。'}
45	45		301							{3: '正当里准备启动早就整合到机体中的电磁观测设备时，他却突然停住了手——'}
46	46		301							{2: '里', 3: '——‘和之前一样’……到底是和之前的什么时候一样？', 4: '1'}
47	47		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryWhiteNew.prefab', 2: '3'}
48	48		202							{1: '1', 6: '1'}
49	49		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory0.png'}
50	50		301							{3: '——为什么他会想到使用这个设备？'}
51	51		301							{3: '——这个设备又是什么时候安装到超刻机体中的？'}
52	52		301							{3: '——又为什么要安装这样的设备？'}
53	53		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryWhiteNew.prefab', 2: '3'}
54	54		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory655.jpg'}
55	55		201							{1: '1', 2: '500568', 7: '1'}
56	56		301							{1: '1', 3: '这些问题的答案全部都存在于里的记忆之中，但是当他回忆起来的时候，总是会觉得有哪里并不寻常。'}
57	57		301							{3: '只有一点他非常肯定，这个看似毫不起眼的设备，会成为他在塔中前行的助力。'}
58	58		301		1		AniZhuanchangBegin			{3: '但就连这个莫名的结论到底是从何而来，里也并不能找到其根源，只能抱持着怀疑一步步谨慎前进。'}
