Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101							{1: 'Assets/Product/Texture/Image/BgStory/Bgstory346.jpg'}
2	2		401							{1: '1', 2: '227'}
3	3		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiSHanshuoNew.prefab', 2: '2'}
4	4		501			AniZhuanchangEnd				{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiHuijinNew.prefab', 2: '2'}
5	5		301			DialogEnable				{3: '火与硝烟浸染了天空，寂静与死亡填满了空气。'}
6	6		301							{3: '烦躁嘶吼声并未停止，握紧了手中的武器，那是唯一交流的道具。'}
7	7		401							{1: '2', 2: '10002001'}
8	8		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiHitNew.prefab', 2: '2'}
9	9		301			RImgBg1Shake				{3: '麻木地重复着已经做过千万次的动作，仅仅依靠千锤百炼的战斗本能就足以做出最快的反应。'}
10	10		401							{1: '2', 2: '14014403'}
11	11		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryHitNew.prefab', 2: '2'}
12	12		301			RImgBg1Shake				{3: '握刀，挥下，切下拦路者的头颅；握刀，挥下，斩断敌人的武器；握刀，挥下；握刀，挥下；握刀，挥下……'}
13	13		301							{3: '世界似乎只剩下了一种颜色，累累的残骸铺成了来时的道路。'}
14	14		301							{3: '弱肉强食的筛选就是如此简单，终点近在眼前……'}
15	15		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryWhiteNew.prefab', 2: '3'}
16	16		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory0.png'}
17	17		504							{1: '0.7'}
18	18		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiSHanshuoNew.prefab'}
19	19		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiHuijinNew.prefab'}
20	20		201							{1: '1', 2: '500238', 7: '1'}
21	21		301							{1: '1', 2: '露娜', 3: '没有终点，这是永无止境的圆环。', 4: '1'}
22	22		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryWhiteNew.prefab', 2: '3'}
23	23		504							
24	24		202							{1: '1', 6: '1'}
25	25		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiSHanshuoNew.prefab', 2: '2'}
26	26		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiHuijinNew.prefab', 2: '2'}
27	27		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory547.jpg'}
28	28		301							{3: '似乎有人对自己这么说过……'}
29	29		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiSHanshuoNew.prefab'}
30	30		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiHuijinNew.prefab'}
31	31		205						500.0	{1: '999', 2: 'Assets/Product/Texture/Image/BgStory/BgStory550.jpg', 3: '0', 4: '1', 5: '0.5'}
32	32		205							{1: '999', 3: '1', 4: '0', 5: '0'}
33	33		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory550.jpg'}
34	34		301							{3: '再次抬头，终点似乎触手可及，但这是第几次觉得触手可及了？'}
35	35		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiSHanshuoNew.prefab', 2: '2'}
36	36		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiHuijinNew.prefab', 2: '2'}
37	37		205						500.0	{1: '999', 2: 'Assets/Product/Texture/Image/BgStory/Bgstory438.jpg', 3: '0', 4: '1', 5: '0.5'}
38	38		205							{1: '999', 3: '1', 4: '0', 5: '0'}
