Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101							{1: 'Assets/Product/Texture/Image/BgStory/Bgstory338.jpg'}
2	2		306							{1: '1'}
3	3		401			AniZhuanchangEnd		500.0		{1: '1', 2: '209'}
4	4		401							{1: '2', 2: '798'}
5	5		301			DialogEnable				{3: '荒原之上，一支来自空中花园的构造体小队正抵御着风沙前行。'}
6	6		301							{3: '这是洛普拉多斯的荒郊。'}
7	7		306							
8	8		402							{1: '798'}
9	9		201							{1: '1', 2: '501153'}
10	10		301							{1: '1', 2: 'Mako-1', 3: '第四步，第五，六，七……到了。灰鲭鲨全体，停步吧。', 4: '1'}
11	11		301							{3: '队长Mako-1举起作战终端，原本运行正常的终端，此时突然呈现起雪花般的信号障碍状态。'}
12	12		203							{1: '1', 2: '0.25', 3: '-450'}
13	13		201							{1: '2', 2: '501154', 4: '450'}
14	14		301							{1: '1', 2: 'Mako-2', 3: '从接近“红线”的七个标准步位置开始，信号就会中断——空中花园的传闻居然是真的。', 4: '2'}
15	15		301							{2: 'Mako-1', 3: '雪貂火力小组的信号，也消失自这里……难道他们越过红线了？', 4: '1'}
16	16		202							{1: '1', 2: '2'}
17	17		301							{3: '任务“红线”是大家在地面执行任务时，必须恪守的行动范围。空中花园严令禁止越过红线，传说中的违令者也一个都没有成功返回过。'}
18	18		301							{3: '众说纷纭，目前大家认为最可信的说法是——红线外有极高浓度的帕弥什，出界的构造体基本都会被深度感染。'}
19	19		201							{1: '1', 2: '501222'}
20	20		301							{1: '1', 2: 'Mako-3', 3: '队长，风沙的尽头，会有什么？', 4: '1'}
21	21		301							{3: '队末的Mako-3摘下了面罩，风沙卷着他的灰发一并扫在脸上。'}
22	22		306							{1: '1'}
23	23		301							{3: '所有人都默认，Mako-3是“特殊”的，但此时此刻，他也和所有标准规格的构造体一样，有些茫然地盯着面前的荒原。'}
24	24		306							
25	25		202							{1: '1', 6: '1'}
26	26		201							{1: '1', 2: '501153'}
27	27		301							{1: '1', 2: 'Mako-1', 3: '我不知道。', 4: '1'}
28	28		202							{1: '1'}
29	29		301							{3: '队长低下头，开始清点现有的装备。于空中花园的各个火力小组而言，前方就是最大的未知，是他们多年来一直想揭开的面纱。'}
30	30		301							{3: '他们“灰鲭鲨”火力小组也一样——但仅限于心里想想，实际从未有越过红线的记录。'}
31	31		201							{1: '1', 2: '501153', 4: '450'}
32	32		201							{1: '2', 2: '501222', 4: '-450'}
