Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory546.jpg'}
2	2		401							{1: '1', 2: '208'}
3	3		301			DialogEnable				{3: '经由阿西莫夫给出的多项测试标准检验，里的意识海超载被确认为“偶发异常”，属于“不可复现事件”。'}
4	4		301							{3: '在增设不同限制类型的软硬件后，名为“超刻”的机体正常启用。'}
5	5		201							{1: '1', 2: '500576'}
6	6		301							{1: '1', 2: '艾拉', 3: '哦……！我说你怎么会在这个时间点来这里，审查的手续也太多了点吧！这就是特化机体的待遇吗！', 4: '1'}
7	7		302							{2: '（耸肩）', 3: '8', 4: '是啊。', 5: '8'}
8	8		306							{1: '1'}
9	9		301							{3: '目光扫过在报告边上探头探脑的艾拉，与往日截然不同的形象有些陌生。'}
10	10		306							
11	11		302							{2: '不过你也换机体了啊。', 3: '12'}
12	12		204							{1: '1', 2: '2'}
13	13		301							{2: '艾拉', 3: '啊，你说万华吗！是哦！这是我的新机体~', 4: '1'}
14	14		202							{1: '1'}
15	15		301							{3: '她展开双臂原地旋转一圈，向自己展示着这副崭新的机体。'}
16	16		201							{1: '1', 2: '500576'}
17	17		301							{1: '1', 2: '艾拉', 3: '这副机体可是集合艺术协会最天才的设计师们的心血，更加侧重战斗性能~', 4: '1'}
18	18		204							{1: '1', 2: '2'}
19	19		301							{2: '艾拉', 3: '虽然肯定比不上特化机体，但是也很强噢！', 4: '1'}
20	20		302							{2: '机体迭代的侧重点放在了战斗上？', 3: '21'}
21	21		204							{1: '1'}
22	22		301							{2: '艾拉', 3: '当然啦！赛琳娜那么厉害，我可也不能落下。', 4: '1'}
23	23		204							{1: '1', 2: '8'}
24	24		301							{2: '艾拉', 3: '况且，假如考古小队的构造体仍然毫无战斗力，只是依靠执行部队的保护，那赛琳娜这样的事故……难免不会再次发生。', 4: '1'}
25	25		204							{1: '1', 2: '4'}
26	26		301							{3: '提到与挚友相别的几年，艾拉神情低落片刻，但很快又恢复振作。'}
27	27		204							{1: '1', 2: '12'}
28	28		301							{2: '艾拉', 3: '所以，艾伦会长一直尝试建立一支拥有指挥官的特殊小队，来执行被评定为“危险”的考古任务。', 4: '1'}
29	29		301							{2: '艾拉', 3: '原本军方一直不同意这项提案，但前段时间，大约是得益于<color=#ff4e4eff>“安全区”</color>的建立，军方突然软化态度，允许艺术协会战斗型号机体的开发。', 4: '1'}
30	30		301							{2: '艾拉', 3: '毕竟，安全区范围扩大之后，艺术协会的考古小队也需要相应扩大考古范围，帮助空中花园回收黄金时代失传的资料和技术。', 4: '1'}
31	31		204							{1: '1'}
