Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/BgStory81.jpg'}
2	2		401							{1: '1', 2: '206'}
3	3		201							{1: '1', 2: '500142', 4: '400'}
4	1001		201							{1: '2', 2: '500142', 4: '-400'}
5	4		301			DialogEnable				{1: '1', 2: '机械A', 3: '好强……好厉害！', 4: '1'}
6	5		301							{2: '机械B', 3: '这些是外面来的人吧，我还是第一次碰见哎！', 4: '2'}
7	6		301							{3: '在通过全部捉鬼环节以后到达的是一个没有什么装饰的空地，在中央放着一个形状熟悉的箱子。'}
8	7		301							{3: '还有围成圈的观众等候在此。'}
9	1002		202							{1: '1', 2: '2'}
10	1003		201							{1: '1', 2: '500166'}
11	8		301							{1: '1', 2: '露西亚', 3: '这是……？', 4: '1'}
12	1004		202							{1: '1'}
13	1005		201							{1: '1', 2: '500142', 4: '400'}
14	1006		201							{1: '2', 2: '500142', 4: '-400'}
15	9		301							{1: '1', 2: '机械A', 3: '道长！', 4: '1'}
16	10		301							{2: '机械B', 3: '道长！道长！', 4: '2'}
17	11		301							{3: '作为观众的机械体们先是互相交谈，之后就齐声欢呼起来。'}
18	1007		202							{1: '1', 2: '2'}
19	1008		201							{1: '1', 2: '500018'}
20	12		301							{1: '1', 2: '工头', 3: '没想到竟然真的有人能通过这么多试炼来到这里，你们的试炼也好，捉鬼的手法也好，真是让我大开眼界了。', 4: '1'}
21	13		301							{2: '工头', 3: '果然只有人类扮演的道长才有味道啊！', 4: '1'}
22	1009		302							{2: '那箱子……', 3: '14', 4: '你都有在看吗？', 5: '15'}
23	14	16	301							{2: '工头', 3: '嗯嗯，当然，箱子你们拿回去就是，我们可没有动过里面的东西哦。', 4: '1'}
24	15	16	301							{2: '工头', 3: '通过天上面那些侦察机我可以实时监控整个场地哦。', 4: '1'}
25	16		301							{3: '在说过话以后工头又转过了身，就像司仪一样做出了夸张的动作介绍这边。'}
26	17		301							{2: '工头', 3: '各位都看见了吧，这个叫做灰鸦的队伍通过了全部关卡，首先踏入了这个地方！', 4: '1'}
27	18		301							{2: '工头', 3: '所以我要在此宣布本届道长争夺战的胜者是灰鸦小队，而他们的指挥官也就是【kuroname】将会成为大道长！', 4: '1'}
28	1010		203							{1: '1', 2: '0.25', 3: '400'}
29	1011		201							{1: '2', 2: '500166', 4: '-400'}
30	19		301							{1: '1', 2: '露西亚', 3: '大道长是什么？', 4: '2'}
31	20		301							{2: '工头', 3: '简单来说就是很厉害的人啦，在名词前面加一个大字不是显得很威风吗？', 4: '1'}
32	1012		201							{1: '1', 2: '1031001', 4: '400'}
33	1013		201							{1: '2', 2: '500026', 4: '-400'}
34	21		301							{1: '1', 2: '里', 3: '和神威一样的思考回路吗……？', 4: '2'}
35	22		301							{2: '丽芙', 3: '但我果然还是有些在意的事情……工头先生。', 4: '1'}
36	1014		201							{1: '2', 2: '500018', 4: '-400'}
37	23		301							{1: '1', 2: '工头', 3: '只要我能说的我都可以回答，还有直接叫我工头就好啦。', 4: '2'}
38	24		301							{2: '丽芙', 3: '那工头……我们在试炼的中途得知了这里本是一个工厂，然后你们……是没有被撤走的机械吗？', 4: '1'}
39	25		301							{2: '工头', 3: '好像是有这么一回事呢，那天大工头，也就是管事的人类说要紧急撤离，于是其他人就跟着他走了。', 4: '2'}
40	26		301							{2: '丽芙', 3: '所以你们就留了下来吗，因为撤离的命令没有下达给你们……', 4: '1'}
41	27		301							{2: '工头', 3: '嗯，我们自那之后一直都在这个地方游荡。', 4: '2'}
42	1015		202							{1: '1', 2: '2'}
43	1016		201							{1: '1', 2: '500026', 4: '400'}
44	1017		201							{1: '2', 2: '500166', 4: '-400'}
45	28		301							{1: '1', 2: '里', 3: '我本以为你们会是特定的节日才会聚在一起，结果一直都在这附近没移动过吗？', 4: '1'}
46	29		301							{2: '露西亚', 3: '虽然不多，但这附近应该也有感染体在徘徊……你们没遭遇到危险吗？', 4: '2'}
47	7000		201							{1: '2', 2: '500018', 4: '-400'}
48	30		301							{1: '1', 2: '工头', 3: '危险当然有，而且也受了很大的教训呢。', 4: '2'}
49	1019		201							{1: '1', 2: '1031001', 4: '400'}
50	31		301							{1: '1', 2: '丽芙', 3: '那之后要转移到其他地方吗，我们空中花园也在地面上也设立了基地……', 4: '1'}
51	32		301							{2: '工头', 3: '不，我想我们还会继续留在这个地方。', 4: '2'}
52	33		301							{2: '丽芙', 3: '即便是有危险吗？', 4: '1'}
53	34		301							{2: '工头', 3: '因为我们这里是充满回忆的地方，就算不是中元节也好，我们也一直在怀念大工头这些人类还在的日子。', 4: '2'}
54	1020		401							{1: '2', 2: '1509'}
55	35		301							{3: '——'}
56	7001		201							{1: '1', 2: '500026', 4: '400'}
57	36		301							{1: '1', 2: '里', 3: '还有一点，关于‘将军’和其他机械体们的模样，并不是工厂机械应有的外形。其实你们……', 4: '1'}
58	134545		301							{1: '1', 2: '里', 3: '空中的侦察机怎么了……这声音是？', 4: '1'}
59	37		301				AniZhuanchangBegin			{2: '工头', 3: '是时间到了。', 4: '2'}
60	1021		202							{1: '1', 2: '2', 3: '3'}
61	1022		101							{1: 'Assets/Product/Texture/Image/BgStory/BgStory00.png'}
