Id	ActionId	NextActionId	Type	IsBlock	IsEnd	BeginAnim	EndAnim	BeginDelay	EndDelay	Params
1	1		101			AniZhuanchangEnd				{1: 'Assets/Product/Texture/Image/BgStory/Bgstory5.jpg'}
2	2		401							{1: '1', 2: '205'}
3	3		201							{1: '1', 2: '1111001', 3: '5', 4: '-400'}
4	4		201							{1: '2', 2: '500029', 4: '400'}
5	5		401							{1: '2', 2: '10007502'}
6	6		502							{1: 'RImgBg1Shake'}
7	7		301			DialogEnable				{1: '1', 2: '爆裂', 3: '别挡路！！', 4: '1'}
8	8		301							{2: '黎明', 3: '有点糟糕……', 4: '2'}
9	9		202							{1: '1', 2: '2'}
10	10		301							{3: '爆裂的攻击波及到了正在进行白刃战的黎明，顿时场面一片混乱。'}
11	11		302							{2: '为什么会这样！？', 3: '12'}
12	12		301							{2: '-AI-', 3: '区域镇压成功，敌方构造体全歼，构造体黎明损伤已达临界线。'}
13	13		302							{2: '明明我没有让爆裂攻击', 3: '14'}
14	14		201							{1: '1', 2: '500004'}
15	15		501							{1: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryTongxunHalfNew.prefab', 3: '1'}
16	16		301							{1: '1', 2: '阿西莫夫', 3: '顺带一提，这次我加强了基础战术连携的效果，有利的队员组合会在战斗中获得增强。', 4: '1'}
17	17		302							{2: '这不是战斗力的原因', 3: '18'}
18	18		505							{2: 'Assets/Product/Effect/Prefab/FxUi/FxUiStoryNew/FxUiStoryTongxunHalfNew.prefab', 4: '1'}
19	19		202							{1: '1'}
20	20		301							{2: '-AI-', 3: '根据指挥官要求，依照录入数据创建了人格模块，加强了队员的性格表现。'}
21	21		302							{2: '我什么时候要求了！？', 3: '22'}
22	22		301							"{2: '-AI-', 3: ""让队员按照你的要求，尽可能变得不像'机器人'。""}"
23	23		301							{2: '-AI-', 3: '有可能出现不听指挥的队员，或者互相打架的队员，或者犯傻冲进敌阵的队员……'}
24	24		302							{2: '这也过于真实了吧！', 3: '25'}
25	25		301		1		AniZhuanchangBegin			{2: '-AI-', 3: '请指挥官谨慎选择队员，队员有可能比敌人更可怕哦。'}
