Id	GroupId	Desc	Type	Params
1	101	诺曼星际矿场	1	[2, 1]
2	101	星域训练场	1	[3, 2]
3	102	星域训练场	1	[3, 1]
4	102	“曙光”水吧	1	[5, 1]
5	102	异星基岩	1	[101, 4]
6	103	诺曼星际矿场	1	[2, 1]
7	103	星域训练场	1	[3, 5]
8	103	异星基岩	1	[101, 20]
9	104	诺曼星际矿场	1	[2, 1]
10	104	星域训练场	1	[3, 6]
11	104	异星基岩	1	[101, 25]
12	201	诺曼星际矿场	1	[2, 3]
13	201	星域训练场	1	[3, 6]
14	201	跃迁星塔	1	[7, 1]
15	202	诺曼星际矿场	1	[2, 3]
16	202	星域训练场	1	[3, 6]
17	202	跃迁星塔	1	[7, 1]
18	203	诺曼星际矿场	1	[2, 3]
19	203	星域训练场	1	[3, 6]
20	203	跃迁星塔	1	[7, 1]
21	204	诺曼星际矿场	1	[2, 6]
22	204	星域训练场	1	[3, 6]
23	204	跃迁星塔	1	[7, 4]
24	205	诺曼星际矿场	1	[2, 6]
25	205	星域训练场	1	[3, 6]
26	205	跃迁星塔	1	[7, 4]
27	301	诺曼星际矿场	1	[2, 4]
28	301	星域训练场	1	[3, 6]
29	301	华彩星象馆	1	[6, 4]
30	302	诺曼星际矿场	1	[2, 6]
31	302	星域训练场	1	[3, 6]
32	302	华彩星象馆	1	[6, 3]
33	303	诺曼星际矿场	1	[2, 3]
34	303	星域训练场	1	[3, 6]
35	303	华彩星象馆	1	[6, 5]
36	304	诺曼星际矿场	1	[2, 8]
37	304	“曙光”水吧	1	[5, 6]
38	304	华彩星象馆	1	[6, 6]
39	305	诺曼星际矿场	1	[2, 9]
40	305	“曙光”水吧	1	[5, 6]
41	305	华彩星象馆	1	[6, 5]
42	401	诺曼星际矿场	1	[2, 3]
43	401	星域训练场	1	[3, 6]
44	401	拟相靶场	1	[4, 5]
45	402	诺曼星际矿场	1	[2, 2]
46	402	星域训练场	1	[3, 6]
47	402	拟相靶场	1	[4, 8]
48	403	诺曼星际矿场	1	[2, 1]
49	403	星域训练场	1	[3, 6]
50	403	拟相靶场	1	[4, 12]
51	404	星域训练场	1	[3, 6]
52	404	拟相靶场	1	[4, 8]
53	404	火山岩晶	1	[107, 64]
54	405	星域训练场	1	[3, 6]
55	405	拟相靶场	1	[4, 10]
56	405	“曙光”水吧	1	[5, 28]
57	501	诺曼星际矿场	1	[2, 5]
58	501	红丝绒山脉	1	[109, 60]
59	502	诺曼星际矿场	1	[2, 5]
60	502	红丝绒山脉	1	[109, 60]
61	503	诺曼星际矿场	1	[2, 5]
62	503	拟相靶场	1	[4, 5]
63	503	红丝绒山脉	1	[109, 50]
64	504	当前星球无推荐		
65	505	当前星球无推荐		
