Key	Desc	Values
InvitationContent	邀请函内容	['%s指挥官', '今天翻看记录的时候发现，上一次与你团聚的日子还是\\n<color=#e27b44>%s。</color>', '你不在的<color=#e27b44>%s</color>里发生的事情，我们想一点一点地说给你听。', '灰鸦小队致上']
TaskEndTime	任务结束时间描述	['剩余<color=#0e70bd>%s</color>%s', '解锁<color=#0e70bd>%s</color>%s']
SignDaysDesc	签到天数描述	['累计签到<color=#0f70bc><size=40>%s</size></color>天', '第%s天']
StopPayPassportTips	解锁高级战令时间不足	['剩余时间不足，特调茶券手册不可购买']
NoRewardAvailableTips	无奖励可领取提示	['无奖励可领取']
ActivityNotOpenTips	活动未开放提示	['新内容施工中，敬请期待']
TipRewardTitle	弹窗标题（空格不要删）	['奖励详情']
RepeatSignTips	重复签到提示	['已签到，不可重复签到']
SignPreviewRewardId	签到预览奖励	['23612']
ShopSellOutTips	物品告罄	['该商品已售罄']
SurveyDesc	问卷描述，1是标题，2是正文	['问卷标题标题', '欢迎归队，指挥官，请下达新的指令。灰鸦小队，重新出发！']
SurveyAchievedTips		['问卷已完成']
