Key	Note	Params
HelpKey	帮助Key	['RogueSim']
MainCountDownDesc	倒计时描述	['经营剩余时间：%s']
ExchangeCountDownDesc	倒计时描述	['商店兑换剩余时间：%s']
StageNotUnlockDesc	关卡未解锁描述	['%s后解锁', '通关“%s”后解锁']
StageRoundDesc	关卡季度描述	['<color=#ff0000>%s</color>季度']
ScenePath	场景预置，包括格子挂点和镜头	['Assets/Product/Scene/ScenePrefab/SystemRogueSim3d01.prefab']
SceneLoadGridSpeed	场景每帧加载格子预制体的数量	['20']
ProduceContent	生产界面描述	['季度开始时会根据此设置生产商品']
ProduceBtnYesTips	生产按钮提示信息	['请选择要生产商品', '本季度产品生产时，溢出仓库容量的部分舍弃，不计入仓库', '%s库存已达上限，无法继续生产']
ProduceDialogTitle	弹框标题	['提示']
ProduceChangeContent	生产变更描述	['生产商品更换成功']
ProduceNotSelectTips	未选择生产提示	['请选择要生产的商品']
SellContent	贸易界面描述	['商品销售获得的金贝会在下季度入账']
SellSingleValue	贸易单次减少/增加的数值	['9999999']
SellChangeContent	贸易变更描述	['装车成功', '暂无商品装车']
BattleRoundNumDesc	季度数描述	['季度 <color=#ffeb9b>%d</color>']
BattleRoundLine10		['Assets/Product/Texture/Image/UiRogueSim/UiRogueSimBattleLine10.png']
BattleRoundLine20		['Assets/Product/Texture/Image/UiRogueSim/UiRogueSimBattleLine20.png']
BattleRoundLine30		['Assets/Product/Texture/Image/UiRogueSim/UiRogueSimBattleLine30.png']
BattleRoundLine5		['Assets/Product/Texture/Image/UiRogueSim/UiRogueSimBattleLine5.png']
BattleRoundLine15		['Assets/Product/Texture/Image/UiRogueSim/UiRogueSimBattleLine15.png']
BattleRoundLine25		['Assets/Product/Texture/Image/UiRogueSim/UiRogueSimBattleLine25.png']
TransitionDuration	过场持续时间	['2']
TransitionDesc	过场描述	['经营时间还有：%d个季度', '最后一个季度！']
BtnExplore	探索按钮	['前往探索']
BtnDetail	详情按钮	['查看详情']
LandBubbleBtnName	格子弹框按钮名称	['前往探索', '查看详情', '查看升级', '继续选择']
LandNotExplorableTips	格子不可探索提示	['需要先通过探索连通道路']
North	传闻点位北方向	['北方向']
South	传闻点位南方向	['南方向']
East	传闻点位东方向	['东方向']
West	传闻点位西方向	['西方向']
Northeast	传闻点位东北方向	['东北方向']
Southeast	传闻点位东南方向	['东南方向']
Northwest	传闻点位西北方向	['西北方向']
Southwest	传闻点位西南方向	['西南方向']
MainMaxLevelDesc	主城最大等级描述	['MAX']
MainLevelUpExpTips	主城经验提示	['可升级', '已满级！']
MainLevelUpAdditionDesc	主城等级加成描述	['%s + %d', '科技等级解锁 Lv.%d', '探索区域解锁 Lv.%d']
MainLevelCanLevelUpTips	主城不可升级提示	['已达最高等级', '行商经验未满足升级需求', '金贝不足']
MainLevelBtnLvUpText	升级按钮文本	['升级', '已满级']
MainLevelRewardColor	主城等级奖励颜色	['524C3F', 'FF6500']
MainLevelUpgradeGoldColor	主城等级升级金币颜色	['524C3F', 'FF6500']
ShopId	商店Id	['1434']
PreviewShopGoodIds	商店预览商品id列表	['143366', '143367']
TaskGroupId	任务组Id	['268']
