Id	Type	Title	Desc	Time	PrefabPath
1001	8	提示	门打开了	5.0	
1002	2	提示	门关上了	6.0	
12020	2		使用<color=#ffda58>【攻击】</color>键，攻击<color=#ffda58>【即时触发器】</color>，打开大门。		
12021	1		继续前进	4.0	
12032	2		移动视角，选中左侧的<color=#ffda58>【锚点接口】</color>{0}/3		
12033	2		移动视角，选中右侧的<color=#ffda58>【锚点接口】</color>{0}/3		
12034	2		移动视角，选中中间的<color=#ffda58>【锚点接口】</color>{0}/3		
12035	2		移动视角，选中中间的<color=#ffda58>【锚点接口】 </color>{0}/3<color=#33CCFF>完成</color>		
12040	2		使用<color=#ffda58>【攻击】</color>键击打<color=#ffda58>【即时触发器】</color>		
12041	2		继续前进，以完成训练		
12060	2		骇破<color=#ffda58>【数据体】</color>的头或者前肢		
12070	2		普通攻击6次 {0}/6		
12071	2		普通攻击6次 {0}/6 <color=#33CCFF>完成</color>		
12072	2		消球3次 {0}/3		
12073	2		消球3次 {0}/3 <color=#33CCFF>完成</color>		
12074	2		手动消球后，两侧的球撞到一起达成<color=#ffda58>【自动消除】</color>1次 {0}/1		
12075	2		<size=26>手动消球后，两侧的球撞到一起达成<color=#ffda58>【自动消除】</color>1次 {0}/1 <color=#33CCFF>完成</color></size>		
12080	2		<size=26>在<color=#ffda58>【狩捕】</color>时限内造成足量伤害，使<color=#ffda58>【数据穿透率】</color>到达100</size>		
13000	1		对象接口已捕获，即将执行破译	1.0	
13001	1		{0}		
13002	1		猎锚受到干扰，不能自由锁定黯角	3.0	
900200	1	提示	类型1\n横幅提示{0}		
900201	2	提示	类型2\n左上角提示{0}		
900202	8	提示	类型8\n左中栏提示{0}		
900203	17	提示	类型17\n左中栏提示{0}		
8001001	2		怪物<color=#ffda58>【头部】</color>骇破成功！	2.0	
8001003	2		怪物<color=#ffda58>【左臂】</color>骇破成功！	2.0	
8001004	2		怪物<color=#ffda58>【右臂】</color>骇破成功！	2.0	
8001	1	提示	<color=#ffda58>【达摩克利斯之枪】</color>正在通讯：1…2…	2.0	
800101	1	提示	<color=#ffda58>【达摩克利斯之枪】</color>连接完毕……	1.0	
400100	14	无文本纯数字倒计时（此文本内容不会显示，仅用作编辑时区分辨识）			Assets/Product/Ui/UiFightPrefab/UiDlcMultiPlayer/PanelTimer.prefab
400101	1	第2回合 行动阶段	<color=#00FF00>绿色</color>炸弹将在<color=#00FF00>九宫格</color>范围爆炸，<color=#34AFF8>蓝色</color>炸弹将在斜方向范围爆炸，<color=#FFFF00>黄色</color>炸弹将在十字方向范围爆炸		Assets/Product/Ui/UiFightPrefab/UiFightTipsDlc/PanelFightTopTip.prefab
102101	1	躲避障碍	躲避场上的障碍		Assets/Product/Ui/UiFightPrefab/UiFightTipsDlc/PanelFightTopTip.prefab
102102	1	爆破倒计时	场上所有炸弹将在倒计时结束后发生爆炸！\n<color=#00FF00>绿色-九宫格</color>、<color=#FFFF00>黄色-十字向</color>、<color=#69FFFF>蓝色-斜方向</color>		Assets/Product/Ui/UiFightPrefab/UiFightTipsDlc/PanelFightTopTip.prefab
102103	1	得分判定	<color=#FF6287>三人</color>同色，额外加成<color=#FF6287>1.5倍</color>；<color=#FF9D64>二人</color>同色，额外加成<color=#FF9D64>1.3倍</color>		Assets/Product/Ui/UiFightPrefab/UiFightTipsDlc/PanelFightTopTip.prefab
102104	1	躲避障碍	躲避场上的障碍		Assets/Product/Ui/UiFightPrefab/UiFightTipsDlc/PanelFightTopTip.prefab
102105	1	爆破倒计时	场上所有炸弹将在倒计时结束后发生爆炸！\n<color=#00FF00>绿色-九宫格</color>、<color=#FFFF00>黄色-十字向</color>、<color=#69FFFF>蓝色-斜方向</color>		Assets/Product/Ui/UiFightPrefab/UiFightTipsDlc/PanelFightTopTip.prefab
102106	1	得分判定	<color=#FF6287>三人</color>同色，额外加成<color=#FF6287>1.5倍</color>；<color=#FF9D64>二人</color>同色，额外加成<color=#FF9D64>1.3倍</color>		Assets/Product/Ui/UiFightPrefab/UiFightTipsDlc/PanelFightTopTip.prefab
102107	1	躲避障碍	躲避场上的障碍		Assets/Product/Ui/UiFightPrefab/UiFightTipsDlc/PanelFightTopTip.prefab
102108	1	爆破倒计时	场上所有炸弹将在倒计时结束后发生爆炸！\n<color=#00FF00>绿色-九宫格</color>、<color=#FFFF00>黄色-十字向</color>、<color=#69FFFF>蓝色-斜方向</color>		Assets/Product/Ui/UiFightPrefab/UiFightTipsDlc/PanelFightTopTip.prefab
102109	1	得分判定	<color=#FF6287>三人</color>同色，额外加成<color=#FF6287>1.5倍</color>；<color=#FF9D64>二人</color>同色，额外加成<color=#FF9D64>1.3倍</color>		Assets/Product/Ui/UiFightPrefab/UiFightTipsDlc/PanelFightTopTip.prefab
102110	1	躲避障碍	躲避场上的障碍		Assets/Product/Ui/UiFightPrefab/UiFightTipsDlc/PanelFightTopTip.prefab
102111	1	爆破倒计时	场上所有炸弹将在倒计时结束后发生爆炸！\n<color=#00FF00>绿色-九宫格</color>、<color=#FFFF00>黄色-十字向</color>、<color=#69FFFF>蓝色-斜方向</color>		Assets/Product/Ui/UiFightPrefab/UiFightTipsDlc/PanelFightTopTip.prefab
102112	1	得分判定	<color=#FF6287>三人</color>同色，额外加成<color=#FF6287>1.5倍</color>；<color=#FF9D64>二人</color>同色，额外加成<color=#FF9D64>1.3倍</color>		Assets/Product/Ui/UiFightPrefab/UiFightTipsDlc/PanelFightTopTip.prefab
102113	1	躲避障碍	躲避场上的障碍		Assets/Product/Ui/UiFightPrefab/UiFightTipsDlc/PanelFightTopTip.prefab
102114	1	爆破倒计时	场上所有炸弹将在倒计时结束后发生爆炸！\n<color=#00FF00>绿色-九宫格</color>、<color=#FFFF00>黄色-十字向</color>、<color=#69FFFF>蓝色-斜方向</color>		Assets/Product/Ui/UiFightPrefab/UiFightTipsDlc/PanelFightTopTip.prefab
102115	1	得分判定	<color=#FF6287>三人</color>同色，额外加成<color=#FF6287>1.5倍</color>；<color=#FF9D64>二人</color>同色，额外加成<color=#FF9D64>1.3倍</color>		Assets/Product/Ui/UiFightPrefab/UiFightTipsDlc/PanelFightTopTip.prefab
104101	17	准备阶段	鼠鼠阵营玩家将提前躲藏，猫猫阵营蓄势待发。		Assets/Product/Ui/UiFightPrefab/UiDlcMultiPlayer/PanelFightTopTip.prefab
104102	17	对战阶段	猫猫阵营开始出发寻找，鼠鼠阵营记得藏好了哦！		Assets/Product/Ui/UiFightPrefab/UiDlcMultiPlayer/PanelFightTopTip.prefab
104103	17	最终阶段	猫猫阵营得到技能提速，鼠鼠阵营生存得分翻倍！		Assets/Product/Ui/UiFightPrefab/UiDlcMultiPlayer/PanelFightTopTip.prefab
104104	1		你已被捕获o(╥﹏╥)o	5.0	Assets/Product/Ui/UiFightPrefab/UiDlcMultiPlayer/PanelFightLostTip.prefab
104105	18		出发寻找伪装在场景内的鼠鼠玩家!	5.0	Assets/Product/Ui/UiFightPrefab/UiDlcMultiPlayer/PanelFightCampTip.prefab
104106	18		伪装在场景中，小心被识破！	5.0	Assets/Product/Ui/UiFightPrefab/UiDlcMultiPlayer/PanelFightCampTip.prefab
104107	18		你捕获了一只<color=#ffab1a>鼠鼠</color>！	3.0	Assets/Product/Ui/UiFightPrefab/UiDlcMultiPlayer/PanelFightCampTip.prefab
104108	1		游戏结束	5.0	Assets/Product/Ui/UiFightPrefab/UiDlcMultiPlayer/PanelFightGameOver.prefab
104109	18		你被分配到了<color=#ffab1a>猫猫</color>阵营，抓捕场上所有鼠鼠玩家则获胜！	8.0	Assets/Product/Ui/UiFightPrefab/UiDlcMultiPlayer/PanelFightCampTip.prefab
104110	18		你被分配到了<color=#ffab1a>鼠鼠</color>阵营，伪装至对局结束则为胜利！	8.0	Assets/Product/Ui/UiFightPrefab/UiDlcMultiPlayer/PanelFightCampTip.prefab
104111	1		你被一只<color=#ffab1a>猫猫</color>标记了！	3.0	
104112	1		一只<color=#ffab1a>鼠鼠</color>踩中了捕兽夹！	3.0	
104113	1		获得<color=#ffab1a>敏捷药水</color>	3.0	
104114	1		获得<color=#ffab2a>捕兽夹</color>	3.0	
104115	1		获得<color=#ffab3a>冲锋鞋</color>	3.0	
104116	1		获得<color=#ffab4a>眩晕弹</color>	3.0	
104117	1		获得<color=#ffab5a>隐身</color>	3.0	
104118	1		获得<color=#ffab6a>扫描仪</color>	3.0	
104119	1		获得<color=#ffab7a>钩锁</color>	3.0	
104120	1		获得<color=#ffab8a>渔网</color>	3.0	
104121	1		标记的<color=#ffab1a>鼠鼠</color>已隐身	3.0	
104122	1		标记的<color=#ffab1a>鼠鼠</color>已被抓	3.0	
4001001	1		移动方式已切换为行走	2.0	Assets/Product/Ui/ComponentPrefab/BigWorld/Common/UiCommon/UiBigWorldPanelCenterTip.prefab
4001002	1		移动方式已切换为跑步	2.0	Assets/Product/Ui/ComponentPrefab/BigWorld/Common/UiCommon/UiBigWorldPanelCenterTip.prefab
4001003	1		到达追踪点附近，自动取消追踪	3.0	Assets/Product/Ui/ComponentPrefab/BigWorld/Common/UiCommon/UiBigWorldPanelCenterTip.prefab
4001004	1		{0}	5.0	Assets/Product/Ui/ComponentPrefab/BigWorld/Common/UiCommon/UiBigWorldPanelUpLocation.prefab
4001005	1		剧情角色离开队伍	2.0	Assets/Product/Ui/ComponentPrefab/BigWorld/Common/UiCommon/UiBigWorldPanelCenterTip.prefab
9001001	17			3.0	Assets/Product/Ui/UiFightPrefab/UiFightTipsDlc/UiTheatre5Tired.prefab
9001002	21				Assets/Product/Ui/UiFightPrefab/UiFightTipsDlc/UiTheatre5Countdown.prefab
9001003	20	计时			Assets/Product/Ui/Prefab/UiFightDlc/UiTheatre5/Theatre5PanelTimer.prefab
9001004	22	提示	是否放弃当前对局		Assets/Product/Ui/UiFightPrefab/UiTheatre5/UiTheatre5PopupCommon.prefab
4001006	1		终端信标已解锁	2.0	Assets/Product/Ui/ComponentPrefab/BigWorld/Common/UiCommon/UiBigWorldPanelCenterTip.prefab
4001007	1		已切换至第一人称模式（切换角色为「指挥官」可进入第一人称视角）	2.0	Assets/Product/Ui/ComponentPrefab/BigWorld/Common/UiCommon/UiBigWorldPanelCenterTip.prefab
4001008	1		已切换至第一人称模式	2.0	Assets/Product/Ui/ComponentPrefab/BigWorld/Common/UiCommon/UiBigWorldPanelCenterTip.prefab
4001009	1		已切换至第三人称模式	2.0	Assets/Product/Ui/ComponentPrefab/BigWorld/Common/UiCommon/UiBigWorldPanelCenterTip.prefab
4001010	1		当前状态无法进行视角切换	2.0	Assets/Product/Ui/ComponentPrefab/BigWorld/Common/UiCommon/UiBigWorldPanelCenterTip.prefab
4001011	1		当前无法切换视角	2.0	Assets/Product/Ui/ComponentPrefab/BigWorld/Common/UiCommon/UiBigWorldPanelCenterTip.prefab
4001012	1		请在主菜单打开拍照进行拍摄	4.0	Assets/Product/Ui/ComponentPrefab/BigWorld/Common/UiCommon/UiBigWorldPanelCenterTip.prefab
4001013	1		<color=#7BF7FF>使用扫描寻找任务线索</color>	10.0	Assets/Product/Ui/ComponentPrefab/BigWorld/Common/UiCommon/UiBigWorldPanelCenterTip.prefab
4001014	1		使用扫描寻找任务线索	5.0	Assets/Product/Ui/ComponentPrefab/BigWorld/Common/UiCommon/UiBigWorldPanelCenterTip.prefab
4001015	1		该任务目标不是交付道具		
4001016	1		交付道具种类不符合要求		
4001017	1		交付道具数量不符合要求		
4001018	1		任务道具配置不存在		
4001019	1		任务道具数量不足		
4001020	1		任务道具不在背包		
4001021	1		已到达目标附近，请在范围内寻找目标	2.0	Assets/Product/Ui/ComponentPrefab/BigWorld/Common/UiCommon/UiBigWorldPanelCenterTip.prefab
90201	1	提示	网络信号异常波动，正在尝试优化调整中......		
90202	1	提示	战斗强制结束倒计时{0}秒		
90203	1	提示	挑战失败，即将退出关卡		
90204	1	提示	角色坐标异常，重置角色位置	3.0	
