Name	Layer	ClipPath	RootMotionPath
Attack01	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack01.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack01.asset
Attack02	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack02.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack02.asset
Attack03	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack03.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack03.asset
Attack04	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack04.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack04.asset
Attack05	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack05.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack05.asset
Attack06	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack06.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack06.asset
Attack08	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack08.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack08.asset
Attack09	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack09.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack09.asset
Attack10	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack10.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack10.asset
Attack21	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack21.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack21.asset
Attack22	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack22.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack22.asset
Attack23	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack23.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack23.asset
Attack24	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack24.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack24.asset
Attack25	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack25.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack25.asset
Attack26	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack26.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack26.asset
Attack29	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack29.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack29.asset
Attack31	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack31.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack31.asset
Attack32	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack32.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack32.asset
Attack33	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack33.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack33.asset
Attack34	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack34.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack34.asset
Attack35	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack35.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack35.asset
Attack41	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack41.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack41.asset
Attack42	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack42.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack42.asset
Attack43	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack43.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack43.asset
Attack44	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack44.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack44.asset
Attack51	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack51.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack51.asset
Attack52	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack52.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack52.asset
Attack53	BaseLayer	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack53.anim	Assets/Product/Role/DlcAnimation/Common3DFight/Mb1GodzillaMd010001RM/Mb1GodzillaMd010001RM/BaseLayer/Attack53.asset
