Name	Layer	ClipPath	RootMotionPath
Drama_Buouxiong_Sit_Shenshou	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMd010021SG/R3BuouxiongMd010021SG/CommonLayer/Drama_Buouxiong_Sit_Shenshou.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMd010021SG/R3BuouxiongMd010021SG/CommonLayer/Drama_Buouxiong_Sit_Shenshou.asset
Drama_Foundation_02_End	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMd010021SG/R3BuouxiongMd010021SG/CommonLayer/Drama_Foundation_02_End.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMd010021SG/R3BuouxiongMd010021SG/CommonLayer/Drama_Foundation_02_End.asset
Drama_Foundation_02_Loop	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMd010021SG/R3BuouxiongMd010021SG/CommonLayer/Drama_Foundation_02_Loop.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMd010021SG/R3BuouxiongMd010021SG/CommonLayer/Drama_Foundation_02_Loop.asset
Drama_Foundation_02_Start	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMd010021SG/R3BuouxiongMd010021SG/CommonLayer/Drama_Foundation_02_Start.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMd010021SG/R3BuouxiongMd010021SG/CommonLayer/Drama_Foundation_02_Start.asset
Drama_Foundation_04	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMd010021SG/R3BuouxiongMd010021SG/CommonLayer/Drama_Foundation_04.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMd010021SG/R3BuouxiongMd010021SG/CommonLayer/Drama_Foundation_04.asset
Drama_Foundation_05	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMd010021SG/R3BuouxiongMd010021SG/CommonLayer/Drama_Foundation_05.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMd010021SG/R3BuouxiongMd010021SG/CommonLayer/Drama_Foundation_05.asset
Drama_Sit_01	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMd010021SG/R3BuouxiongMd010021SG/CommonLayer/Drama_Sit_01.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMd010021SG/R3BuouxiongMd010021SG/CommonLayer/Drama_Sit_01.asset
Drama_Sit_02	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMd010021SG/R3BuouxiongMd010021SG/CommonLayer/Drama_Sit_02.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMd010021SG/R3BuouxiongMd010021SG/CommonLayer/Drama_Sit_02.asset
Drama_Sit_02_End	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMd010021SG/R3BuouxiongMd010021SG/CommonLayer/Drama_Sit_02_End.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMd010021SG/R3BuouxiongMd010021SG/CommonLayer/Drama_Sit_02_End.asset
Drama_Sit_02_Loop	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMd010021SG/R3BuouxiongMd010021SG/CommonLayer/Drama_Sit_02_Loop.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R3BuouxiongMd010021SG/R3BuouxiongMd010021SG/CommonLayer/Drama_Sit_02_Loop.asset
