Name	Layer	ClipPath	RootMotionPath
Drama_Foundation_01_End	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Foundation_01_End.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Foundation_01_End.asset
Drama_Foundation_01_Loop	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Foundation_01_Loop.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Foundation_01_Loop.asset
Drama_Foundation_01_Start	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Foundation_01_Start.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Foundation_01_Start.asset
Drama_Foundation_02_End	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Foundation_02_End.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Foundation_02_End.asset
Drama_Foundation_02_Loop	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Foundation_02_Loop.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Foundation_02_Loop.asset
Drama_Foundation_02_Start	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Foundation_02_Start.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Foundation_02_Start.asset
Drama_Foundation_04	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Foundation_04.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Foundation_04.asset
Drama_Foundation_05	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Foundation_05.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Foundation_05.asset
Drama_Sit_01	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Sit_01.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Sit_01.asset
Drama_Stand_01	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Stand_01.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Stand_01.asset
Drama_Stand_02_End	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Stand_02_End.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Stand_02_End.asset
Drama_Stand_02_Loop	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Stand_02_Loop.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Stand_02_Loop.asset
Drama_Stand_02_Start	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Stand_02_Start.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Stand_02_Start.asset
Drama_Stand_03_End	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Stand_03_End.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Stand_03_End.asset
Drama_Stand_03_Loop	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Stand_03_Loop.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Stand_03_Loop.asset
Drama_Stand_03_Start	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Stand_03_Start.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Stand_03_Start.asset
Drama_Stand_04_End	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Stand_04_End.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Stand_04_End.asset
Drama_Stand_04_Loop	BaseLayer	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Stand_04_Loop.anim	Assets/Product/Role/DlcAnimation/BigWorld/Common/R4ShenweiMdCommonSG/R4ShenweiMdCommonSG/CommonLayer/Drama_Stand_04_Loop.asset
