TextId	ActorName	ActorTalk	Cv	Desc
1	卡列尼娜	欸，[PlayerName]，你也跑这儿来闲逛了？		
2	卡列尼娜	这座广场怎么样，感觉还不错吧？这可是我亲手设计的。		
3	卡列尼娜	哼，算你还有点眼光。		
4	卡列尼娜	当初为了通过商业理事会那帮家伙的审核，好多地方的设计反反复复修改了不知道多少遍，我都快被烦死了！		
5	卡列尼娜	不过，看在最终效果还不错的份上，之前的那些事我就不计较了。		
6	卡列尼娜	主要是和审核委员会的那群家伙拉扯了很长时间。		
7	卡列尼娜	我最初的设计图里，在这个喷泉底下、那边的广告牌后面、还有钟楼顶上！全都安排了隐藏式自动炮台！		
8	卡列尼娜	结果呢！他们说什么着“过度武装”、“不符合商业区特色”……就把我的方案，全——部——给否决了！简直岂有此理！		
9	卡列尼娜	明明有绝对的火力覆盖才能保证场地的安全嘛！真是白白浪费了我的天才构想。		
10	卡列尼娜	热闹？那是肯定的了！		
11	卡列尼娜	我设计的广场，吸引力还能差？看吧，以后这里绝对是人挤人！		
12	卡列尼娜	欸？这就走了啊……咳咳！我、我的意思是，去忙你的正事吧！		
13	卡列尼娜	你要是忙完了还有时间的话……呃……可以再回来转转。没别的意思！就是……想让你多看看这广场的细节罢了！		
14		设计真好。		
15		听说工程部队这次施工了很久？		
16		以后这里会更热闹。		
17		我该走了。		
