TextId	ActorName	ActorTalk	Cv	Desc
1	薇拉	万万没想到，刚执行完任务返回空中花园，就遇到你了。指·挥·官~		
2	薇拉	怎么？尼科拉没工夫听我汇报任务，派你来和我对接吗？		
3		只是恰好路过。		
4		我知道你是这班运输机。		
5		我还有任务，得先走了。		
6	薇拉	我就说嘛，这个船坞四通八达的，又是商业区附近，撞见谁都不奇怪，对吧？尤其是~指挥官这种行踪飘忽的人。		
7		难不成你是专程……		
8	薇拉	可别想多了，不过是上次的行动成果还在评估，新的任务还没发布下来，我来商业区放松一下罢了。		
9		你一个人来吗？		
10	薇拉	怎么突然好奇起我的行程了？难道你也处于难得的“待机状态”？		
11	薇拉	既然如此……这份余闲……有没有兴趣分我一半？陪我逛逛？		
12	薇拉	哦？你怎么知道？		
13		在运输班次表上看到了。		
14	薇拉	难得你有心，只不过，你专程在这边等我，总不会只是为了和我说两句闲话吧？		
15		商业区新开了些店，我觉得你会感兴趣。		
16	薇拉	呵，好啊，正好汇报完任务没什么事做，让我期待期待你挑店的品味。		
17	薇拉	要是没达到及格分，可是要做好被“惩罚”的准备哦，指·挥·官？		
18	薇拉	巧了，我也有任务需要汇报，看来没工夫和你闲叙了。下次再见了。		
