TextId	ActorName	ActorTalk	Cv	Desc
1	活动工作人员	您提供的信息都已经通过了系统认证，没有任何问题，现在已经为三位激活了活动体验的资格。	510003017	
2	活动工作人员	电子邀请函也在刚才传输到了您的终端，请凭借邀请函入场参与活动，预祝您本次体验愉快。	510003018	
3	露西亚	多谢。请问一下，邀请函的最后标注了一个地点，但并没有具体说明，这是......？	510003019	
4	活动工作人员	它是本次活动隐藏任务的重要信息，之后如果完成隐藏任务，还可以获得额外的奖品哦。	510003020	
5	露西亚	奖品……指挥官，不如我们就把这个带回去送给里吧？	510003021	
6	薇拉	呵，原来[PlayerName] 休假时会来这种地方消遣，还真是闲情逸致啊。	510003022	
7	薇拉	库洛洛咖啡......你倒是提醒我了，是个躲清净的好去处。	510003023	
8	薇拉	你们来的时候，没看到九龙食府门口围满了人吗？是我们队里那两个大天才的杰作。	510003024	
9	露西亚	……你指的是诺克提和21号吗？	510003025	
10	薇拉	哈——那两个家伙一直嚷嚷商业区翻新了，要过来看看，结果半路上因为“芒果冰淇淋和草莓冰淇淋哪个更好吃”打了起来。	510003026	
11	薇拉	打架的时候误伤了周边，把九龙食府的展示菜品全都打翻到了地上。	510003027	
12	薇拉	九龙食府要求照价赔偿，还必须让他们两个在那里洗一天盘子补偿精神损失。	510003028	
13	薇拉	这两个家伙连洗盘子的时候都还在吵架，我就直接走了，也算让他们俩长个记性，等营业结束再去接他们。	510003029	
14	露西亚	原来如此……库洛洛咖啡的营业时间和九龙食府基本一致，确实是个休息的好去处。	510003030	
15	薇拉	既然顺路，我没什么好拒绝的。不过，我对那种喧闹的活动没什么兴趣，你们想玩的话别算上我。	510003031	
16	薇拉	走吧，找个能清静的位置，让我打发下时间。	510003032	
17	[PlayerName]	感觉不错。		
18	[PlayerName]	我支持。		
19		我们来参加库洛洛咖啡的活动。		
20	[PlayerName]	遇到什么麻烦了？		
21	[PlayerName]	“躲清净”？		
22	[PlayerName]	所以他们……？		
23	[PlayerName]	......听起来是挺“惨烈”的。		
24		薇拉要和我们一起过去吗？		
