Name	Layer	MotionType	SpeedParameter	BlendParameter	AnimationMotionClip	BlendTreeMotionClips	BlendTreeMotionThresholds	BlendTreeMotionTimeScales
Walk	BaseLayer		-895785005		Assets/Product/Role/DlcAnimation/BigWorld/Common/R7LuxiyaMdCommonSG/R7LuxiyaMdCommonSG/CommonLayer/Walk.anim			
WalkStart	BaseLayer		-895785005		Assets/Product/Role/DlcAnimation/BigWorld/Common/R7LuxiyaMdCommonSG/R7LuxiyaMdCommonSG/CommonLayer/WalkStart.anim			
WalkEnd	BaseLayer	1	-895785005	846125279		['Assets/Product/Role/DlcAnimation/BigWorld/Common/R7LuxiyaMdCommonSG/R7LuxiyaMdCommonSG/CommonLayer/Stop_Walk_R.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R7LuxiyaMdCommonSG/R7LuxiyaMdCommonSG/CommonLayer/Stop_Walk_R.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R7LuxiyaMdCommonSG/R7LuxiyaMdCommonSG/CommonLayer/Stop_Walk_L.anim']	[-1.0, 0.0, 1.0]	[1.0, 1.0, 1.0]
RunStart	BaseLayer		-162882405		Assets/Product/Role/DlcAnimation/BigWorld/Common/R7LuxiyaMdCommonSG/R7LuxiyaMdCommonSG/CommonLayer/RunStart.anim			
RunStartEnd01	BaseLayer	1	-162882405	895008329		['Assets/Product/Role/DlcAnimation/BigWorld/Common/R7LuxiyaMdCommonSG/R7LuxiyaMdCommonSG/CommonLayer/RunStartEnd01_R.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R7LuxiyaMdCommonSG/R7LuxiyaMdCommonSG/CommonLayer/RunStartEnd01_R.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R7LuxiyaMdCommonSG/R7LuxiyaMdCommonSG/CommonLayer/RunStartEnd01_L.anim']	[-1.0, 0.0, 1.0]	[1.0, 1.0, 1.0]
Run	BaseLayer	1	-162882405	1391530821		['Assets/Product/Role/DlcAnimation/BigWorld/Common/R7LuxiyaMdCommonSG/R7LuxiyaMdCommonSG/CommonLayer/RunLeanL.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R7LuxiyaMdCommonSG/R7LuxiyaMdCommonSG/CommonLayer/Run.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R7LuxiyaMdCommonSG/R7LuxiyaMdCommonSG/CommonLayer/RunLeanR.anim']	[-20.0, 0.0, 20.0]	[1.0, 1.0, 1.0]
Stop	BaseLayer	1	-162882405	1601072779		['Assets/Product/Role/DlcAnimation/BigWorld/Common/R7LuxiyaMdCommonSG/R7LuxiyaMdCommonSG/CommonLayer/Stop_Run_R.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R7LuxiyaMdCommonSG/R7LuxiyaMdCommonSG/CommonLayer/Stop_Run_R.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R7LuxiyaMdCommonSG/R7LuxiyaMdCommonSG/CommonLayer/Stop_Run_L.anim']	[-1.0, 0.0, 1.0]	[1.0, 1.0, 1.0]
SprintStart	BaseLayer				Assets/Product/Role/DlcAnimation/BigWorld/Common/R7LuxiyaMdCommonSG/R7LuxiyaMdCommonSG/CommonLayer/RunStart.anim			
Sprint	BaseLayer	1		-1977151796		['Assets/Product/Role/DlcAnimation/BigWorld/Common/R7LuxiyaMdCommonSG/R7LuxiyaMdCommonSG/CommonLayer/SprintLeanL.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R7LuxiyaMdCommonSG/R7LuxiyaMdCommonSG/CommonLayer/Sprint.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R7LuxiyaMdCommonSG/R7LuxiyaMdCommonSG/CommonLayer/SprintLeanR.anim']	[-20.0, 0.0, 20.0]	[1.0, 1.0, 1.0]
SprintStop	BaseLayer	1		-1989393594		['Assets/Product/Role/DlcAnimation/BigWorld/Common/R7LuxiyaMdCommonSG/R7LuxiyaMdCommonSG/CommonLayer/Stop_Sprint_R.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R7LuxiyaMdCommonSG/R7LuxiyaMdCommonSG/CommonLayer/Stop_Sprint_R.anim', 'Assets/Product/Role/DlcAnimation/BigWorld/Common/R7LuxiyaMdCommonSG/R7LuxiyaMdCommonSG/CommonLayer/Stop_Sprint_L.anim']	[-1.0, 0.0, 1.0]	[1.0, 1.0, 1.0]
