Id	ModelPath	LowModelPath	ControllerPath
Com1Chieff_handcuffMd01001	Assets/Product/Role/DlcEquipPrefab/Com1Chieff_handcuffMd01001.prefab		
Com1Chiefm_handcuffMd01001	Assets/Product/Role/DlcEquipPrefab/Com1Chiefm_handcuffMd01001.prefab		
E2AegisMd020011	Assets/Product/Role/DlcEquipPrefab/E2AegisMd020011.prefab		
E2AxeMd020011	Assets/Product/Role/DlcEquipPrefab/E2AxeMd020011.prefab		
E2BladeMd020011	Assets/Product/Role/DlcEquipPrefab/E2BladeMd020011.prefab		
E2DragonlanceMd010011	Assets/Product/Role/DlcEquipPrefab/E2DragonlanceMd010011.prefab		
E2DragonlanceMd020011	Assets/Product/Role/DlcEquipPrefab/E2DragonlanceMd020011.prefab		
E2GreatswordMd010011RM	Assets/Product/Role/DlcEquipPrefab/E2GreatswordMd010011RM.prefab		
E2GreatswordMd020011RM	Assets/Product/Role/DlcEquipPrefab/E2GreatswordMd020011RM.prefab		
E3AegisMd010011	Assets/Product/Role/DlcEquipPrefab/E3AegisMd010011.prefab		Assets/Product/Role/DlcEquipAnimation/E3AegisMd010011/E3AegisMd010011/E3AegisMd010011.controller
E3AlphaMd010011	Assets/Product/Role/DlcEquipPrefab/E3AlphaMd010011.prefab		Assets/Product/Role/DlcEquipAnimation/E3AlphaMd010011/E3AlphaMd010011/E3AlphaMd010011.controller
E3AxeMd010011	Assets/Product/Role/DlcEquipPrefab/E3AxeMd010011.prefab		Assets/Product/Role/DlcEquipAnimation/E3AxeMd010011/E3AxeMd010011/E3AxeMd010011.controller
E3BladeMd010011	Assets/Product/Role/DlcEquipPrefab/E3BladeMd010011.prefab		Assets/Product/Role/DlcEquipAnimation/E3BladeMd010011/E3BladeMd010011/E3BladeMd010011.controller
E3BladespearMd010011LRM	Assets/Product/Role/DlcEquipPrefab/E3BladespearMd010011LRM.prefab		Assets/Product/Role/DlcEquipAnimation/E3BladespearMd010011LRM/E3BladespearMd010011LRM/E3BladespearMd010011LRM.controller
E3BladespearMd010011RRM	Assets/Product/Role/DlcEquipPrefab/E3BladespearMd010011RRM.prefab		Assets/Product/Role/DlcEquipAnimation/E3BladespearMd010011RRM/E3BladespearMd010011RRM/E3BladespearMd010011RRM.controller
E3BladespearMd020011LRM	Assets/Product/Role/DlcEquipPrefab/E3BladespearMd020011LRM.prefab		Assets/Product/Role/DlcEquipAnimation/E3BladespearMd020011LRM/E3BladespearMd020011LRM/E3BladespearMd020011LRM.controller
E3BladespearMd020011RM	Assets/Product/Role/DlcEquipPrefab/E3BladespearMd020011RM.prefab		
E3BladespearMd020011RRM	Assets/Product/Role/DlcEquipPrefab/E3BladespearMd020011RRM.prefab		Assets/Product/Role/DlcEquipAnimation/E3BladespearMd020011RRM/E3BladespearMd020011RRM/E3BladespearMd020011RRM.controller
E3BowMd080001P04	Assets/Product/Role/DlcEquipPrefab/E3BowMd080001P04.prefab		
E3BrollyMd010011RM	Assets/Product/Role/DlcEquipPrefab/E3BrollyMd010011RM.prefab		Assets/Product/Role/DlcEquipAnimation/E3BrollyMd010011RM/E3BrollyMd010011RM/E3BrollyMd010011RM.controller
E3BrollyMd040011RM	Assets/Product/Role/DlcEquipPrefab/E3BrollyMd040011RM.prefab		Assets/Product/Role/DlcEquipAnimation/E3BrollyMd040011RM/E3BrollyMd040011RM/E3BrollyMd040011RM.controller
E3ChainswordMd010011RM	Assets/Product/Role/DlcEquipPrefab/E3ChainswordMd010011RM.prefab		Assets/Product/Role/DlcEquipAnimation/E3ChainswordMd010011RM/E3ChainswordMd010011RM/E3ChainswordMd010011RM.controller
E3DachiMd010011	Assets/Product/Role/DlcEquipPrefab/E3DachiMd010011.prefab		
E3DachiMd010011P01RM	Assets/Product/Role/DlcEquipPrefab/E3DachiMd010011P01RM.prefab		
E3DachiMd010011P02RM	Assets/Product/Role/DlcEquipPrefab/E3DachiMd010011P02RM.prefab		
E3DachiMd010011P03RM	Assets/Product/Role/DlcEquipPrefab/E3DachiMd010011P03RM.prefab		
E3DachiMd010011P04RM	Assets/Product/Role/DlcEquipPrefab/E3DachiMd010011P04RM.prefab		
E3DachiMd010011RM	Assets/Product/Role/DlcEquipPrefab/E3DachiMd010011RM.prefab		
E3DragonlanceMd010011P01RM	Assets/Product/Role/DlcEquipPrefab/E3DragonlanceMd010011P01RM.prefab		
E3DragonlanceMd010011P02RM	Assets/Product/Role/DlcEquipPrefab/E3DragonlanceMd010011P02RM.prefab		
E3DragonlanceMd010011P03RM	Assets/Product/Role/DlcEquipPrefab/E3DragonlanceMd010011P03RM.prefab		
E3DragonlanceMd010011P04RM	Assets/Product/Role/DlcEquipPrefab/E3DragonlanceMd010011P04RM.prefab		
E3DragonlanceMd010011RM	Assets/Product/Role/DlcEquipPrefab/E3DragonlanceMd010011RM.prefab		Assets/Product/Role/DlcEquipAnimation/E3DragonlanceMd010011RM/E3DragonlanceMd010011RM/E3DragonlanceMd010011RM.controller
E3GreatswordMd010011P01RM	Assets/Product/Role/DlcEquipPrefab/E3GreatswordMd010011P01RM.prefab		
E3GreatswordMd010011P02RM	Assets/Product/Role/DlcEquipPrefab/E3GreatswordMd010011P02RM.prefab		
E3GreatswordMd010011P03RM	Assets/Product/Role/DlcEquipPrefab/E3GreatswordMd010011P03RM.prefab		
E3GreatswordMd010011P04RM	Assets/Product/Role/DlcEquipPrefab/E3GreatswordMd010011P04RM.prefab		
E3GreatswordMd010011RM	Assets/Product/Role/DlcEquipPrefab/E3GreatswordMd010011RM.prefab		
E3GreatswordMd030011RM	Assets/Product/Role/DlcEquipPrefab/E3GreatswordMd030011RM.prefab		
E3KeywandMd010011P01RM	Assets/Product/Role/DlcEquipPrefab/E3KeywandMd010011P01RM.prefab		
E3KeywandMd010011P02RM	Assets/Product/Role/DlcEquipPrefab/E3KeywandMd010011P02RM.prefab		
E3KeywandMd010011P03RM	Assets/Product/Role/DlcEquipPrefab/E3KeywandMd010011P03RM.prefab		
E3KeywandMd010011P04RM	Assets/Product/Role/DlcEquipPrefab/E3KeywandMd010011P04RM.prefab		
E3KeywandMd010011RM	Assets/Product/Role/DlcEquipPrefab/E3KeywandMd010011RM.prefab		
E3KeywandMd020011RM	Assets/Product/Role/DlcEquipPrefab/E3KeywandMd020011RM.prefab		
E3KeywandMd030011RM	Assets/Product/Role/DlcEquipPrefab/E3KeywandMd030011RM.prefab		
E3KeywandMd040011RM	Assets/Product/Role/DlcEquipPrefab/E3KeywandMd040011RM.prefab		
E3KodachiMd010011	Assets/Product/Role/DlcEquipPrefab/E3KodachiMd010011.prefab		
E3KodachiMd010011P01RM	Assets/Product/Role/DlcEquipPrefab/E3KodachiMd010011P01RM.prefab		
E3KodachiMd010011P02RM	Assets/Product/Role/DlcEquipPrefab/E3KodachiMd010011P02RM.prefab		
E3KodachiMd010011P03RM	Assets/Product/Role/DlcEquipPrefab/E3KodachiMd010011P03RM.prefab		
E3KodachiMd010011P04RM	Assets/Product/Role/DlcEquipPrefab/E3KodachiMd010011P04RM.prefab		
E3KodachiMd010011RM	Assets/Product/Role/DlcEquipPrefab/E3KodachiMd010011RM.prefab		
E3LotusbladeMd010011P04RM	Assets/Product/Role/DlcEquipPrefab/E3LotusbladeMd010011P04RM.prefab		Assets/Product/Role/DlcEquipAnimation/E3LotusbladeMd010011P04RM/E3LotusbladeMd010011P04RM/E3LotusbladeMd010011P04RM.controller
E3RevolverMd010011RM	Assets/Product/Role/DlcEquipPrefab/E3RevolverMd010011RM.prefab		
E3RevolverMd030011RM	Assets/Product/Role/DlcEquipPrefab/E3RevolverMd030011RM.prefab		
E3SabreMd010011RM	Assets/Product/Role/DlcEquipPrefab/E3SabreMd010011RM.prefab		
E3SabreMd030011RM	Assets/Product/Role/DlcEquipPrefab/E3SabreMd030011RM.prefab		
E3SleeveMd070011	Assets/Product/Role/DlcEquipPrefab/E3SleeveMd070011.prefab		
E3SwordMd070011	Assets/Product/Role/DlcEquipPrefab/E3SwordMd070011.prefab		
E3TachiaMd010011LowRM	Assets/Product/Role/DlcEquipPrefab/E3TachiaMd010011LowRM.prefab		
E3TachiaMd010011P01RM	Assets/Product/Role/DlcEquipPrefab/E3TachiaMd010011P01RM.prefab		
E3TachiaMd010011P02RM	Assets/Product/Role/DlcEquipPrefab/E3TachiaMd010011P02RM.prefab		
E3TachiaMd010011P03RM	Assets/Product/Role/DlcEquipPrefab/E3TachiaMd010011P03RM.prefab		
E3TachiaMd010011P04RM	Assets/Product/Role/DlcEquipPrefab/E3TachiaMd010011P04RM.prefab		Assets/Product/Role/DlcEquipAnimation/E3TachiaMd010011P04RM/E3TachiaMd010011P04RM/E3TachiaMd010011P04RM.controller
E3TachiaMd010011RM	Assets/Product/Role/DlcEquipPrefab/E3TachiaMd010011RM.prefab		
E3TachiaMd020011RM	Assets/Product/Role/DlcEquipPrefab/E3TachiaMd020011RM.prefab		
E3TachiaMd030011RM	Assets/Product/Role/DlcEquipPrefab/E3TachiaMd030011RM.prefab		
E3TachiaMd040011RM	Assets/Product/Role/DlcEquipPrefab/E3TachiaMd040011RM.prefab		
E3TachiaMd050011RM	Assets/Product/Role/DlcEquipPrefab/E3TachiaMd050011RM.prefab		
E3TachibMd010011LowRM	Assets/Product/Role/DlcEquipPrefab/E3TachibMd010011LowRM.prefab		
E3TachibMd010011RM	Assets/Product/Role/DlcEquipPrefab/E3TachibMd010011RM.prefab		
E3TachibMd020011RM	Assets/Product/Role/DlcEquipPrefab/E3TachibMd020011RM.prefab		
E3TachibMd030011RM	Assets/Product/Role/DlcEquipPrefab/E3TachibMd030011RM.prefab		
E3TachibMd050011RM	Assets/Product/Role/DlcEquipPrefab/E3TachibMd050011RM.prefab		
E3WandMd010011P04RM	Assets/Product/Role/DlcEquipPrefab/E3WandMd010011P04RM.prefab		Assets/Product/Role/DlcEquipAnimation/E3WandMd010011P04RM/E3WandMd010011P04RM/E3WandMd010011P04RM.controller
Mb1JueanhtDroneMd010001	Assets/Product/Role/DlcEquipPrefab/Mb1JueanhtDroneMd010001.prefab		Assets/Product/Role/DlcEquipAnimation/Mb1JueanhtDroneMd010001/Mb1JueanhtDroneMd010001/Mb1JueanhtDroneMd010001.controller
Mb1JueanhtMissleaMd010001	Assets/Product/Role/DlcEquipPrefab/Mb1JueanhtMissleaMd010001.prefab		Assets/Product/Role/DlcEquipAnimation/Mb1JueanhtMissleaMd010001/Mb1JueanhtMissleaMd010001/Mb1JueanhtMissleaMd010001.controller
Mb1JueanhtMisslebMd010001	Assets/Product/Role/DlcEquipPrefab/Mb1JueanhtMisslebMd010001.prefab		Assets/Product/Role/DlcEquipAnimation/Mb1JueanhtMisslebMd010001/Mb1JueanhtMisslebMd010001/Mb1JueanhtMisslebMd010001.controller
Me1ZhihuiguanMd10001gun	Assets/Product/Role/DlcEquipPrefab/Me1ZhihuiguanMd10001gun.prefab		
QRShotgunMd010011DLC	Assets/Product/Role/DlcEquipPrefab/QRShotgunMd010011DLC.prefab		
S1BiankaMd010031RM	Assets/Product/Role/DlcEquipPrefab/S1BiankaMd010031RM.prefab		Assets/Product/Role/DlcEquipAnimation/S1BiankaMd010031RM/S1BiankaMd010031RM/S1BiankaMd010031RM.controller
S1LuxiyaMd010011RM	Assets/Product/Role/DlcEquipPrefab/S1LuxiyaMd010011RM.prefab		Assets/Product/Role/DlcEquipAnimation/S1LuxiyaMd010011RM/S1LuxiyaMd010011RM/S1LuxiyaMd010011RM.controller
S1R2KalieninaMd010031RM	Assets/Product/Role/DlcEquipPrefab/S1R2KalieninaMd010031RM.prefab		Assets/Product/Role/DlcEquipAnimation/S1R2KalieninaMd010031RM/S1R2KalieninaMd010031RM/S1R2KalieninaMd010031RM.controller
S1SpearMd010011RM	Assets/Product/Role/DlcEquipPrefab/S1SpearMd010011RM.prefab		Assets/Product/Role/DlcEquipAnimation/S1SpearMd010011RM/S1SpearMd010011RM/S1SpearMd010011RM.controller
S1SpearMd010031RM	Assets/Product/Role/DlcEquipPrefab/S1SpearMd010031RM.prefab		Assets/Product/Role/DlcEquipAnimation/S1SpearMd010031RM/S1SpearMd010031RM/S1SpearMd010031RM.controller
S1SpearR2KalieninaMd010001	Assets/Product/Role/DlcEquipPrefab/S1SpearR2KalieninaMd010001.prefab		Assets/Product/Role/DlcEquipAnimation/S1SpearR2KalieninaMd010001/S1SpearR2KalieninaMd010001/S1SpearR2KalieninaMd010001.controller
SG_Gen_JH_ScreenRM	Assets/Product/Role/DlcEquipPrefab/SG_Gen_JH_ScreenRM.prefab		
SG_Mb1ZakaidevilMd010001_Weapon01	Assets/Product/Role/DlcEquipPrefab/SG_Mb1ZakaidevilMd010001_Weapon01.prefab		
SG_MS_JH_Flower02RM	Assets/Product/Role/DlcEquipPrefab/SG_MS_JH_Flower02RM.prefab		
SG_Pla_JH_013Handbook03RM	Assets/Product/Role/DlcEquipPrefab/SG_Pla_JH_013Handbook03RM.prefab		
SG_TR_WG_Book01aRM	Assets/Product/Role/DlcEquipPrefab/SG_TR_WG_Book01aRM.prefab		
SG_TR_WG_Book01RM	Assets/Product/Role/DlcEquipPrefab/SG_TR_WG_Book01RM.prefab		
SG_TR_WG_Book02aRM	Assets/Product/Role/DlcEquipPrefab/SG_TR_WG_Book02aRM.prefab		
SG_TR_WG_Book02RM	Assets/Product/Role/DlcEquipPrefab/SG_TR_WG_Book02RM.prefab		
SG_TR_WG_Book03aRM	Assets/Product/Role/DlcEquipPrefab/SG_TR_WG_Book03aRM.prefab		
SG_TR_WG_Book03RM	Assets/Product/Role/DlcEquipPrefab/SG_TR_WG_Book03RM.prefab		
