ChapterId	FashionIds	IsWeakInterput
101041000	[6110102, 6210101]	
101041001	[6210101, 6310101]	
101041002	[6110102, 6210101, 6310101, 6510101]	
101041003	[6210101, 6610101]	
101041004	[6210101]	
101041005	[6002701, 6110101, 6110102, 6210101, 6310101]	
101041006	[6210101]	
101041007	[6210101, 6410101]	
101041008	[6002701, 6110102, 6110302, 6210201, 6610101]	
101041009	[6810301, 6910101]	
101041010	[6000101, 6210101, 6410301]	
101041011	[6000201, 6210101]	
101041012	[6210101, 6210301, 6210401]	
101041013	[6000801, 6210401, 6210402]	
101041014	[6000201, 6000301, 6001202, 6001402, 6210302, 6610101]	
101041015	[6001602]	
101041016	[6001702, 6110302, 6210402, 6310101]	
101041017	[6000101, 6000603, 6001402, 6001802, 6110302, 6210402, 6310101]	
101041018	[6002101]	
101041019	[6000802, 6001702, 6002303]	
101041020	[6000301, 6001402, 6002502, 6002504, 6110301, 6210401, 6310101]	
101041021	[6002701, 6110102]	
101041022	[6001301, 6002201, 6002202, 6002802]	
101041023	[6002901, 6210101, 6210302, 6210402]	
101041024	[6000301, 6003102]	
101041025	[6002702, 6003302, 6210402, 6310102]	
101041026	[6003402, 6210101]	
101041027	[6003602, 6210102, 6810101, 6810102, 6810103]	
101041028	[6000701, 6000702, 6001202, 6001402, 6002002, 6002702, 6003702, 6210402, 6310102]	
101041029	[6003802, 6210402, 6310101]	
101041030	[6000802, 6001702, 6002702, 6002902, 6003402, 6003902, 6210402]	
101041031	[6004302, 6510101]	
101041032	[6003901, 6004502]	
101041033	[6001802, 6002702, 6003902, 6004302, 6004602]	
101041034	[6002801, 6004801]	
101041035	[6002504, 6005301]	
101041036	[6001701, 6002701, 6002901, 6003701, 6003901, 6004301, 6210401, 6310101]	
101041037	[6005602]	
101041038	[6003801, 6005701]	
101041039	[6002402, 6005802]	
101041040	[6005901]	
101042006	[6004002, 6004004, 6210402]	
101042007	[6004102, 6310101]	
101042008	[6000502, 6001202, 6004202]	
101042009	[6004402]	
101042010	[6004702]	
101042011	[6004901]	
101042012	[6001602, 6005002, 6005003]	
101042013	[6005401, 6005404]	
101042014	[6005502]	
101042015	[6006002]	
103142000	[6210301]	
103142001	[6000301, 6000403, 6110301, 6210401, 6310101]	
103142002	[6000501]	
103142003	[6000603, 6000701, 6210401]	
103142004	[6000201, 6000603, 6001202, 6610101]	
103142005	[6000301, 6001502]	
103142101	[6210301, 6210401]	
103142102	[6510304]	
103142104	[6110101, 6210202]	
103142105	[6210401]	
103522000	[6002001]	
103522001	[6002104, 6002201]	
103522002	[6002401]	
103522003	[6000302, 6002602]	
103522004	[6002002, 6003002]	
103522005	[6001602, 6003102, 6003202, 6003204]	
