StageId	ResIdList
10100102	[1002]
10130130	[1005]
10130167	[1005]
10130170	[1005]
10130183	[1005]
10130186	[1005]
15010118	[1040]
15010201	[1046]
15010212	[1046]
15020118	[1041]
15030109	[1042]
15010512	[1043]
15010609	[1044]
15010613	[1044]
10140111	[1006]
10150117	[1007]
10170124	[1009]
15020125	[1027]
10180118	[1010]
10190118	[1011]
10190120	[1011]
10200104	[1012]
10200114	[1012]
10210114	[1013]
10210122	[1013]
10210123	[1013]
10220121	[1014]
10230111	[1015]
10240115	[1016]
10250113	[1017]
10250117	[1017]
10250118	[1017]
10250506	[1017]
10260124	[1018]
10270128	[1019]
10280100	[1020]
10280133	[1020]
10290117	[1021]
10300104	[1022]
10300125	[1022]
10310122	[1023]
10320109	[1024]
10320416	[1024]
10320123	[1024]
10350123	[1049]
10350136	[1049]
10360123	[1053]
11140105	[1043]
11160110	[1008]
12180305	[1028]
12190305	[1011]
12200305	[1012]
12210205	[1030]
12210305	[1013]
30161393	[1028, 2005]
30161325	[1011]
30161327	[1012]
30161328	[1030]
30161329	[1013]
30161334	[1032]
30100177	[1028]
30150277	[1028]
30150278	[1011]
30150280	[1030]
30150294	[1013]
15020222	[1028]
15020223	[1028]
15020318	[1029]
15020412	[1030]
15020517	[1031]
15020608	[1032]
15020615	[1032]
15020817	[1034]
15021416	[1039]
15021718	[1057]
30006737	[1046]
30006738	[1046]
30006739	[1046]
30006740	[1046]
30006741	[1046]
15010421	[1047]
30202674	[1013]
30202675	[1028]
30202676	[1011]
30202681	[1013]
30202682	[1028]
30202683	[1011]
30161289	[1028]
30161290	[1011]
30161292	[1012]
30161293	[1013]
30161470	[1028]
30161472	[1011]
30161473	[1012]
30062853	[1013]
30062856	[1032]
30062890	[1013]
30062894	[1013]
30062895	[1013]
30162838	[1013]
30162841	[1011]
30162880	[1013]
30162883	[1011]
30163088	[2001]
30165191	[1028]
30165205	[1028]
21000224	[1028]
21000244	[1011]
30110259	[1013]
30110260	[1013]
30110263	[1011]
30110264	[1011]
30110265	[1028]
30110266	[1028]
30110271	[1028]
30110272	[1028]
30110273	[1028]
30110274	[1028]
30162537	[1030]
30162538	[1030]
30062217	[1013]
30062267	[1013]
30163353	[1028]
30063038	[1011]
30163324	[1028]
30163345	[2010]
15021400	[1039]
15021500	[1051]
