Id	EffectType	Desc	BubbleDesc
1	1	已获得:{0}	<size=20><color=#9EA0A2>(已获得:{0})</color></size>
2	2	已获得:{0}	\n<size=20><color=#9EA0A2>(已获得:{0})</color></size>
3	4	当前加成:{0}	<size=20><color=#9EA0A2>(当前加成:{0})</color></size>
4	8	当前最高:{0}星	<size=20><color=#9EA0A2>(当前最高:{0}星)</color></size>
5	12	已获得:{0}	<size=20><color=#9EA0A2>(已获得:{0})</color></size>
6	13	已获得:{0}	<size=20><color=#9EA0A2>(已获得:{0})</color></size>
7	14	当前加成:×{0}	\n<size=20><color=#9EA0A2>(当前加成:×{0})</color></size>
8	16	已累计:×{0}	\n<size=20><color=#9EA0A2>(已累计:×{0})</color></size>
9	17	已累计:×{0}	<size=20><color=#9EA0A2>(已累计:×{0})</color></size>
10	19	已累计:×{0}	<size=20><color=#9EA0A2>(已累计:×{0})</color></size>
11	20	已获得:{0}	\n<size=20><color=#9EA0A2>(已获得:{0})</color></size>
12	22	当前累计:×{0}	<size=20><color=#9EA0A2>(当前累计:×{0})</color></size>
13	27	已消耗:{0}	<size=20><color=#9EA0A2>(已消耗:{0})</color></size>
14	28	已获得:{0}	\n<size=20><color=#9EA0A2>(已获得:{0})</color></size>
15	29	已获得:{0}	\n<size=20><color=#9EA0A2>(已获得:{0})</color></size>
16	32	已触发:{0}次	\n<size=20><color=#9EA0A2>(已触发:{0}次)</color></size>
17	33	已触发:{0}次	\n<size=20><color=#9EA0A2>(已触发:{0}次)</color></size>
18	34	已累计:×{0}	\n<size=20><color=#9EA0A2>(已累计:×{0})</color></size>
19	35	已触发:{0}次	\n<size=20><color=#9EA0A2>(已触发:{0}次)</color></size>
20	36	已获得:{0}	\n<size=20><color=#9EA0A2>(已获得:{0})</color></size>
21	37	已累计:{0}	<size=20><color=#9EA0A2>(已累计:{0})</color></size>
22	38	已获得:{0}	<size=20><color=#9EA0A2>(已获得:{0})</color></size>
23	37	已累计:×{0}	\n<size=20><color=#9EA0A2>(已累计:×{0})</color></size>
