Id	SceneUrl	ModelUrl	LensX	LensY	LensDistance	BigMapLensX	BigMapLensY	BigMapDistance	MapOffsetX	MapOffsetY	CueTag	Desc
1001	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D01.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit01.prefab	-966.82	-452.3099	63.0	-807.63	-83.43	168.0			A	
10002	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D01.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit01.prefab	-966.82	-452.3099	63.0	-807.63	-83.43	168.0			A	
10003	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D01.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit01.prefab	-966.82	-452.3099	63.0	-807.63	-83.43	168.0			A	
10004	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D02.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit02.prefab	-966.82	-452.3099	63.0	-807.63	-83.43	168.0			A	
10005	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D02.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit02.prefab	-966.82	-452.3099	63.0	-807.63	-83.43	168.0			A	
10006	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D03.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit03.prefab	-966.82	-452.3099	63.0	-807.63	-83.43	168.0			A	
10007	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D03.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit03.prefab	-966.82	-452.3099	63.0	-807.63	-83.43	168.0			A	
11001	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D01.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit01.prefab	-247.8999	-71.8	63.0	-247.8999	1.25	168.0	781.0	313.0	A	位于新苏菲亚城边缘的中型港口，通称“旧日港口”。自格林瓦诺斯托克防线崩溃后，就和无数废弃货轮一起静默至今。
11002	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D01.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit01.prefab	-1082.9	-352.2	63.0	-1082.9	27.2999	168.0			A	冰海和雪原交接的区域，地表覆有薄冰，通行不便，需要有守林人和载具的协助才能快速通过此区。
11003	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D02.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit02.prefab	-395.6	-317.3999	63.0	-395.6	113.3	168.0	504.0	90.0	A	冰海附近的森林地带，虽然帕弥什浓度较低，但由于地表覆有薄冰，动物无法在此繁衍生息，无法成为稳定的食物来源地。
21000	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D01.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit01.prefab	142.5	-585.4	63.0	142.5	77.0	168.0	1088.0	-179.0	A	旧日港口的东部区域，水深千尺，海面常有滔天巨浪翻涌。经常有人在这一带目睹机械仿生角鲸游动的踪迹。
22000	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D01.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit01.prefab	-432.1	-658.2	63.0	-432.1	-658.2	168.0	483.0	-364.0	A	地势平坦，感染体较少的雪原区域。土质比较松软，除了适合扎营之外，也很适合在开拓初期作为农田使用。
23000	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D02.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit02.prefab	64.5999	-719.2	63.0	64.5999	-719.2	168.0	681.0	-611.0	A	新苏菲亚城附近规模最大的雪林，栖息着不少幸存的极地生物。因此在其中行动需要尤为谨慎，以免踏入凶猛野兽的活动区。
24000	Assets/Product/Ui/Scene3DPrefab/UiBiancaTheatre4Recruit3D02.prefab	Assets/Product/Ui/UiModel/UiBiancaTheatre4/UiBiancaTheatre4Recruit02.prefab	-574.5	-836.4	63.0	-574.5	-836.4	168.0	252.0	-546.0	A	
