Id	Name	IconRes	BgRes
1	血源伤害	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon01.png	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon01.png
2	灵源伤害	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon02.png	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon02.png
3	圣源伤害	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon03.png	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon03.png
4	护盾强度	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon05.png	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon05.png
5	回复效率	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon04.png	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon04.png
6	祈死狂徒	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon06.png	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon06.png
7	厄难节拍	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon07.png	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon07.png
8	无瑕沐血	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon08.png	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon08.png
9	超越死境	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon09.png	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon09.png
10	赌命戏法	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon10.png	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon10.png
11	狂飙开幕	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon11.png	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon11.png
12	狩亡猎手	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon12.png	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon12.png
13	烬土百技	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon13.png	Assets/Product/Texture/Image/UiTheatre5/UiTheatre5BattleShopTagIcon13.png
