Id	Group	Condition	StoryTitle	StoryDesc	StoryId	StoryIcon
1001	1	1020871	启示录	正是在今天，人类掀开了夺回黑夜的史诗篇章。	RG01000BA	Assets/Product/Texture/Image/BgCg/Cg5801_07.jpg
1002	1	1020872	震怒之日	不愿在圣堂为奴，只愿在地狱称王。	RG01000EA	Assets/Product/Texture/Image/BgCg/Cg5701_26.jpg
2001	2	1020873	战争骑士	复仇者为仇人所害，颓然倒在了炽烈的大地上。	RG01001BA	Assets/Product/Texture/Image/BgStory/Bgstory139.png
2002	2	1020874	死亡巡礼	血契者，你又是为了什么而卷入这场战争？	RG01002BA	Assets/Product/Texture/Image/BgStory/Bgstory317.png
2003	2	1020875	余烬复燃	牛仔们迈出脚步，奔向了最需要勇敢和善良的地方。	RG01003BA	Assets/Product/Texture/Image/BgStory/BgStory753.jpg
2004	2	1020876	绝命通缉	到街垒去，准备战斗！	RG01004BA	Assets/Product/Texture/Image/BgStory/BgStory712.jpg
2005	2	1020877	要塞死斗	三十年前的奇迹跨越时间，再一次降临到人子身边。	RG01005BA	Assets/Product/Texture/Image/BgStory/BgStory49.jpg
2006	2	1020878	熔铸脊梁	对那些需要战争的人来说，战争是正义的。对那些失去一切希望的人来说，战争是合理的。	RG01006BA	Assets/Product/Texture/Image/BgCg/Cg5701_23.jpg
3001	3	1020879	死亡冠冕	她明白，追逐苦刑的日子回来了。	RG01007BA	Assets/Product/Texture/Image/BgStory/BgStory603.jpg
3002	3	1020880	环城之河	搭列车而来的寻仇者穿越阿格龙河，抵达烬土边疆之下的地狱。	RG01008BA	Assets/Product/Texture/Image/BgStory/Bgstory457.jpg
3003	3	1020881	猩红潮水	有设想过吗，死亡的背面是什么？	RG01008EA	Assets/Product/Texture/Image/BgStory/Bgstory531.jpg
3004	3	1020882	弱火之下	那时，通红的太阳落下了天际线，被她绝不肯阖上的双目收入其中。	RG01009BA	Assets/Product/Texture/Image/BgStory/BgStory749.jpg
3005	3	1020883	生死律法	她意识到生死律法就是一趟环绕的列车，首尾相连。	RG01010BA	Assets/Product/Texture/Image/BgStory/Bgstory415.jpg
3006	3	1020884	命运迷宫	大家都在追寻的那种东西……为什么我一直看不清？	RG01011BA	Assets/Product/Texture/Image/BgStory/BgStory833.jpg
3007	3	1020885	永生苦刑	我要让尘归尘，土归土。我要让人间的归人间，地狱的归地狱。让每一个魂灵都死得像样。	RG01011EA	Assets/Product/Texture/Image/BgCg/Cg5701_24.jpg
4001	4	1020886	灾变之日	多年之后，一位沉默的“瘟疫医生”走到了道路中央。	RG01101BA	Assets/Product/Texture/Image/BgStory/BgStory634.jpg
4002	4	1020887	瘟疫骑士	他获得了新的名字，走上了为世间祛毒的道路。	RG01102BA	Assets/Product/Texture/Image/BgCg/Cg5801_08.jpg
4003	4	1020888	葬生林	血契者，你从长梦里看到了什么？	RG01103BA	Assets/Product/Texture/Image/BgStory/Bgstory536.jpg
4004	4	1020889	世界的病灶	准备好回想起一切了吗？	RG01104BA	Assets/Product/Texture/Image/BgStory/Bgstory426.jpg
4005	4	1020890	茧房	孩子回到了孕育他降生的地方。	RG01105BA	Assets/Product/Texture/Image/BgCg/Cg5801_09.jpg
4006	4	1020891	予你的礼物	生存本身即为最漫长的一场瘟疫。	RG01106BA	Assets/Product/Texture/Image/BgCg/Cg5701_25.jpg
5001	5	1020892	瓶中雪	她走出幸运38娱乐城的那一天，也是一个平安夜。	RG01201BA	Assets/Product/Texture/Image/BgStory/BgStory1162.jpg
5002	5	1020893	未完长局	只要筹码还放在牌桌上，对赌就没有结束。	RG01202BA	Assets/Product/Texture/Image/BgCg/Cg5901_15.jpg
5003	5	1020894	循念而行	埃莉诺，别让你的能力配不上你的野心。	RG01203BA	Assets/Product/Texture/Image/BgStory/BgStory1196.jpg
5004	5	1020895	为欲加冕	一切……都要臣服于我的欲望之下。	RG01204BA	Assets/Product/Texture/Image/BgCg/Cg5901_17.jpg
5005	5	1020896	冀望终点·上	所有欲念都如莫比乌斯一般在此周而复始地循环。	RG01205BA	Assets/Product/Texture/Image/BgStory/BgStory1020.jpg
5006	5	1020897	冀望终点·下	所有欲念都如莫比乌斯一般在此周而复始地循环。	RG01205EA	Assets/Product/Texture/Image/BgStory/Bgstory43.jpg
5007	5	1020898	谨遵我谕	我会完成这个赌约，即使你永远不明白这场交易意味着什么。	RG01206BA	Assets/Product/Texture/Image/BgStory/BgStory1019.jpg
1003	1	1020899	血锈宣告	灰鸦踏着尸骸铺就的阶梯，将自由钉入永恒白昼的裂痕。	RG01301BA	Assets/Product/Texture/Image/BgStory/BgStory547.jpg
1004	1	1020900	永不休止	当祝酒的脆响尚未散尽，圣光已泼向亵渎白昼的叛逆者。	RG01302BA	Assets/Product/Texture/Image/BgStory/BgStory748.jpg
1005	1	1020901	溃圣号角	人造的银弹击穿天使，地狱的列车碾向圣堂。	RG01303BA	Assets/Product/Texture/Image/BgStory/Bgstory121.png
1006	1	1020902	圣骸渊雨	湮灭洪流漫过圣阶，燃骨的余烬正烙进祂崩裂的冠冕。	RG01304BA	Assets/Product/Texture/Image/BgStory/BgStory1281.jpg
1007	1	1020903	神蚀星火	互相欺骗，互相背叛，烬土的星火在圣堂崩落的金雨中明明灭灭。	RG01305BA	Assets/Product/Texture/Image/BgCg/Cg5701_04.jpg
6001	6	1020904	无梦之人	如果我试着成为一个像你这样的人类的话，我们会在相同的梦里相遇吗？	RG01401BA	Assets/Product/Texture/Image/BgStory/BgStory752.jpg
6002	6	1020905	善恶天秤	我将衡量这一切的权利，都交予你手上。	RG01402BA	Assets/Product/Texture/Image/BgStory/BgStory737.jpg
6003	6	1020906	流星坠落	我接过了你的使命，但你也休想从我的生命中转身而去。	RG01403BA	Assets/Product/Texture/Image/BgCg/Cg5701_05.jpg
6004	6	1020907	永生诅咒	我会一直伴随着你，生世永远。	RG01404BA	Assets/Product/Texture/Image/BgStory/BgStory1285.jpg
6005	6	1020913	镇魂曲·上	时间不是我们的敌人，永恒才是。	RG01405BA	Assets/Product/Texture/Image/BgStory/BgStory627.jpg
6006	6	1020912	镇魂曲·下	时间不是我们的敌人，永恒才是。	RG01405EA	Assets/Product/Texture/Image/BgStory/Bgstory510.jpg
6007	6	1020910	再会·上	下次，就在宿命降临之前，更快地再一次找到我。	RG01406BA	Assets/Product/Texture/Image/BgStory/Bgstory338.jpg
6008	6	1020911	再会·下	下次，就在宿命降临之前，更快地再一次找到我。	RG01406EA	Assets/Product/Texture/Image/BgCg/Cg6101_1.jpg
