Id	GroupId	Order	Name	Bg	LockBg	UnLockTime	Condition	IsShowRedPoint	ShowTimeStr	DetailCount
1	1	1	含英	Assets/Product/Texture/Image/BgComicCG/ComicCG001.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					7
2	1	2	露娜（男指挥官）	Assets/Product/Texture/Image/BgComicCG/ComicCG008.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					6
3	1	3	露娜（女指挥官）	Assets/Product/Texture/Image/BgComicCG/ComicCG014.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					6
4	2	1	莫比乌斯	Assets/Product/Texture/Image/BgComicCG/ComicCG020.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					5
5	2	2	命运前夜	Assets/Product/Texture/Image/BgComicCG/ComicCG025.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					7
6	3	1	整备食材	Assets/Product/Texture/Image/BgComicCG/ComicCG032.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					2
7	3	2	出炉冷藏	Assets/Product/Texture/Image/BgComicCG/ComicCG034.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					2
8	3	3	正餐开始	Assets/Product/Texture/Image/BgComicCG/ComicCG036.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					2
9	4	1	款步	Assets/Product/Texture/Image/BgComicCG/ComicCG038.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					4
10	4	2	此致	Assets/Product/Texture/Image/BgComicCG/ComicCG042.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					4
11	5	1	萌芽	Assets/Product/Texture/Image/BgComicCG/ComicCG046.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					5
12	5	2	凋零	Assets/Product/Texture/Image/BgComicCG/ComicCG051.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					7
13	6	1	未来渺茫于风雪	Assets/Product/Texture/Image/BgComicCG/ComicCG059.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					5
14	6	2	追及彼端的花约	Assets/Product/Texture/Image/BgComicCG/ComicCG076.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					13
15	7	1	放课后	Assets/Product/Texture/Image/BgComicCG/ComicCG081.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					5
16	7	2	于寂夜某处	Assets/Product/Texture/Image/BgComicCG/ComicCG092.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					11
17	8	1	流风	Assets/Product/Texture/Image/BgComicCG/ComicCG093.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					11
18	9	1	纸飞机的梦语	Assets/Product/Texture/Image/BgComicCG/ComicCG105.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					10
19	9	2	天使的阶梯	Assets/Product/Texture/Image/BgComicCG/ComicCG117.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					14
20	10	1	勘破世界的规则	Assets/Product/Texture/Image/BgComicCG/ComicCG128.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					4
21	10	2	无止息的前夜	Assets/Product/Texture/Image/BgComicCG/ComicCG132.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					6
22	11	1	雨、落日与彩虹	Assets/Product/Texture/Image/BgComicCG/ComicCG139.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					4
23	11	2	我、未来以及与你的一切	Assets/Product/Texture/Image/BgComicCG/ComicCG144.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					4
24	12	1	还魂者	Assets/Product/Texture/Image/BgComicCG/ComicCG146.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					10
25	13	1	唯求你心	Assets/Product/Texture/Image/BgComicCG/ComicCG156.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					7
26	13	2	夜之乐章	Assets/Product/Texture/Image/BgComicCG/ComicCG163.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					6
27	14	1	你我光影同归	Assets/Product/Texture/Image/BgComicCG/ComicCG169.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					8
28	15	1	炆烧	Assets/Product/Texture/Image/BgComicCG/ComicCG169.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					3
29	15	2	新昇	Assets/Product/Texture/Image/BgComicCG/ComicCG169.png	Assets/Product/Texture/Image/UiArchiveStoryBanner/ArchiveStoryBannerr00.png					4
