ItemId	PriceIntervalMins	PriceIntervalMaxs	PriceDefault	PriceInterval
101001	[1, 151, 181, 201]	[150, 180, 200, 999]	200	1
101002	[1, 226, 271, 301]	[225, 270, 300, 999]	300	1
102001	[1, 376, 451, 501]	[375, 450, 500, 999]	500	1
102002	[1, 526, 631, 701]	[525, 630, 700, 999]	700	1
102003	[1, 601, 721, 801]	[600, 720, 800, 999]	800	1
103001	[1, 3526, 4231, 4701]	[3525, 4230, 4700, 9999]	4700	1
103002	[1, 1842, 2210, 2455]	[1841, 2209, 2454, 9999]	2454	10
103003	[1, 3419, 4102, 4558]	[3418, 4101, 4557, 9999]	4557	10
103004	[1, 2391, 2869, 3188]	[2390, 2868, 3187, 9999]	3187	10
103005	[1, 1537, 1844, 2049]	[1536, 1843, 2048, 9999]	2048	10
103006	[1, 3522, 4227, 4696]	[3521, 4226, 4695, 9999]	4695	10
103007	[1, 3350, 4020, 4466]	[3349, 4019, 4465, 9999]	4465	10
103008	[1, 3677, 4412, 4902]	[3676, 4411, 4901, 9999]	4901	10
103009	[1, 2347, 2816, 3129]	[2346, 2815, 3128, 9999]	3128	10
103010	[1, 3283, 3939, 4377]	[3282, 3938, 4376, 9999]	4376	10
103011	[1, 3128, 3753, 4170]	[3127, 3752, 4169, 9999]	4169	10
103012	[1, 3123, 3747, 4163]	[3122, 3746, 4162, 9999]	4162	10
103013	[1, 3183, 3820, 4244]	[3182, 3819, 4243, 9999]	4243	10
103014	[1, 1644, 1972, 2191]	[1643, 1971, 2190, 9999]	2190	10
103015	[1, 1605, 1925, 2139]	[1604, 1924, 2138, 9999]	2138	10
103016	[1, 2154, 2585, 2872]	[2153, 2584, 2871, 9999]	2871	10
103017	[1, 2997, 3597, 3996]	[2996, 3596, 3995, 9999]	3995	10
103018	[1, 3169, 3803, 4225]	[3168, 3802, 4224, 9999]	4224	10
103019	[1, 2565, 3077, 3419]	[2564, 3076, 3418, 9999]	3418	10
103020	[1, 2055, 2465, 2739]	[2054, 2464, 2738, 9999]	2738	10
104001	[1, 17713, 21255, 23617]	[17712, 21254, 23616, 99999]	23616	100
104002	[1, 20804, 24964, 27738]	[20803, 24963, 27737, 99999]	27737	100
104003	[1, 27587, 33104, 36782]	[27586, 33103, 36781, 99999]	36781	100
104004	[1, 24113, 28935, 32150]	[24112, 28934, 32149, 99999]	32149	100
104005	[1, 19324, 23189, 25765]	[19323, 23188, 25764, 99999]	25764	100
104006	[1, 25332, 30399, 33776]	[25331, 30398, 33775, 99999]	33775	100
104007	[1, 16171, 19405, 21561]	[16170, 19404, 21560, 99999]	21560	100
104008	[1, 35445, 42533, 47259]	[35444, 42532, 47258, 99999]	47258	100
104009	[1, 31938, 38326, 42584]	[31937, 38325, 42583, 99999]	42583	100
104010	[1, 35019, 42023, 46692]	[35018, 42022, 46691, 99999]	46691	100
104011	[1, 35229, 42274, 46971]	[35228, 42273, 46970, 99999]	46970	100
104012	[1, 20114, 24136, 26818]	[20113, 24135, 26817, 99999]	26817	100
104013	[1, 24851, 29821, 33134]	[24850, 29820, 33133, 99999]	33133	100
104014	[1, 15093, 18112, 20124]	[15092, 18111, 20123, 99999]	20123	100
104015	[1, 36872, 44246, 49162]	[36871, 44245, 49161, 99999]	49161	100
105001	[1, 345800, 414960, 461066]	[345799, 414959, 461065, 999999]	461065	100
105002	[1, 271735, 326082, 362313]	[271734, 326081, 362312, 999999]	362312	100
105003	[1, 214275, 257129, 285699]	[214274, 257128, 285698, 999999]	285698	100
105004	[1, 225107, 270128, 300142]	[225106, 270127, 300141, 999999]	300141	100
105005	[1, 223289, 267946, 297718]	[223288, 267945, 297717, 999999]	297717	100
105006	[1, 344451, 413340, 459267]	[344450, 413339, 459266, 999999]	459266	100
105007	[1, 240319, 288383, 320425]	[240318, 288382, 320424, 999999]	320424	100
105008	[1, 242529, 291034, 323371]	[242528, 291033, 323370, 999999]	323370	100
105009	[1, 160518, 192622, 214024]	[160517, 192621, 214023, 999999]	214023	100
105010	[1, 282627, 339152, 376835]	[282626, 339151, 376834, 999999]	376834	100
