ItemId	Name	Quality	UnlockLv	IsRare	EffectType	EffectProbability	RareRewardId	GridMaxCount	Desc	Icon	ModelId
101001	醒神药剂	1	1		1	1500		9999	含有肾上腺素的药剂，可大幅集中注意力。	Assets/Product/Texture/Image/IconTools/IconActivityActionPoint2008001.png	
101002	结实石材	1	1					9999	理想的建筑原料。藏品室升级用材料。	Assets/Product/Texture/Image/IconTools/UiConnectingLineGameItem02.png	
102001	幸运魔药	2	1		1	2500		9999	据说能带来意外之财的魔药。使用后增加珍稀藏品掉落概率。	Assets/Product/Texture/Image/IconTools/UiScoreTowerIcon01.png	
102002	土木锤子	2	1					9999	施工必不可少的锤子。藏品室升级用材料。	Assets/Product/Texture/Image/IconTools/UiAreaWarItem02.png	
102003	晶蓝石材	2	1					9999	理想的建筑原料。藏品室升级用材料。	Assets/Product/Texture/Image/IconTools/IconStronghold003.png	
103001	基因序列	3	1		1	4000		9999	某组织研制的基因药剂，可以激发潜能上限。	Assets/Product/Texture/Image/IconTools/IconActivityConsume2022001.png	
103002	姜饼银币	3	2					9999	可以当等价货币使用的姜饼状银币。藏品室升级用材料。	Assets/Product/Texture/Image/IconTools/IconRougeItem01.png	
103003	施工契约	3	3					9999	详细列着施工计划的合同书。藏品室升级用材料。	Assets/Product/Texture/Image/IconTools/IconRougeItem03.png	
103004	瓶装水银	3	4					9999	用途多种多样的水银液。藏品室升级用材料。	Assets/Product/Texture/Image/IconTools/IconRougeItem02.png	
103005	徽记纹章	3	5					9999	在特定交易场所能将其换成建筑原材的货币。藏品室升级用材料。	Assets/Product/Texture/Image/IconTools/IconRougeItem06.png	
103006	多棱紫晶	3	6					9999	高级装饰品加工原材。藏品室升级用材料。	Assets/Product/Texture/Image/IconTools/IconRougeItem07.png	
103007	琥珀挂饰	3	7					9999	由珍稀原材加工而成的挂饰。藏品室升级用材料。	Assets/Product/Texture/Image/IconTools/IconRougeItem013.png	
103008	青钢小刃	3	8					9999	由特殊钢材打造，削铁如泥。藏品室升级用材料。	Assets/Product/Texture/Image/IconTools/IconRougeItem014.png	
103009	奥秘晶球	3	9					9999	打碎后据说能获得来自上天的启示。藏品室升级用材料。	Assets/Product/Texture/Image/IconTools/IconRougeItem018.png	
103010	隐秘符文	3	10					9999	在上面签下你的名字，就会有一只小精灵来为你达成心愿。藏品室升级用材料。	Assets/Product/Texture/Image/IconTools/IconRougeItem030.png	
103011	赤红蜡印	3	11					9999	正式信件公函必不可少的封蜡。藏品室升级用材料。	Assets/Product/Texture/Image/IconTools/IconRougeItem035.png	
103012	无言之像	3	12					9999	不知原型为何人，但在黑市能卖出高价的工艺雕像。藏品室升级用材料。	Assets/Product/Texture/Image/IconTools/IconRougeItem037.png	
