Index	Name	Attrib
1	生命	Life
2	必杀能量	Energy
3	跑速度	RunSpeed
4	走速度	WalkSpeed
5	转身角速度	TurnRoundSpeed
6	出球间隔	BallInterval
7	物理伤害免疫	DamageNormalImmunity
8	元素伤害免疫	DamageMagicImmunity
9	反物理伤害免疫	AntiDamageNormalImmunity
10	反元素伤害免疫	AntiDamageMagicImmunity
11	攻击	AttackNormal
12	火元素攻击	AttackMagic1
13	雷元素攻击	AttackMagic2
14	冰元素攻击	AttackMagic3
15	暗元素攻击	AttackMagic4
16	空元素攻击	AttackMagic5
17	反物理攻击	AntiAttackNormal
18	反火元素攻击	AntiAttackMagic1
19	反雷元素攻击	AntiAttackMagic2
20	反冰元素攻击	AntiAttackMagic3
21	反暗元素攻击	AntiAttackMagic4
22	反空元素攻击	AntiAttackMagic5
23	防御	DefenseNormal
24	反防御	AntiDefenseNormal
25	额外伤害加成	DamageChangeP
26	物理伤害加成	DamageNormalChangeP
27	火属性伤害加成	DamageMagic1ChangeP
28	雷属性伤害加成	DamageMagic2ChangeP
29	冰属性伤害加成	DamageMagic3ChangeP
30	暗属性伤害加成	DamageMagic4ChangeP
31	空元素伤害加成	DamageMagic5ChangeP
32	额外伤害减免	AntiDamageChangeP
33	物理抗性	AntiDamageNormalChangeP
34	火属性抗性	AntiDamageMagic1ChangeP
35	雷属性抗性	AntiDamageMagic2ChangeP
36	冰属性抗性	AntiDamageMagic3ChangeP
37	暗属性抗性	AntiDamageMagic4ChangeP
38	空元素抗性	AntiDamageMagic5ChangeP
39	类型伤害起始-仅标记	DamagePBegin
40	机械伤害率	Damage1P
41	异能伤害率	Damage2P
42	生物伤害率	Damage3P
43	类型伤害结束-仅标记	DamagePEnd
44	会心	Crit
45	暴击率	CritP
46	暴击伤害率	CritDamageP
47	反暴击率	AntiCritP
48	反暴击伤害率	AntiCritDamageP
49	吸血	Lifesteal
50	吸血率	LifestealP
51	治疗加深率	CureChangeP
52	反治疗加深率	AntiCureChangeP
53	霸体值-黄条	Endure
54	仇恨生成速率	ThreatRateP
55	闪避能量值	DodgeEnergy
56	闪避能量自动回复（能量值/秒）	DodgeEnergyAutoRecovery
57	自定义能量值	CustomEnergy
58	积蓄抗性1	AccuResistance1
59	积蓄抗性2	AccuResistance2
60	积蓄抗性3	AccuResistance3
61	积蓄抗性4	AccuResistance4
62	积蓄抗性5	AccuResistance5
63	积蓄抗性6	AccuResistance6
64	积蓄抗性7	AccuResistance7
65	积蓄抗性8	AccuResistance8
66	积蓄抗性9	AccuResistance9
67	积蓄抗性10	AccuResistance10
68	蹲走速度	SquatSpeed
69	物理弱点	NormalWeaknessP
70	火属性弱点	Magic1WeaknessP
71	雷属性弱点	Magic2WeaknessP
72	冰属性弱点	Magic3WeaknessP
73	暗属性弱点	Magic4WeaknessP
74	疾跑速度（逻辑单位/帧）	SprintSpeed
75	自定义能量组1	CustomEnergyGroup1
76	自定义能量组2	CustomEnergyGroup2
77	自定义能量组3	CustomEnergyGroup3
78	自定义能量组4	CustomEnergyGroup4
79	处决值	Hack
80	处决加深率	HackChangeP
81	处决抵抗率	AntiHackChangeP
82	可触发终结技的处决值剩余比例	HackExecuteSkillTriggerP
83	技能倍率加深率	SkillDamageChangeP
84	怪物处决值减少时的动态评分系数	ReduceHackDynamicScoringCoe
85	怪物受到处决的动态评分系数	BeExecutedDynamicScoringCoe
86	动态评分点数获取提升率	DynamicScoringScoreChangeP
87	动态评分点数获取提升值	DynamicScoringScoreChangeV
88	动态评分每秒固定点数下降提升率	ReduceDynamicScoringScorePerSecondChangeP
89	动态评分每秒固定点数下降提升值	ReduceDynamicScoringScorePerSecondChangeV
90	受伤时动态评分点数下降提升率	ReduceDynamicScoringScoreWhenBeDamagedChangeP
91	受伤时动态评分点数下降提升值	ReduceDynamicScoringScoreWhenBeDamagedChangeV
92	伤害增幅	DamageAmplificationFactorP
93	基础破盾效率	BrokenProtectorHp
94	额外破盾提升	BrokenProtectorHpChangeP
95	额外破盾抗性	AntiBrokenProtectorHpChangeP
96	全属性增伤	AllMagicDamageChangeP
97	全属性减抗	AllMagicAntiChangeP
98	空元素弱点	Magic5WeaknessP
99	稳态力场	ProtectorHp
100	技能异常积蓄值加深率	SkillAccumulatorP
101	点燃伤害额外加成	BurnDamageExtraP
102	点燃伤害抵抗	AntiBurnDamageP
103	点燃积蓄槽效率提升	BurnAccumulatorP
104	点燃积蓄槽效率抗性	BurnAntiAccumulatorP
105	剑气积蓄槽效率提升	SwordPowerAccumulatorP
106	剑气积蓄槽效率抗性	SwordPowerAntiAccumulatorP
107	次元斩基础伤害加成	SwordPowerDamageP
108	次元斩额外伤害加成	SwordPowerDamageExtraP
109	次元斩伤害抗性	AntiSwordPowerP
110	次元斩弱点	SwordPowerWeaknessP
111	点燃伤害弱点	BurnDamageWeaknessP
112	雷盾积蓄槽效率提升	ThunderShieldAccumulatorP
113	雷盾积蓄槽效率抗性	ThunderShieldAntiAccumulatorP
114	雷盾额外伤害加成	ThunderShieldDamageExtraP
115	雷盾伤害抗性	AntiThunderShieldP
116	雷盾伤害弱点	ThunderShieldWeaknessP
117	冰结积蓄槽效率提升	FreezeAccumulatorP
118	冰结积蓄槽效率抗性	FreezeAntiAccumulatorP
119	冰结额外伤害加成	FreezeDamageExtraP
120	冰结伤害抗性	AntiFreezeP
121	冰结伤害弱点	FreezeWeaknessP
122	走跳速度	IdleJumpSpeed
123	跑跳速度	RunJumpSpeed
124	跳跃转角速度	JumpTurnRoundSpeed
125	落地硬直	LandingFreeze
126	锁血	LockedLife
127	辐射伤害额外加成	FalloutDamageExtraP
128	辐射伤害抵抗	FalloutAntiDamageP
129	辐射弱点	FalloutWeaknessP
130	辐射积蓄槽效率提升	FalloutAccumulatorP
131	辐射积蓄槽效率抗性	FalloutAntiAccumulatorP
132	跳跃加速度	JumpAcceleration
133	虚血	BloodBorne
134	虚血衰减（毫秒）	BloodBorneAttenuationTime
135	虚血扣除速度（/秒）	BloodBorneDeductSpeed
136	虚血恢复CD（毫秒）	BloodBorneResetCD
137	虚血转化比率	BloodBorneChangeRateP
138	光噪积蓄槽效率提升	LightNoiseAccumulatorP
139	光噪积蓄槽效率抗性	LightNoiseAntiAccumulatorP
140	光噪额外伤害加成	LightNoiseDamageExtraP
141	光噪伤害抗性	AntiLightNoiseP
142	光噪伤害弱点	LightNoiseWeaknessP
143	伤害倍率强化	DamageChangePEx
144	生命树能量1	LifeEnergy1
145	生命树能量2	LifeEnergy2
146	生命树能量3	LifeEnergy3
147	生命树能量4	LifeEnergy4
148	生命树能量5	LifeEnergy5
149	生命树能量6	LifeEnergy6
150	生命树能量7	LifeEnergy7
151	生命树能量8	LifeEnergy8
152	生命树能量9	LifeEnergy9
153	生命树能量10	LifeEnergy10
154	自定义能量组5	CustomEnergyGroup5
155	自定义能量组6	CustomEnergyGroup6
156	自定义能量组7	CustomEnergyGroup7
157	自定义能量组8	CustomEnergyGroup8
158	自定义能量组9	CustomEnergyGroup9
159	自定义能量组10	CustomEnergyGroup10
