Id	Name	ProgressTitle	SortIndex	Background	TeachId	DisplayRewardId	EntryType	EntryIds	SkipId	CustomParamId	LockSkipIds	LockSkipConditionIds	EarlyAccessSkipIds
1001	库洛洛咖啡		1	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldProcess/ProcessBanner/UiBigWorldProcessPanelActivityCafe.png			1	[1]	1011		[1031, 1012]	[50001011, 50001505]	
1002	商业开发计划		2	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldProcess/ProcessBanner/UiBigWorldProcessPanelActivityShoppingStreet.png			1	[2]	1021		[1033, 1022]	[50001012, 50001506]	
1011	空域迷航		11	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldProcess/ProcessBanner/UiBigWorldProcessPanelActivitySGDrone.png			1	[4]	1061	1001	[1051, 1052]	[50002001, 50002004]	[1062]
1012	镜头下的意志	「初生意志的迷惘」完成：	12	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldProcess/ProcessBanner/UiBigWorldProcessPanelActivityPhotograph.png		12	3	[2011, 2013, 2014]	1071	1002	[1051]	[50002006]	[1063]
1013	邀约任务		13	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldProcess/ProcessBanner/UiBigWorldProcessPanelActivityInvitation.png		13	5	[2007, 2009]	1051				
1014	邂逅时光		14	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldProcess/ProcessBanner/UiBigWorldProcessPanelActivityEnvironment.png		29	6	[1, 2, 3, 4, 5, 6, 7, 8]	1091				
1015	冰心潜影	「冰心潜影」完成：	15	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldProcess/ProcessBanner/UiBigWorldProcessPanelActivityLuosaitaQuest.png		2001	4	[1002]	1101				
1021	邀约任务		31	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldProcess/ProcessBanner/UiBigWorldProcessPanelActivityLuosaitaQuest.png		31	5	[2008, 2006, 2016, 2015]				[50010416]	
1022	邂逅时光		32	Assets/Product/Texture/Image/BigWorld/Common/UiBigWorldProcess/ProcessBanner/UiBigWorldProcessPanelActivityLuosaitaQuest.png		32	6	[11, 12, 13, 14, 15, 16]				[50010417]	
2101	行至时间彼岸		4			1001	2	[1001]	1001		[1002]	[50001500]	
