Id	Type	Name	Details	Desc	WorldDesc	Quality	Priority	Icon	SmallIcon	Coffee	Review	IsReDraw	DefaultNum	NpcId	IsShow	UseConditions	Tags	Effects	UnlockDesc
1001	1	蕾奥妮-2			喜欢坐在店里观察人类、观察构造体。	3	999	Assets/Product/Texture/Image/RoleStory/V270ranNormal04.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/V270ranNormal04.png	15		True	2	101047	True				
1002	1	蕾奥妮-3			以咖啡杯为原型设计一套武器装备好了。	3	998	Assets/Product/Texture/Image/RoleStory/V270ranNormal04.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/V270ranNormal04.png		10	True	2	101061	True				
1003	1	分享达人	本时段顾客+2<color=#35ce4e>（上限7）</color>。	本时段顾客+2。	如果能更优惠一点，我还能再叫来几个朋友！	3	979	Assets/Product/Texture/Image/RoleStory/GouzaotishibingnvNormal01.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/GouzaotishibingnvNormal01.png	10	-2	True	2	101056	True			[1003]	
1004	1	莱亚-7	自身前每入座一位顾客，<Icon=IconCafeReview/>+3<color=#35ce4e>（{1399}）</color>。	自身前每入座一位顾客，<Icon=IconCafeReview/>+3。	好评跟着莱亚走。	3	988	Assets/Product/Texture/Image/RoleStory/V2140lyNormal01.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/V2140lyNormal01.png			True	2	101090	True			[1004]	
1005	1	莱亚-6	自身前每入座一位顾客，<Icon=IconCafeCoffee/>+3<color=#35ce4e>（{1399}）</color>。	自身前每入座一位顾客，<Icon=IconCafeCoffee/>+3。	鲜艳的色调总能促进人们的胃口。	3	989	Assets/Product/Texture/Image/RoleStory/V2140lyNormal01.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/V2140lyNormal01.png			True	2	101081	True			[1005]	
1006	1	莱亚-9	本时段有<Icon=IconCafeRed/>入座时，下个时段会再次获得本顾客。	本时段有<Icon=IconCafeRed/>入座时，下个时段会再次获得本顾客。	下次让我来请客吧！	3	985	Assets/Product/Texture/Image/RoleStory/V2140lyNormal01.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/V2140lyNormal01.png		10	True	1	101029	True			[100601, 100602, 100603, 100604]	
1007	1	占座达人	本时段顾客+1<color=#35ce4e>（上限7）</color>，若出现的顾客为<Icon=IconCafePurp/>，则本时段的座位+1<color=#35ce4e>（上限6）</color>。	本时段顾客+1，若出现的顾客为<Icon=IconCafePurp/>，则本时段的座位+1。	座位不够没关系，我让朋友自带折叠椅。	3	978	Assets/Product/Texture/Image/RoleStory/Tongyonggouzaoti01Nomal01.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/Tongyonggouzaoti01Nomal01.png		-2	True	1	101083	True			[100701, 100702]	
1008	1	莱亚-8	自身每次入座获得永久<Icon=IconCafeCoffee/>+3<color=#35ce4e>（{1699}）</color>，可跨时段累计。	自身每次入座获得永久<Icon=IconCafeCoffee/>+3。	每次喝完新品都会立刻在论坛里推荐。	3	986	Assets/Product/Texture/Image/RoleStory/V2140lyNormal01.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/V2140lyNormal01.png	10	-5	True	2	101012	True			[100801]	
1009	1	瑞贝卡-2	将未入座的<Icon=IconCafeBlue/>替换为其他顾客，<Icon=IconCafeBlue/>≥3位时，本时段的座位+1<color=#35ce4e>（上限6）</color>。	将未入座的<Icon=IconCafeBlue/>替换为其他顾客，<Icon=IconCafeBlue/>≥3位时，本时段的座位+1。	别说几个座位，天花板掉下来一点灰都得姓黑野。	3	973	Assets/Product/Texture/Image/RoleStory/RuibeikaNormal01.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/RuibeikaNormal01.png	12	-5	True	1	101086	True			[100902, 100901, 100903]	
1010	1	西蒙-2	下一位座位的顾客<Icon=IconCafeCoffee/>+15。	下一位座位的顾客<Icon=IconCafeCoffee/>+15。	库洛洛咖啡的外援销冠。	3	969	Assets/Product/Texture/Image/RoleStory/XimengNormal01.png	Assets/Product/Texture/Image/BigWorld/SkyGarden/UiSkyGardenCafe/XimengNormal01.png			True	2	101051	True			[1010]	
