Id	Name	Desc	Type	PreStageId	Condition	MapId	SkipId	IsFirst	ObjectiveId	IconUrl	StarTargets	StarRewardIds
101	AR001-1	回收空域中的太空资源，建立探测航线。\n空域内存在偏转力场，请合理利用。	1		50010405	102		True		Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenSGDrone/UiSkyGardenSGDronelmgNumber01.png	[1011, 1012, 1013]	[7000229, 7000230, 7000231]
102	AR001-2	回收空域中的太空资源，建立探测航线。\n空域内存在引力发生器，请合理利用。	1	101	50010405	101				Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenSGDrone/UiSkyGardenSGDronelmgNumber02.png	[1021, 1022, 1023]	[7000229, 7000230, 7000231]
103	AR001-3	回收空域中的太空资源，建立探测航线。\n空域内环境较为复杂，请合理利用空域内的引力发生器和偏转力场。	1	102	50010405	103				Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenSGDrone/UiSkyGardenSGDronelmgNumber03.png	[1031, 1032, 1033]	[7000229, 7000230, 7000231]
104	AR001-4	回收空域中的太空资源，建立探测航线。\n空域内环境较为复杂，请合理利用空域内的引力发生器和偏转力场。	1	103	50010405	104				Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenSGDrone/UiSkyGardenSGDronelmgNumber04.png	[1041, 1042, 1043]	[7000229, 7000230, 7000231]
105	星海漂流的祝愿	受卡列尼娜邀请，灰鸦指挥官前往军事警备区的无人机操作间，参与第二代无人机的试飞任务。在试飞过程中，无人机似乎捕捉到了奇怪的频率……	3	104			200119		20120109			
201	AR002-1	回收更多数据，建立探测航线。\n空域内的引力发生器存在多个引力轨道，请合理利用。	1		50010406	201		True		Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenSGDrone/UiSkyGardenSGDronelmgNumber01.png	[2011, 2012, 2013]	[7000229, 7000230, 7000231]
202	AR002-2	回收更多数据，建立探测航线。\n空域内的引力发生器存在多个引力轨道，请合理利用。\n无人机适配了在偏转力场中的迁跃功能，请合理利用。	1	201	50010406	202				Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenSGDrone/UiSkyGardenSGDronelmgNumber02.png	[2021, 2022, 2023]	[7000229, 7000230, 7000231]
203	AR002-3	回收更多数据，建立探测航线。\n空域内环境较为复杂，请合理利用迁跃指令。	1	202	50010406	203				Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenSGDrone/UiSkyGardenSGDronelmgNumber03.png	[2031, 2032, 2033]	[7000229, 7000230, 7000231]
204	AR002-4	回收更多数据，建立探测航线。\n空域内环境较为复杂，请合理利用迁跃指令。	1	203	50010406	204				Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenSGDrone/UiSkyGardenSGDronelmgNumber04.png	[2041, 2042, 2043]	[7000229, 7000230, 7000231]
205	星海漂流的祝愿	受卡列尼娜邀请，灰鸦指挥官前往军事警备区的无人机操作间，参与第二代无人机的试飞任务。在试飞过程中，无人机似乎捕捉到了奇怪的频率……	3	204			200119		20120113			
301	AR003-1	此空域中的太空资源与太空垃圾处于相对运动状态，请小心驾驶。\n空域内环境较为复杂，请合理利用迁跃指令。	1		50010407	601		True		Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenSGDrone/UiSkyGardenSGDronelmgNumber01.png	[3011, 3012, 3013]	[7000229, 7000230, 7000231]
302	AR003-2	此空域中的太空资源与太空垃圾处于相对运动状态，请小心驾驶。\n空域内环境较为复杂，请合理利用迁跃指令。	1	301	50010407	602				Assets/Product/Texture/Atlas/BigWorld/SkyGarden/UiSkyGardenSGDrone/UiSkyGardenSGDronelmgNumber02.png	[3021, 3022, 3023]	[7000229, 7000230, 7000231]
