Id	Type	Level	MaxLife	InitMoveCd	MoveCd	BornCd	PromotionPieces	OriginalPiece	AtkLife	RecyclePrice	CharacterBuffIds	BuffIds	AvoidBuffIds	Name	Desc	Note	Prefab	HeadIcon	EffectIcon	EffectDesc
1	1	1	5	1	1		[2]	1	3	2	[50]			士兵	融合效果：角色所有技能当前CD-1		Assets/Product/Scene/BlackRockChess/Prefabs/Chess_04Qizi01Ani.prefab	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSoldier02.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon31071.png	融合效果：角色所有技能当前CD-1
2	2	1	10	1	1	1		2	3	3	[51]			骑士	融合效果：可再行动1次	通用升变骑士	Assets/Product/Scene/BlackRockChess/Prefabs/Chess_04QiziAni.prefab	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessKnight02.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon31072.png	融合效果：可再行动1次
3	3	1	10	1	1	2		3	3	3	[52]			主教	融合效果：销毁自身，将当前血量增加给其他友方棋子		Assets/Product/Scene/BlackRockChess/Prefabs/Chess_03qizi02Ani.prefab	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessBishop02.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21061.png	融合效果：销毁自身，将当前血量增加给其他友方棋子
4	4	1	15	1	1			4	3	3	[53]			城堡	融合效果：帮助角色抵挡1次伤害，成功时销毁自身		Assets/Product/Scene/BlackRockChess/Prefabs/Chess_04Qizi02Ani.prefab	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessCastle02.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21021.png	融合效果：帮助角色抵挡1次伤害，成功时销毁自身
5	5	1	20	1	1	1		5	3	3	[54]			皇后	融合效果：角色怒气+20点		Assets/Product/Scene/BlackRockChess/Prefabs/Chess_03Qizi01Ani.prefab	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessQueen02.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13021.png	融合效果：角色怒气+20点
6	1	2	10	1	1		[2]	1	3	4	[50]			士兵	融合效果：角色所有技能当前CD-1		Assets/Product/Scene/BlackRockChess/Prefabs/Chess_04Qizi01Ani.prefab	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSoldier02.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon31071.png	融合效果：角色所有技能当前CD-1
7	2	2	20	1	1	1		2	3	6	[51]			骑士	融合效果：可再行动1次	通用升变骑士	Assets/Product/Scene/BlackRockChess/Prefabs/Chess_04QiziAni.prefab	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessKnight02.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon31072.png	融合效果：可再行动1次
8	3	2	20	1	1	2		3	3	6	[52]			主教	融合效果：销毁自身，将当前血量增加给其他友方棋子		Assets/Product/Scene/BlackRockChess/Prefabs/Chess_03qizi02Ani.prefab	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessBishop02.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21061.png	融合效果：销毁自身，将当前血量增加给其他友方棋子
9	4	2	30	1	1			4	3	6	[53]			城堡	融合效果：帮助角色抵挡1次伤害，成功时销毁自身		Assets/Product/Scene/BlackRockChess/Prefabs/Chess_04Qizi02Ani.prefab	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessCastle02.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21021.png	融合效果：帮助角色抵挡1次伤害，成功时销毁自身
10	5	2	40	1	1	1		5	3	6	[54]			皇后	融合效果：角色怒气+20点		Assets/Product/Scene/BlackRockChess/Prefabs/Chess_03Qizi01Ani.prefab	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessQueen02.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon13021.png	融合效果：角色怒气+20点
11	1	3	15	1	1		[2]	1	3	6	[50]			士兵	融合效果：角色所有技能当前CD-1		Assets/Product/Scene/BlackRockChess/Prefabs/Chess_04Qizi01Ani.prefab	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessSoldier02.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon31071.png	融合效果：角色所有技能当前CD-1
12	2	3	30	1	1	1		2	3	9	[51]			骑士	融合效果：可再行动1次	通用升变骑士	Assets/Product/Scene/BlackRockChess/Prefabs/Chess_04QiziAni.prefab	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessKnight02.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon31072.png	融合效果：可再行动1次
13	3	3	30	1	1	2		3	3	9	[52]			主教	融合效果：销毁自身，将当前血量增加给其他友方棋子		Assets/Product/Scene/BlackRockChess/Prefabs/Chess_03qizi02Ani.prefab	Assets/Product/Texture/Image/UiBlackRockChess/UiBlackRockChessBishop02.png	Assets/Product/Texture/Image/UiBabelTower/UiBabelTowerChallengeIcon21061.png	融合效果：销毁自身，将当前血量增加给其他友方棋子
