Id	PoolId	Weight	SkillId	Icon	Name	Description
1	1	100	101201	Assets/Product/Texture/Image/IconSkill/R2lihong1.png	精准连射	红球等级+1
2	1	100	101206	Assets/Product/Texture/Image/IconSkill/R2lihuang1.png	热场射击	黄球等级+1
3	1	100	101211	Assets/Product/Texture/Image/IconSkill/R2lilan1.png	磁弹速射	蓝球等级+1
4	1	100	101216	Assets/Product/Texture/Image/IconSkill/lipugong1.png	射击模式	普通攻击等级+1
5	2	100	101217	Assets/Product/Texture/Image/IconSkill/R2lidazhao1.png	必杀-零死角	必杀技等级+1
6	2	100	101218	Assets/Product/Texture/Image/IconSkill/QTE1.png	零死角-速射	qte等级+1
7	2	100	101221	Assets/Product/Texture/Image/IconSkill/R2lihexin1.png	控弹	核心被动+1
8	2	100	101223	Assets/Product/Texture/Image/IconSkill/R2lihexin1.png	进攻型	职业技等级+1
12	1	100	102201	Assets/Product/Texture/Image/IconSkill/R2luxiyahong1.png	乱舞	红球等级+1
13	1	100	102206	Assets/Product/Texture/Image/IconSkill/R2luxiyahuang1.png	雷域	黄球等级+1
14	1	100	102211	Assets/Product/Texture/Image/IconSkill/R2luxiyalan1.png	弧月斩	蓝球等级+1
15	1	100	102216	Assets/Product/Texture/Image/IconSkill/luxiyapugong1.png	迅刀式	普通攻击等级+1
16	2	100	102217	Assets/Product/Texture/Image/IconSkill/R2luxiyadazhao1.png	必杀-红莲剑	必杀技等级+1
17	2	100	102218	Assets/Product/Texture/Image/IconSkill/QTE1.png	散华	qte等级+1
18	2	100	102221	Assets/Product/Texture/Image/IconSkill/R2luxiyahexin1.png	引雷舞	核心被动+1
19	2	100	102223	Assets/Product/Texture/Image/IconSkill/R2luxiyahexin1.png	进攻型	职业技等级+1
20	1	100	103201	Assets/Product/Texture/Image/IconSkill/R2lifuhong1.png	离子双炮	红球等级+1
21	1	100	103206	Assets/Product/Texture/Image/IconSkill/R2lifuhuang1.png	豁免空间	黄球等级+1
22	1	100	103211	Assets/Product/Texture/Image/IconSkill/R2lifulan1.png	虚构障碍	蓝球等级+1
23	1	100	103216	Assets/Product/Texture/Image/IconSkill/lifupugong1.png	雷式攻击应用	普通攻击等级+1
24	2	100	103217	Assets/Product/Texture/Image/IconSkill/R2lifudazhao1.png	必杀-导电波	必杀技等级+1
25	2	100	103218	Assets/Product/Texture/Image/IconSkill/QTE1.png	新式纳米绽放	qte等级+1
